x	Y_20181208_15100_1_5g	Y_20181208_15100_13_1g	Y_20181208_15100_15_2g	Y_20181208_15100_18_6g	Y_20181208_15100_19_6g	Y_20181208_15100_21_1g	Y_20181208_15100_5_10g	Y_20181208_15100_5_3g	Y_20181208_15100_5_5g	Y_20181208_15100_7_9g	Y_20181208_15100_8_5g
0	31550.6016	27442.6289	30544.0215	32269.5703	31717.043	32476.4668	30543.1348	27093.9824	30962.1973	31472.8672	25687.8945
0.1334	29969.3633	27376.0898	30942.2266	32517.9062	30815.4766	30549.334	31190.8828	28096.1738	32821.0273	31598.4688	26283.0742
0.2668	31695.3652	26042.3574	32302.2363	32938.6016	31254.9453	30947.2363	32731.7402	29610	32932.1641	31872.9648	25186.8672
0.4003	30876.4395	26383.5059	31236.0645	33587.7734	31619.6797	32374.9629	32859.3008	28963.4082	32170.5117	31784.4492	26087.4824
0.5337	29346.4668	25964.7227	29720.7852	33786.5664	30996.2031	31791.1973	32057.1523	28530.2168	32460.5488	31108.9609	24998.1465
0.6671	30999.6445	26985.6387	30694.0273	33771.1758	29957.3477	30257.6523	31583.7754	28132.0527	32625.8184	31384.8555	26261.6543
0.8005	31968.0098	26431.1035	31795.2539	33742.0977	31012.6309	29690.3984	31129.4961	27837.0527	32750.3535	30448.9238	25448.752
0.934	29801.6582	26662.8223	32306.1035	34405.6562	31418.3125	30858.8281	31022.2324	27098.334	31835.4551	29579.4492	25989.5547
1.0674	30648.7324	26231.707	31588.8809	34528.8594	30766.6562	30490.2812	31774.5352	27138.5625	33281.7266	29051.498	26976.2109
1.2008	31472.3652	27163.3438	31888.8984	34361.6641	31385.7715	30013.9102	30614.0586	28399.7871	33089.3008	29219.9277	28578.7383
1.3342	32101.4316	28089.5	32352.3633	33036.7344	29813.8359	30944.8379	29975.1738	28627.4512	31069.3945	29569.5742	30902.2832
1.4676	31415.6309	29019.8887	32569.3145	33943.5469	30145.9121	31303.457	30397.1328	28872.4395	31652.9238	29771.4844	36694.1875
1.6011	30592.0938	31364.0156	34114.6172	33613.5117	30472.709	32991.4102	32815.4062	30840.2715	32139.998	31305.9785	52043.2773
1.7345	31191.0625	33867.25	38983.9414	33845.9492	33335.7461	34574.75	31378.3809	33511.3086	33506.0977	31391.8281	82695.2109
1.8679	32524.9609	43437.1641	47068.8008	36981.8164	35705.0547	41644.9375	30622.7207	44107.8984	33407.5039	33788.4844	100731.6406
2.0013	32676.1816	61435.1523	72422.4297	46759.6016	38758.7188	53240.2969	33808.2188	61102.3633	38215.6641	37836.0586	76379.7734
2.1347	32704.7188	83450.4844	109753.0078	68455.8047	49671.2891	72562.5938	36791.6484	63158.3203	50975.0586	54056.3867	48642.0938
2.2682	35350.6953	73299.7891	118335.5156	93501.8906	73492.9219	77430.5391	43989.8984	48746.3633	80697	83823.1875	34849.332
2.4016	42769.9375	50003.0117	83887.3359	86273.5312	97087.1094	64434.5117	66586	36272.3164	111218.0469	89255.6719	31599.4062
2.535	57678.2617	37333.0625	54992.3945	57217.8633	83593.8203	51763.7773	94770.5469	31753.3828	91504.3125	63919.0469	30831.3086
2.6684	80042.5312	33239.625	42120.6602	44086.0312	56501.4492	48776.6211	91169	31143.3945	57741.5977	42420.9258	30335.4785
2.8019	79215.6328	31108.6973	39792.9883	38815.9258	40733.5156	NaN	61357.9297	30235.9629	43650.2812	34498.1875	NaN
2.9353	57768.832	NaN	38218.4727	35768.8789	37768.2109	NaN	42200.7578	NaN	40152.1289	34199.7773	NaN
3.0687	42601.9219	NaN	38812.5586	34626.8047	35647.4375	NaN	37704.6328	NaN	36060.8516	NaN	NaN
3.2021	36149.7812	NaN	NaN	NaN	NaN	NaN	33021.625	NaN	NaN	NaN	NaN
3.3355	34590.0859	NaN	NaN	NaN	NaN	NaN	30924.5762	NaN	NaN	NaN	NaN
3.469	35046.2852	NaN	NaN	NaN	NaN	NaN	31439.2461	NaN	NaN	NaN	NaN
3.6024	32900.2383	NaN	NaN	NaN	NaN	NaN	32788.0859	NaN	NaN	NaN	NaN
3.7358	32195.9082	NaN	NaN	NaN	NaN	NaN	32501.1367	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
