x	Y_20181208_15100_1_4g	Y_20181208_15100_18_2g	Y_20181208_15100_9_2g
0	11141.5176	11810.2803	10536.6318
0.1334	12452.0361	12631.4736	13739.3447
0.2668	15631.0332	15763.501	20825.4453
0.4003	19193.8672	19787.25	24366.5293
0.5337	20419.8828	19366.3828	20652.7129
0.6671	17742.3105	15955.7383	16941.3242
0.8005	15529.2285	16165.8174	14787.292
0.934	14230.332	19681.3711	14379.7139
1.0674	14785.3086	21864.6152	14020.6689
1.2008	15045.6348	22206.541	14006.4033
1.3342	16684.5605	20529.0723	13916.7461
1.4676	18476.8105	19087.709	13557.1162
1.6011	17087.0488	17795.9531	14603.8047
1.7345	15963.3789	16598.9922	15242.7891
1.8679	14497.335	15456.2197	15764.5195
2.0013	13302.6523	16029.5127	16334.6523
2.1347	13606.4883	15325.7432	14966.9746
2.2682	14161.9697	15199.5576	14579.7783
2.4016	15013.9902	17196.7793	14243.2041
2.535	15806.9873	17844.123	14050.4287
2.6684	16625.9297	18194.6426	13819.833
2.8019	16394.6406	20230.5605	13704.1846
2.9353	15173.3564	17497.4531	13675.6348
3.0687	14458.96	15977.0811	13551.7051
3.2021	13965.707	15102.8359	12920.0781
3.3355	14155.9141	14343.7949	12014.252
3.469	13085.3369	13411.6826	11351.21
3.6024	12983.2412	13534.2256	11026.2676
3.7358	12949.8545	13412.6787	10271.3877
3.8692	13189.8057	12791.25	10415.2695
4.0027	12920.9023	13076.2891	10341.3135
4.1361	12065.8828	13196.3174	10567.7783
4.2695	12072.8262	13342.4873	NaN
4.4029	NaN	12769.2393	NaN
4.5363	NaN	NaN	NaN
