x	Y_20181208_15100_1_6g	Y_20181208_15100_11_2g	Y_20181208_15100_12_1g	Y_20181208_15100_13_10g	Y_20181208_15100_13_3g	Y_20181208_15100_13_4g	Y_20181208_15100_14_3g	Y_20181208_15100_15_8g	Y_20181208_15100_16_2g	Y_20181208_15100_23_1g	Y_20181208_15100_27_1g	Y_20181208_15100_5_11g	Y_20181208_15100_5_1g	Y_20181208_15100_6_1g	Y_20181208_15100_6_4g	Y_20181208_15100_8_1g
0	28175.0293	31247.9688	30973.668	31704.4941	28782.6211	30650.4766	27711.8027	28913.1387	28640.8809	30520.0059	28371.1992	31366.7578	30519.6074	30203.291	26376.2109	29515.9395
0.1334	29138.9004	31110.6172	30192.4102	31959.4043	28269.7637	30790.2969	29658.1035	28277.8828	28414.3145	30663.8477	29848.0879	31203.502	29494.6699	31863.5508	27828.4727	28888.9531
0.2668	29637.6152	31745.3926	31774.8555	32320.1426	28769.3711	30566.2207	30885.6934	28317.6934	27925.5039	30333.3926	28710.0234	31673.9863	30314.2676	31121.4824	27528.457	28767.6562
0.4003	29677.7656	31547.1055	32613.752	32226.3203	28900.5391	29649.373	33152.832	28177.5762	27516.8438	30143.25	30775.1934	32686.4238	30108.5508	30325.0664	26587.7031	29650.1328
0.5337	30839.0234	32392.8945	33310.6953	31121.3828	28860.4277	29035.6992	32689.8535	28601.7617	27492.7539	30135.5977	30175.5391	31918.3398	29780.8438	28879.752	26503.4531	29951.3398
0.6671	30763.9746	34004.3203	34137.2539	31126.3301	27297.0254	29624.0703	37411.2852	30209.6133	28361.209	29628.8457	31317.1582	33123.3516	29423	30050.0098	26766.4609	29326.8145
0.8005	29667.9512	35458.5625	35554.6367	30682.5781	29279.334	30474.7363	48999.9492	30762.8027	29679.248	32067.6348	31275.959	34929.2656	29283.9473	31615.4727	25978.7207	30534.2012
0.934	30236.0508	39799.8477	44704.4219	31644.623	29004.377	30185.9297	65730.1016	31735.9473	29158.5449	34794.6992	31963.8555	43921.4805	33265.1133	31044.9922	26158.584	29873.5391
1.0674	30440.3418	49616.4805	69304.9453	31641.9395	31804.2168	31396.9629	73494.125	32704.416	30361.4297	38144.6797	33693.5352	63551.4414	32627.8809	33442.9922	27612.1309	30059.9648
1.2008	35233.5625	76662.1641	103023.8281	32752.8027	38520.8242	30917.084	59264.7031	33442.625	33729.0977	50624.1133	37635.7773	100366.0859	36575.7461	37565.0898	27595.8125	30583.2539
1.3342	46499.8477	107288.8516	105799.7578	36561.2227	52985.6484	32426.6074	42903.25	38799.3281	36622.6641	83688.0938	49210.7773	108981.4141	44487.6211	48192.1602	28456.6309	31859.041
1.4676	71094.5156	103344.0156	73515.0078	42476.707	76355.6875	33436.1328	35840.3047	55329.1875	47514.6094	97796.9688	69536.3594	82724.7656	65576.6094	71003.4688	29635.1621	33287.4648
1.6011	92913.6641	66964.2969	48742.6875	55359.3398	84459.5859	43911.1211	33814.4492	89601.6172	66998.7734	80889.7266	81616.2344	53636.043	103560.2969	98029.5703	34306.6523	37832.2617
1.7345	83032.1641	46143.6328	40673.5703	74162.7578	61819.2109	63883.6914	35513.7656	124128.5938	87905.25	56371.8281	69103.3438	42436.8281	107143.9688	92257.8281	48689.8242	45930.4844
1.8679	55689.7109	36947.9609	37936.9688	70541.9766	41540.4883	101908.3125	NaN	107057.9844	80066.2344	41275.7578	47060.9805	37675.2656	70507.375	59035.4062	76628.7812	57324.4062
2.0013	42132.8789	35769.0352	NaN	50013.8164	34958.2422	101707.3984	NaN	69488.6094	51805.4766	36751.582	35923.1523	34689.8164	48344.0977	43365.8398	80965.9453	56565.4375
2.1347	36161.1055	35379	NaN	39050.418	33750.0039	64295.918	NaN	44174.1992	37543.9297	34605.4961	33257.1992	34477.1211	36748.793	36995.1328	59187.1133	42951.5391
2.2682	32364.7012	NaN	NaN	35346.1719	30923.3594	44668.6094	NaN	36728.5742	32926.9727	33895.0703	32065.5293	NaN	34979.0117	32284.1367	42718.75	36489.9727
2.4016	33465.7305	NaN	NaN	34517.9844	NaN	37202.7383	NaN	33336.4492	30332.75	NaN	30906.9629	NaN	34036.2148	31841.666	36264.8281	33700.7461
2.535	32034.9688	NaN	NaN	32853.9297	NaN	34946.7812	NaN	32654.8496	NaN	NaN	31540.1465	NaN	34641.8906	32222.0391	32536.002	32133.9004
2.6684	NaN	NaN	NaN	31955.3711	NaN	32771.7773	NaN	29793.5762	NaN	NaN	NaN	NaN	NaN	NaN	30219.6289	30808.5371
2.8019	NaN	NaN	NaN	NaN	NaN	31364.4824	NaN	31350.3965	NaN	NaN	NaN	NaN	NaN	NaN	28130.793	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
