x	Y_20181208_15100_1_1g	Y_20181208_15100_1_2g	Y_20181208_15100_11_3g	Y_20181208_15100_11_4g	Y_20181208_15100_13_8g	Y_20181208_15100_14_1g	Y_20181208_15100_15_5g	Y_20181208_15100_16_1g	Y_20181208_15100_16_4g	Y_20181208_15100_3_3g	Y_20181208_15100_5_12g	Y_20181208_15100_5_6g	Y_20181208_15100_6_10g	Y_20181208_15100_6_2g	Y_20181208_15100_6_3g	Y_20181208_15100_6_6g	Y_20181208_15100_7_5g	Y_20181208_15100_7_8g
0	15469.0332	15275.7129	11324.3496	11460.54	14037.7168	12361.5508	13195.8135	12144.915	12235.834	12091.0693	12963.8408	12229.8613	12587.0898	15764.9375	11174.5332	12550.9688	12047.9199	12764.752
0.1334	18168.3066	19110.123	11853.8779	13540.8682	14700.7852	14705.9053	12657.3594	12448.6689	12066.957	13606.7402	13575.4219	14317.3906	13131.2832	19487.8086	12886.6523	12867.7734	13016.1211	15988.4668
0.2668	21904.7109	24631.5645	11227.3584	16798.9004	15923.2725	19705.4473	13666.1201	15223.8125	13276	16463.9277	14927.6084	17992.0215	14839.5469	23327.0391	16567.1953	14768.0273	14483.9473	21366.3438
0.4003	21991.8066	23295.4375	11500.1357	26014.3418	19393.8828	24186.4492	14759.4219	16943.8457	14474.5391	20153.5742	18369.2793	21522.6035	18716.8984	23831.9805	19057.4727	15107.7803	16754.2031	20573.4297
0.5337	19269.6113	21690.9434	12302.3496	34883.8477	20508.793	23069.5645	17896.2773	18523.2012	16405.332	18005.3633	25217.207	20482.3418	18943.2324	21052.2402	18378.3711	19533.4531	15910.2842	18282.6562
0.6671	15998.1992	19371.7012	13891.7441	37155.668	20257.7539	19141.1426	18728.4629	18570.166	16140.2998	16989.5508	26751.7988	16892.4199	17387.0684	18822.2129	16513.1289	25194.3066	13380.0684	16401.5449
0.8005	14999.0283	18805.5273	14428.7383	32572.75	18817.7305	16050.5195	16419.373	18409.8359	15347.4072	17213.459	27665.5391	15332.0986	14486.8652	17495.1504	15673.2686	25995.3008	12887.2822	14935.4248
0.934	13755.2148	17267.2734	14502.3682	26932.5918	17090.9473	14367.8564	15110.748	17374.2598	15085.6797	16197.9541	26604.4062	14534.6963	12937.4355	16843.5195	14945.6318	21462.7871	12191.6348	13966.6416
1.0674	14045.3398	16480.8477	14562.0137	24446.8457	14978.1982	14067.1143	16179.6162	15007.7822	14700.5449	13946.1152	24087.5938	13690.0049	12201.0361	16396.7988	14453.1299	18104.4238	12126.5576	14471.1426
1.2008	14236.6143	15461.2754	13742.7529	21801.9414	14565.2891	15103.1045	18503.5449	14873.3252	14960.877	13716.1123	21540.0391	13636.4893	11758.6602	15284.1621	15055.4678	15971.207	11398.9531	14296.1611
