x	Y_20181208_15100_11_3g	Y_20181208_15100_18_1g
0	29716.9355	32370.3926
0.1334	30722.5508	31600.8887
0.2668	30754.332	31543.9141
0.4003	32481.7812	31547.75
0.5337	31643.1992	33939.8672
0.6671	32254.1895	35015.8945
0.8005	31612.5918	34819.4102
0.934	32894.8203	34206.2031
1.0674	32322.1445	33395.543
1.2008	31805.6172	32942.6719
1.3342	32944.9688	33425.5
1.4676	32426.0684	33162.5859
1.6011	34091.4961	35029.5977
1.7345	33733.6016	33866.6055
1.8679	36386.9453	33565.0469
2.0013	38086.9531	33282.1992
2.1347	40260.668	34011.9258
2.2682	41641.8867	33624.5859
2.4016	42370.1562	34467.2773
2.535	41632.7344	35489.3008
2.6684	40876.8359	34637.3867
2.8019	41928.0391	39722.1719
2.9353	52198.707	54417.5
3.0687	70294.4453	72834.4453
3.2021	79662.4297	74546.875
3.3355	64870.3359	56443.1445
3.469	47602.5234	42577.5586
3.6024	38854.1211	36297.75
3.7358	33755.0391	35179.7812
3.8692	NaN	33169.1172
4.0027	NaN	33003.8594
