x	Y_20181208_15100b_11_3g	Y_20181208_15100b_13_16g	Y_20181208_15100b_13_20g	Y_20181208_15100b_13_4g	Y_20181208_15100b_14_10g	Y_20181208_15100b_14_3g	Y_20181208_15100b_14_7g	Y_20181208_15100b_16_3g	Y_20181208_15100b_17_1g	Y_20181208_15100b_17_3g	Y_20181208_15100b_18_1g	Y_20181208_15100b_18_4g	Y_20181208_15100b_21_5g	Y_20181208_15100b_22_7g	Y_20181208_15100b_23_10g	Y_20181208_15100b_23_3g	Y_20181208_15100b_23_4g	Y_20181208_15100b_24_1g	Y_20181208_15100b_25_1g	Y_20181208_15100b_26_5g	Y_20181208_15100b_26_7g	Y_20181208_15100b_32_2g	Y_20181208_15100b_32_4g	Y_20181208_15100b_32_8g	Y_20181208_15100b_5_6g
0	14573.8184	11674.1436	11451.6602	13707.79	12765.0322	10880.7295	12889.0293	12095.0205	13004.7998	12232.6289	11302.5342	10970.2686	11419.791	11837.7627	12006.8926	14128.3213	11075.877	11560.6182	10801.1084	12142.5596	13245.3086	11244.5732	11358.498	13936.1533	10736.0088
0.1334	14467.8008	12350.6523	10896.0869	14462.1416	15441.4307	11673.1309	15206.9121	12099.0889	13725.6787	12344.8564	11702.1875	11394.9365	11676.3154	12937.1133	11863.3506	15369.46	12100.8926	11884.4902	10567.2617	12132.8838	13312.4121	12008.9756	10961.0811	14828.1943	11230.2881
0.2668	15863.5156	12738.875	11584.8242	14945.4492	17020.3184	13034.1602	21514.3379	13121.168	14285.8662	12400.0312	12199.2715	12169.6064	13455.2441	15645.833	13535.3838	17041.3711	12340.0488	12560.2012	10749.1104	13378.6191	13955.542	13241.5078	10887.3799	19586.2246	12181.1172
0.4003	17429.123	12902.3662	11951.249	15930.4658	18601.625	15414.7607	27181.2871	15965.252	16695.6699	13109.1953	14025.2031	13155.085	15690.709	18318.8184	16184.9736	17998.0566	12917.8779	15692.4082	11484.6846	16369.6709	14235.8779	17131.8926	11827.791	22698.373	13993.6045
0.5337	21755.4434	13462.1055	13926.1074	18585.4199	17329.5176	16012.6289	25937.2773	18046.9805	19108.6035	13404	15501.5215	15331.8281	17923.4551	17710.8887	18881.541	16128.7637	15492.1279	19380.6426	13572.5371	19649.8984	16302.5859	23900.5391	13072.7676	21875.2246	17215.7598
0.6671	22239.0723	15801.2773	17158.6543	22588.959	16952.4219	13849.4375	21498.3984	16695.2617	18403.9883	14427.6289	16863.0254	18929.8496	16631.7109	16712.0098	16897.582	14303.6357	16148.5938	19280.5527	15283.502	19644.0938	15997.8691	22713.8301	15221.1211	19027.9297	18396.1836
0.8005	20931.0996	18741.334	17776.8262	23644.8145	17517.0254	12381.8164	18185.582	16911.9043	15890.8408	15170.2754	15928.2402	19725.0449	14828.4629	15285.5986	14387.6426	12811.0781	15793.8525	16079.8428	15093.5859	18553.1016	16205.0781	19432.9297	17290.2422	18623.1992	17679.1133
0.934	17611.7227	20551.8574	16109.9668	21793.6875	17367.3574	12070.8877	16286.2363	16221.5029	14081.1367	18466.2812	14777.5254	17395.791	13587.9482	15004.9619	13218.2363	13370.8545	14325.8457	14595.6836	13679.7715	18232.7637	14771.0391	15814.1455	18085.7402	18010.4004	18225.9883
1.0674	14586.876	19648.5625	14679.6299	19303.1465	17481.6641	12630.8086	14860.2324	14718.9131	13237.7012	18187.7812	13722.0361	17097.959	12432.7656	14133.2988	13219.2754	14920.2988	13324.9385	12551.2871	12473.5127	17985.123	13226.874	14632.5566	18307.1133	15609.5615	19217.4258
1.2008	15194.332	18015.9141	14481.3828	20668.1094	16726.3594	13153.6865	14788.9961	13101.0029	12697.0439	15524.7256	12815.624	17896.0293	12214.5508	13857.6738	13577.8486	14750.3242	14053.5713	11723.7158	12173.9287	17889.8047	12571.583	15020.7881	17356.0762	14422.375	18462.3672
