x	Y_20181208_15100b_1_1g	Y_20181208_15100b_1_3g	Y_20181208_15100b_1_6g	Y_20181208_15100b_10_1g	Y_20181208_15100b_10_2g	Y_20181208_15100b_11_1g	Y_20181208_15100b_11_2g	Y_20181208_15100b_11_3g	Y_20181208_15100b_12_1g	Y_20181208_15100b_13_11g	Y_20181208_15100b_13_15g	Y_20181208_15100b_13_16g	Y_20181208_15100b_13_20g	Y_20181208_15100b_13_4g	Y_20181208_15100b_14_10g	Y_20181208_15100b_14_3g	Y_20181208_15100b_14_7g	Y_20181208_15100b_15_10g	Y_20181208_15100b_15_11g	Y_20181208_15100b_15_3g	Y_20181208_15100b_15_8g	Y_20181208_15100b_15_9g	Y_20181208_15100b_16_3g	Y_20181208_15100b_16_9g	Y_20181208_15100b_17_1g	Y_20181208_15100b_17_3g	Y_20181208_15100b_17_7g	Y_20181208_15100b_18_11g	Y_20181208_15100b_18_1g	Y_20181208_15100b_18_2g	Y_20181208_15100b_18_4g	Y_20181208_15100b_18_7g	Y_20181208_15100b_19_2g	Y_20181208_15100b_19_4g	Y_20181208_15100b_19_5g	Y_20181208_15100b_19_9g	Y_20181208_15100b_20_11g	Y_20181208_15100b_20_6g	Y_20181208_15100b_21_5g	Y_20181208_15100b_22_20g	Y_20181208_15100b_22_3g	Y_20181208_15100b_22_7g	Y_20181208_15100b_23_10g	Y_20181208_15100b_23_3g	Y_20181208_15100b_23_4g	Y_20181208_15100b_23_5g	Y_20181208_15100b_23_6g	Y_20181208_15100b_23_7g	Y_20181208_15100b_24_1g	Y_20181208_15100b_24_3g	Y_20181208_15100b_25_1g	Y_20181208_15100b_26_5g	Y_20181208_15100b_26_7g	Y_20181208_15100b_27_8g	Y_20181208_15100b_29_5g	Y_20181208_15100b_30_4g	Y_20181208_15100b_30_5g	Y_20181208_15100b_30_6g	Y_20181208_15100b_30_7g	Y_20181208_15100b_32_2g	Y_20181208_15100b_32_4g	Y_20181208_15100b_32_7g	Y_20181208_15100b_32_8g	Y_20181208_15100b_4_5g	Y_20181208_15100b_5_6g	Y_20181208_15100b_6_2g	Y_20181208_15100b_9_1g	Y_20181208_15100b_9_3g
0	25328.1602	29872.8613	33132.918	31917.3574	31509.8223	26450.4863	30389.0547	28243.4297	31796.8691	30274.7656	31036.2168	30477.9961	30810.7188	29039.6133	38503.582	25682.7441	28930.0371	29733.8438	31308.248	29468.3867	28242.2539	31150.127	26604.3613	32126.0742	28576.1562	30684.2949	30483.8457	33964.125	27519.4727	28250.5762	30606.8535	25228.959	30442.4355	27562.4082	31521.6191	31485.1562	26972.5215	30753.6543	30057.0352	31250.8691	25160.8359	31445.623	30484.8926	28471.0254	30353.5625	30190.9902	29878.3809	31214.0176	28526.0703	31554.2441	25078.2461	26588.0273	32589.4883	32167.3223	25954.3438	29896.4043	31186.8809	27663.4902	28893.0195	29392.3613	31887.5918	30017.0488	27550.2832	29998.5938	31027.375	30076.8105	27096.9805	28476.3633
0.1334	25997.4277	27883.4688	31384.1152	31536.5605	30498.5078	26841.9102	30062.6738	28929.4902	31471.7559	29950.6348	30264.6113	30638.2324	30949.1973	29020.9824	33802.1641	26796.2617	30067.7656	30475.834	31911.7734	31369.5293	27198.2949	31275.7305	26571.2773	32046.5117	28061.5625	30504.6172	29476.6152	35089.0664	28533.0234	28952.1094	30946.4961	25051.0918	29205.75	27647.4844	31253.5391	30809.3438	26791.7715	30124.7559	29387.9746	31040.8242	25963.8945	30383.8223	30254.5527	30043.0879	28526.1445	32741.5391	29024.1094	29987.0234	27778.3047	31622.9082	25144.2539	26211.2559	31846.0352	33213.9414	26537.2441	32029.1465	29961.6406	27116.3359	28297.3516	28218.9883	32756.4707	31132.1582	26883.9199	30066.4414	31685.3438	30851.0527	27127.4961	29618.0273
0.2668	25785.3789	29793.4668	32351.6875	31894.4941	31578.9062	27154.7988	29379.8574	30100.3945	31138.8535	29272.6758	32213.9922	29549.084	29934.9453	28936.3359	30665.0566	26741.3438	31792.3301	30388.9219	29753.4492	32628.7812	27546.6309	31627.625	27066.8242	31633.1719	28954.5918	30331.25	29542.0449	34003.2617	29219.8262	29170.9395	30801.9141	26189.2207	30057.0645	28661.6133	30823.9336	30275.2852	26255.9629	30164.4102	29849.416	31181.1641	27089.3594	30656.6895	30230.4453	28169.6289	28814.8613	30981.5547	28349.8828	30225.9844	28224.2363	32365.3887	25790.209	26203.0312	30199.3984	34033.3672	26137.5801	32985.3281	30881.6934	28422.2383	28852.8262	27198.7617	32804.0039	31204.6289	25850.0859	30762.7695	30419.25	32252.8574	26902.6875	29249.5859
0.4003	25801.7598	29600.2324	33955.0273	32146.9609	30997.1289	26571.6953	30031.8809	30991.7832	32679.8848	30555.0449	30418.7812	30063.1445	30383.0039	28831.209	30392.9766	26282.1543	30399.4434	30635.502	30660.6797	31623.9551	27749.1465	30317.1797	25867.9648	30455.2402	28783.9785	29481.9961	28889.1699	34567.9727	28147.7891	29581.0566	29885.0215	25064.3711	30294.5977	28654.0039	30652.6016	29603.7734	26163.7324	31750.6055	29160.1543	30902.8652	26012.4941	31731.291	29469.1582	28107.5352	28757.377	33037.0391	28448.832	30416.5059	30028.2344	32364.7168	25343.7168	26095.084	31779.8652	31149.9277	26238.6426	32408.0879	31240.4746	27988.8184	28915.9863	28568.0625	31655.4824	30338.3223	26815.5957	32220.1465	29932.2539	30537.0957	26557.3379	28866.041
0.5337	26346.6445	29097.2949	33571.418	30873.7422	32806.7461	27461.7695	30999.5605	29769.0234	31013.0059	29164.8203	31063.7402	30952.2207	28420.8438	28689.2754	30543.9023	25855.334	31714.9902	30659.2363	30607.3516	31578.6895	27120.4277	30379.5488	25795.498	29760.8047	28562.3516	30941.8848	28451.043	33684.2578	28503.9883	28635.8965	30304.4902	24196.5605	29983.1758	29643.1543	31346.209	29734.4785	26473.293	30822.3203	28976.084	30921.8438	26610.9355	30821.123	29310.6562	27114.6035	28822.7715	31164.5723	29050.877	30535.8281	29349.1836	32307.4375	26054.0957	26970.1289	30132.3125	30024.873	26397.207	32010.7246	29598.1914	27325.459	28201.8008	29942.6348	30611.8613	29884.0879	26715.0664	33090.2188	29858.6387	30340.207	28148.6758	29010.4277
0.6671	26837.166	29290.5762	32797.7695	32403.5898	32941.125	28052.0039	30425.8086	30570.6426	31641.7402	28755.5	31263.6348	30121.9336	28502.3496	29109.2832	30114.6133	25891.4648	31936.4141	31862.8809	32035.666	32736.4297	26519.0762	31127.4902	26069.6152	30122.918	28202.3203	30961.1699	29406.7891	34103.7891	26636.4824	28023.7832	30275.5391	25044.748	29965.2656	29611.752	31185.7207	29962.9297	25437.3555	30045.0488	29489.8223	33074.9453	27762.2969	32192.7461	28948.4316	27421.8574	28468.6621	30543.498	29819.0938	30315.6367	28593.3359	32527.0273	26133.8496	27106.2891	29731.8828	31740.0156	26719.3438	31029.6777	29818.2246	28357.8301	28369.5742	29148.4238	30317.2676	29628.6152	26661.207	31041.5918	31819.4102	31410.543	27740.0254	29291.7344
0.8005	26107.2617	29587.6387	31852.6875	33799.9102	32081.4609	27020.9082	29046.9766	31353	31086.7129	29210.0703	31299.3945	29233.7852	29755.7891	29954.252	30559.8926	26745.2441	32192.4707	29364.5566	31409.8926	31422.4746	26817.1289	30298.3672	26484.4707	30383.2695	28469.1953	30438.5918	29555.627	34171.0234	26993.4609	28556.4785	29456.8008	24903.7305	30991.0547	30201.0898	30345.5254	30113.0371	26838.2578	32478.7695	28680.8066	33942.1094	26511.3906	32202.5254	28445.4238	28308.9512	28788.2031	32316.4141	28869.1348	30264.3809	29249.8457	30893.334	25722.5391	27777.4238	30501.3477	33101.8164	25815.082	31711.1602	31262.6191	27394.6797	27191.9297	28794.6094	31147.3652	31127.043	27106.9238	30186.2598	31739.6426	30412.2363	26411.5781	29144.6016
0.934	26666.9141	30914.043	32757.5195	34401.0195	31659.0488	26214.9688	28973.3887	31851.6113	31418.2266	29109.168	31725.3477	28271.8008	28852.6738	28852.8262	31188.707	26160.9473	32883.4492	29191.2969	32084.3887	31994.6719	25896.248	31681.0391	27501	29891.4375	28648.7559	29073.6328	28861.2461	33580.9531	27606.7363	29870.7012	31035.5527	25931.2988	30280.0098	28734.8789	30645.1816	32824.0703	27029.0332	31789.0371	29466.2637	34519.5039	27454.5566	31229.4434	29459.4258	29390.5605	28597.6777	31699.3438	30053.334	29926.7207	28132.9062	31104.8789	25392.0137	27927.0508	30982.2715	33003.207	27154.8047	31460.2832	30562.0781	27343.0234	27840.7832	27936.375	32445.2871	30128.8613	27396.584	30589.1504	31533.2031	31327.7695	26838.291	29642.5762
1.0674	25941.8711	31003.7891	31623.6367	33454.4844	30713.2012	27405.0742	29493.8008	30851.5449	30392.5059	29134.4609	30116.3457	28306.8047	29678.1367	29325.293	30881.5527	26963.5977	33100.0469	29317.5254	33273.1094	31272.3828	26855.4629	30091.5723	28874.291	30227.0391	29010.8223	29759.1133	29402.6641	35958.4062	27292.5918	29597.6094	30668.6055	26013.7734	29196.1035	27554.9824	32815.7188	30826.4648	26842.6602	31176.1699	30309.623	33514.5156	27206.3008	32382.6328	30729.2578	29472.8164	28443.2871	30131.6777	29698.3066	31017.5039	29046.2715	32419.7285	27363.043	28907.8828	30605.6621	32797.8789	26825.3086	30213.9492	31370.6953	26168.3145	29273.3984	29155.8105	31742.6562	30312.9688	27876.5957	32072.7891	31067.4512	31696.8125	26354.8047	29490.4863
1.2008	27113.2441	29814.5391	33145.7773	34136.7773	30442.4277	28497.8418	29578.0664	31122.5352	30388.2988	28924.2441	29436.5566	29020.8242	30601.2246	29732.9102	31948.293	26993.2246	37382.6367	29588.5195	31582.7578	32031.1699	27889.9961	30025.8438	28906.9277	30629.5195	30737.2441	30296.3984	29602.7949	36906.8555	29143.5996	33757.8516	30110.7031	25950.3945	31693.2441	28112.4668	32897.6055	30690.4355	26746.0703	32104.4883	32023.6387	33911.9688	28514.8008	33220.8984	31420.4336	30829.3691	30556.9336	31870.3945	31268.5137	30748.584	29810.7266	31891.1777	27155.623	29344.0898	31155.6387	32656.7344	26952.3164	33917.25	33402.6406	25779.8691	28622.2109	31547.627	31239.4824	32399.8164	31057.2793	33171.2891	32127.5176	31783.3281	25886.4863	31065.209
1.3342	25061.6895	31703.6289	33882.3711	35272.8203	33113.9844	29191.998	30162.4023	31122.9551	31096.4434	29795.5352	31877.6406	30222.1484	31152.9062	29267.0117	33982.2734	27600.8516	45914.4727	30526.6641	31498.7539	31377.916	28288.2949	30294.4355	32807.1719	29407.7168	33677.1172	29882.5332	31099.4844	38530.2461	28273.9316	41276.1953	29782.6328	25768.7266	33029.0781	29164.8418	35712.2422	32111.5801	27221.2773	32763.3359	33768.4883	33471.3047	32023.1445	38407.1797	35620.5117	34027.7188	29476.707	31162.7734	34639.6523	31715.0586	31622.7793	30583.4668	28108.5059	31466.084	32633.8496	38113.4453	26673.1426	36886.9297	36743.2031	26671.6445	29251.8203	32503.7051	32319.5625	31203.0762	37114.8516	33192.9453	33145.4141	33582.9609	26307.8125	32077.5098
