x	Y_20181208_15100b_13_10g	Y_20181208_15100b_14_1g	Y_20181208_15100b_16_1g	Y_20181208_15100b_21_8g	Y_20181208_15100b_22_11g	Y_20181208_15100b_22_21g	Y_20181208_15100b_26_3g	Y_20181208_15100b_27_4g	Y_20181208_15100b_3_1g	Y_20181208_15100b_30_3g
0	11096.5156	12689.5039	10674.1758	10570.2598	13691.9551	11064.1377	10056.8896	11641.8848	11897.7314	14164.3271
0.1334	12207.8867	15101.1836	13324.3887	10715.3789	13802.0889	12436.5371	12043.1113	12553.6758	12560.5527	16446.0352
0.2668	11745.1562	15538.1953	16505.5352	12025.5508	13408.4102	13824.4766	14769.4043	13739.5283	13449.6641	19334.5859
0.4003	12013.7041	14720.2344	17878.7422	14072.8301	13938.335	16289.4316	18105.8359	16509.7695	14897.2627	22386.4492
0.5337	13723.624	12967.5898	16101.2666	15839.7842	16878.4355	19035.2461	20340.4902	20092.3828	17573.2598	26104.6699
0.6671	14911.4512	12599.375	15054.8926	15577.6035	18742.3379	20171.0469	17760.4277	22341.0469	17891.2695	23121.3926
0.8005	15187.6963	11911.9365	13489.3604	14829.4424	20349.334	19829.4492	15496.9307	20910.6133	16978.8086	21842.5234
0.934	15241.3711	11713.2568	13516.3262	15265.6855	18282.5762	19086.6973	14539.4912	20071.3301	15071.0146	21113.8945
1.0674	14809.9092	12669.5498	12951.3428	14774.8486	16806.6465	17038.7871	15053.1055	20031.0176	15116.7275	19075.1504
1.2008	14478.2979	13448.958	12898.6455	14570.4727	15491.7148	16670.9004	14408.3467	19217.5781	14588.1592	17796.8535
1.3342	12779.3145	14170.582	13377.6943	15339.5283	14173.8633	15314.5898	14870.9092	19386.6055	14390.2363	15621.6533
1.4676	12302.1973	13703.2148	13220.9932	14351.4336	13275.7549	16009.8496	14589.0811	18540.5898	14394.4385	14136.9395
1.6011	12517.9395	13779.541	13047.9521	13351.9697	13277.3076	15274.1396	14120.8555	18881.6113	13837.209	13704.3379
1.7345	14661.7617	14101.2979	12028.4473	13583.1211	13900.6221	15307.6904	12561.7148	19538.7129	13669.4941	13512.1328
1.8679	16356.3213	14678.6836	12150.8184	13075.9053	14082.9102	15432.0508	12882.7217	18754.125	13206.9971	14009.2559
2.0013	18112.8711	14241.8604	12475.3145	12681.1455	13933.9033	15058.8652	13759.2285	19240.2012	12421.0107	18133.8848
2.1347	18543.6211	12629.6543	13533.0078	12079.0801	13686.7549	16425.377	14249.4004	17251.1895	12049.8115	23113.0703
2.2682	18394.0996	11712.6768	13446.4453	11667.1201	13526.709	18103.0566	14171.5312	16777.082	11772.5742	27291.0547
2.4016	15869.6875	11251.3555	13199.8574	12035.3418	14278.418	17789.2031	14283.2334	18146.1504	12194.9893	24690.8535
2.535	15670.917	10995.4248	12709.498	12228.8359	14628.4482	15544.4033	15696.7822	18988.3398	12208.0928	20345.7598
2.6684	15522.0811	11178.1299	12232.9268	11414.1963	14346.9092	13943.2598	15706.6543	18336.2344	12235.0352	16018.958
2.8019	15639.9336	10863.9395	11556.9961	10837.0137	14017.8135	12534.4473	14318.5078	17193.6504	11392.293	13941.8252
2.9353	14252.584	11304.7939	12052.1455	10961.4473	12603.7119	12005.8545	12534.7236	15237.2871	11452.2666	12322.9092
3.0687	14641.4668	11395.0596	12344.7236	10586.4268	12163.7979	11755.1611	11161.8213	13683.1904	11698.334	12162.3652
3.2021	13370.4355	NaN	11820.0088	11248.4424	12704.9023	12723.6436	10531.3457	12972.708	11990.876	11999.9922
3.3355	13119.8926	NaN	NaN	12014.5322	12537.0244	12388.6904	NaN	13274.0527	12255.1289	11918.1406
3.469	12751.8535	NaN	NaN	12238.2529	12078.4951	NaN	NaN	13286.2002	12144.7129	12485.0371
3.6024	11928.9688	NaN	NaN	NaN	11854.9258	NaN	NaN	NaN	12503.1904	12273.6436
3.7358	11863.7139	NaN	NaN	NaN	12802.5938	NaN	NaN	NaN	12693.8291	NaN
3.8692	11978.3027	NaN	NaN	NaN	13120.7412	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
