x	Y_20181208_15100_14_8g	Y_20181208_15100_15_7g	Y_20181208_15100_24_2g
0	9914.1504	12953.9023	10640.1035
0.1334	10642.623	17913.8633	11753.2432
0.2668	11851.2705	22656.623	14174.3672
0.4003	12788.2031	21098.1328	15463.3301
0.5337	12732.8955	16428.2148	14875.6123
0.6671	12962.9961	13830.8037	13433.0527
0.8005	13983.2881	13447.623	12329.0957
0.934	16263.6494	13416.1055	12009.7715
1.0674	18178.4844	12644.5713	12087.1172
1.2008	16495.4492	12571.6084	12797.3057
1.3342	14670.7344	12859.9893	13031.9941
1.4676	13407.9336	14211.7285	12997.7363
1.6011	12849.8818	13793.1123	13108.5693
1.7345	11816.3203	14435.2285	14982.6348
1.8679	10991.5586	14663.7314	17146.5254
2.0013	11288.5332	14223.4746	16353.4834
2.1347	11126.5254	13862.5986	14935.8301
2.2682	10736.0986	14912.8184	15054.4082
2.4016	10678.1992	15479.0811	14541.0713
2.535	10721.6953	15394.9932	14319.6309
2.6684	10640.042	15050.9033	12961.4717
2.8019	11346.4854	14478.2734	12687.207
2.9353	12382.8438	14796.085	13247.3887
3.0687	12773.5693	14723.0449	12296.0996
3.2021	14956.2256	13698.0195	11881.3477
3.3355	14260.0684	12070.7168	11882.6689
3.469	13374.8428	11116.5186	11723.9658
3.6024	13008.0635	9886.874	11354.3545
3.7358	11933.2109	NaN	10657.6133
3.8692	11459.1963	NaN	NaN
4.0027	11072.8457	NaN	NaN
4.1361	11291.4688	NaN	NaN
4.2695	11484.8057	NaN	NaN
4.4029	11014.126	NaN	NaN
4.5363	NaN	NaN	NaN
4.6698	NaN	NaN	NaN
4.8032	NaN	NaN	NaN
4.9366	NaN	NaN	NaN
5.07	NaN	NaN	NaN
5.2035	NaN	NaN	NaN
5.3369	NaN	NaN	NaN
