x	Y_20181208_15100b_14_8g	Y_20181208_15100b_15_7g	Y_20181208_15100b_20_5g	Y_20181208_15100b_21_6g	Y_20181208_15100b_24_2g
0	30319.2344	29848.3828	31170.9004	31437.9258	27825.7246
0.1334	29908.0547	29330.9727	30841.6387	32367.6406	28643.5859
0.2668	29061.918	29301.9863	30889.668	30913.9668	28263.1621
0.4003	29211.2988	29869.6465	30969.752	29605.5801	29948.9277
0.5337	30985.373	29210.9629	31366.5605	31210.0312	28248.9805
0.6671	30649.3633	29758.0137	30942.2949	30785.4004	29565.9668
0.8005	30794.0703	30526.3262	31927.4688	30168.2422	29244.541
0.934	30985.5762	29808.7148	31122.1543	30302.4746	27661.7422
1.0674	30470.7422	30941.5254	30386.9785	30952	27750.2188
1.2008	30658.8379	31116.1152	30397.9277	31397.6348	29681.7363
1.3342	31064.4922	30180.9043	31481.2188	31925.5781	29591.873
1.4676	32009.8828	31278.6875	29333.2969	32038.1484	29498.7598
1.6011	30025.9902	31335.9336	30055.8223	31817.4922	30142.25
1.7345	29625.4531	31009.8359	29213.7734	31069.9844	30069.4414
1.8679	29590.6016	30993.1992	30180.9785	32214.5625	29432.8086
2.0013	28882.3359	30715.6855	29972.5996	31630.168	29462.7969
2.1347	29435.9238	30547.002	31161.8828	30554.416	28994.9453
2.2682	29061.4316	31647.0059	32983.8789	31403.709	30698.9941
2.4016	30592.1152	32571.2305	31197.7988	32076.002	33159.8281
2.535	29985.0312	35510.582	31603.1055	32141.9805	36469.3867
2.6684	30843.1797	43882.8594	32680.0332	32366.6895	43643.8164
2.8019	30313.2734	61930.4219	33183.4531	34482.1875	65336.9375
2.9353	30161.7832	72938.5	36851.4492	36020.293	100712.2422
3.0687	32712.1367	60340.7422	47093.3477	39919.6602	108653.7734
3.2021	36239.5859	42652.3516	73468.1797	50261.6641	78153.8438
3.3355	43407.8945	34044.5391	95542.0234	76815.9531	49945.5078
3.469	60320.3086	31757.1152	87064.9062	128345.5938	39067.3477
3.6024	84145.5625	30066.7461	64580.9883	151171.0312	34801.5508
3.7358	85561.1797	NaN	48121.9492	114178.3125	32386.3398
3.8692	60702.6055	NaN	39371.1367	63826.3711	NaN
4.0027	43555.8906	NaN	36666.4023	42552.2578	NaN
4.1361	36519.6211	NaN	33837.7031	35372.6289	NaN
4.2695	32874.2422	NaN	33518.832	33241.7109	NaN
4.4029	32297.9766	NaN	NaN	31403.2578	NaN
4.5363	NaN	NaN	NaN	30721.5332	NaN
4.6698	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN
