x	Y_20181208_15100_20_5g	Y_20181208_15100_21_6g
0	10821.79	12206.6387
0.1334	11793.0371	12192.4639
0.2668	14204.1699	12782.498
0.4003	17676.9492	15906.3281
0.5337	17376.5195	19260.1719
0.6671	16299.0195	19547.8184
0.8005	14671.6416	18176.2676
0.934	14986.3389	15721.459
1.0674	16453.1289	13826.4473
1.2008	16077.709	13518.1494
1.3342	14699.9092	13063.1953
1.4676	13629.6807	12885.1904
1.6011	13034.7607	12218.748
1.7345	12861.0791	12570.9062
1.8679	13940.6074	12480.9541
2.0013	14711.9121	12338.2002
2.1347	15793.0488	12628.377
2.2682	17080.6543	12893.2695
2.4016	16961.7539	13445.5703
2.535	18601.7793	14501.5303
2.6684	20401.1465	14746.4434
2.8019	19625.9121	16059.9443
2.9353	17832.5664	15523.7266
3.0687	16305.6113	15184.0264
3.2021	14723.4648	14097.8965
3.3355	13831.835	12735.0166
3.469	13371.5967	12234.6074
3.6024	13986.8242	12750.71
3.7358	14223.3467	12237.0605
3.8692	13800.5117	11771.5957
4.0027	12576.6074	12242.9336
4.1361	13054.9014	11872.0391
4.2695	13422.4189	11643.1484
4.4029	NaN	11295.4111
4.5363	NaN	10896.002
4.6698	NaN	NaN
4.8032	NaN	NaN
4.9366	NaN	NaN
5.07	NaN	NaN
5.2035	NaN	NaN
5.3369	NaN	NaN
