x	Y_20181208_15100b_10_4g	Y_20181208_15100b_11_3g	Y_20181208_15100b_11_5g	Y_20181208_15100b_13_16g	Y_20181208_15100b_13_20g	Y_20181208_15100b_13_3g	Y_20181208_15100b_13_4g	Y_20181208_15100b_14_10g	Y_20181208_15100b_14_2g	Y_20181208_15100b_14_3g	Y_20181208_15100b_14_7g	Y_20181208_15100b_16_3g	Y_20181208_15100b_16_4g	Y_20181208_15100b_16_8g	Y_20181208_15100b_17_1g	Y_20181208_15100b_17_2g	Y_20181208_15100b_17_3g	Y_20181208_15100b_17_6g	Y_20181208_15100b_17_9g	Y_20181208_15100b_18_1g	Y_20181208_15100b_18_4g	Y_20181208_15100b_18_6g	Y_20181208_15100b_19_3g	Y_20181208_15100b_19_8g	Y_20181208_15100b_2_2g	Y_20181208_15100b_20_9g	Y_20181208_15100b_21_11g	Y_20181208_15100b_21_5g	Y_20181208_15100b_22_10g	Y_20181208_15100b_22_4g	Y_20181208_15100b_22_7g	Y_20181208_15100b_23_10g	Y_20181208_15100b_23_3g	Y_20181208_15100b_23_4g	Y_20181208_15100b_24_1g	Y_20181208_15100b_25_1g	Y_20181208_15100b_25_2g	Y_20181208_15100b_26_5g	Y_20181208_15100b_26_7g	Y_20181208_15100b_27_1g	Y_20181208_15100b_27_5g	Y_20181208_15100b_27_7g	Y_20181208_15100b_30_8g	Y_20181208_15100b_32_1g	Y_20181208_15100b_32_2g	Y_20181208_15100b_32_4g	Y_20181208_15100b_32_8g	Y_20181208_15100b_5_5g	Y_20181208_15100b_5_6g	Y_20181208_15100b_6_4g	Y_20181208_15100b_7_3g	Y_20181208_15100b_8_1g	Y_20181208_15100b_9_2g
0	32240.3945	28243.4297	34471.9023	30477.9961	30810.7188	26500.5332	29039.6133	38503.582	28617.2852	25682.7441	28930.0371	26604.3613	26318.7656	30102.9414	28576.1562	25837.6914	30684.2949	31046.2852	27800.1094	27519.4727	30606.8535	29247.4141	25125.2383	32796.0547	29366.2656	31639.9727	31560.0664	30057.0352	32304.7656	28757.7344	31445.623	30484.8926	28471.0254	30353.5625	28526.0703	25078.2461	27349.8086	26588.0273	32589.4883	15689.7109	32761.6191	26506.6172	27283.2871	28028.418	29392.3613	31887.5918	27550.2832	31058.709	31027.375	30195.1348	29221.0488	26761.8281	29045.2324
0.1334	32817.8867	28929.4902	30741.666	30638.2324	30949.1973	26929.8906	29020.9824	33802.1641	27936.377	26796.2617	30067.7656	26571.2773	25984.127	30485.4668	28061.5625	25748.9453	30504.6172	31009.543	27365.9121	28533.0234	30946.4961	29759.7363	24912.2324	31206.2754	29818.2266	31545.5117	32748.6543	29387.9746	34063.3164	28303.873	30383.8223	30254.5527	30043.0879	28526.1445	27778.3047	25144.2539	27510.7012	26211.2559	31846.0352	15117.7139	32088.7422	26367.7852	28034.7539	28107.7637	28218.9883	32756.4707	26883.9199	29817.0664	31685.3438	31734.5898	28724.1016	26214.0352	29958.0273
0.2668	33826.2617	30100.3945	33750.293	29549.084	29934.9453	27382.9648	28936.3359	30665.0566	28062.5977	26741.3438	31792.3301	27066.8242	26688.5508	30413.5137	28954.5918	26522.7344	30331.25	30181.752	27679.7871	29219.8262	30801.9141	31356.0371	25056.7383	30620.377	29646.3613	32278.0566	31710.9707	29849.416	33451.2305	28268.4766	30656.6895	30230.4453	28169.6289	28814.8613	28224.2363	25790.209	27080.2168	26203.0312	30199.3984	15402.1113	30335.584	25491.377	28393.8945	29196.6191	27198.7617	32804.0039	25850.0859	31751.6387	30419.25	31566.2363	30091.7461	25871.9629	30015.75
0.4003	31805.2148	30991.7832	30397.3027	30063.1445	30383.0039	27941.7988	28831.209	30392.9766	26719.9609	26282.1543	30399.4434	25867.9648	28315.4395	29867.6152	28783.9785	27125.1523	29481.9961	31454.1934	27196.2227	28147.7891	29885.0215	30633.7734	25401.7988	29431.8633	27871.7344	32224.6406	30878.4961	29160.1543	33620.5625	29508.209	31731.291	29469.1582	28107.5352	28757.377	30028.2344	25343.7168	26052.4824	26095.084	31779.8652	20489.3652	31960.1562	26022.4375	28358.3926	28844.7969	28568.0625	31655.4824	26815.5957	30535.4473	29932.2539	31026.6543	29325.9375	27262.3379	28640.9453
0.5337	32102.043	29769.0234	33276.0078	30952.2207	28420.8438	26833.5898	28689.2754	30543.9023	27225.3457	25855.334	31714.9902	25795.498	27363.2285	31663.1289	28562.3516	28380.6777	30941.8848	32492.752	27074.1562	28503.9883	30304.4902	29231.5996	25836.2578	31976.9648	28832.3848	32062.9199	31976.918	28976.084	33234.9922	29530.2559	30821.123	29310.6562	27114.6035	28822.7715	29349.1836	26054.0957	26486.3203	26970.1289	30132.3125	20104.4121	29198.3887	25774.7012	28192.666	27654.8164	29942.6348	30611.8613	26715.0664	30060.582	29858.6387	30367.4199	28177.7656	26918.4277	29157.0625
0.6671	31554.0645	30570.6426	32430.373	30121.9336	28502.3496	28592.6914	29109.2832	30114.6133	28004.5508	25891.4648	31936.4141	26069.6152	27758.3848	30592.2637	28202.3203	27722.582	30961.1699	32233.9219	26699.0527	26636.4824	30275.5391	30700.625	25131.5293	30726.8574	30456.8633	32071.8008	32181.0059	29489.8223	32062.0195	30524.0098	32192.7461	28948.4316	27421.8574	28468.6621	28593.3359	26133.8496	26853.5742	27106.2891	29731.8828	21185.3555	30120.8438	26555.4316	29399.8477	28878.9746	29148.4238	30317.2676	26661.207	30909.7285	31819.4102	30611.9922	29337.2676	26886.0273	27891.8164
0.8005	31561.5801	31353	31751.168	29233.7852	29755.7891	28406.498	29954.252	30559.8926	27448.832	26745.2441	32192.4707	26484.4707	29751.2773	31368.127	28469.1953	27551.959	30438.5918	33537.0312	26462.3848	26993.4609	29456.8008	31740.7656	25177.0469	30425.127	30296.752	35205.4336	32613.3223	28680.8066	32640.7031	29408.4668	32202.5254	28445.4238	28308.9512	28788.2031	29249.8457	25722.5391	27460.6738	27777.4238	30501.3477	21157.4121	30952.959	26828.0605	28572.0684	27665.6895	28794.6094	31147.3652	27106.9238	29243.2676	31739.6426	30443.0938	29921.2773	28711.7559	29545.9961
0.934	31482.5332	31851.6113	34627.2617	28271.8008	28852.6738	30659.959	28852.8262	31188.707	29027.8848	26160.9473	32883.4492	27501	33293.6562	31669.5391	28648.7559	27823.9941	29073.6328	33274.875	29110.1914	27606.7363	31035.5527	34004.9414	26036.1113	31535.2559	30297.1523	38333.6289	32906.5117	29466.2637	33576	30904.0605	31229.4434	29459.4258	29390.5605	28597.6777	28132.9062	25392.0137	27473.1152	27927.0508	30982.2715	23894.5449	30838.9805	28328.5273	28575.707	28657.7812	27936.375	32445.2871	27396.584	31702.3418	31533.2031	29352.3145	28447.8652	30900.4141	30591.5039
1.0674	30664.7305	30851.5449	35565.9727	28306.8047	29678.1367	30753.541	29325.293	30881.5527	29654.0508	26963.5977	33100.0469	28874.291	39890.8281	34055.4023	29010.8223	29152.5781	29759.1133	35393.918	29026.9629	27292.5918	30668.6055	39865.207	26594.8633	30409.1934	30128.5566	41213.3125	32778.0703	30309.623	32733.1406	32100.3945	32382.6328	30729.2578	29472.8164	28443.2871	29046.2715	27363.043	27672.459	28907.8828	30605.6621	26729.6816	32122.2793	28974.1484	28474.1133	29516.8242	29155.8105	31742.6562	27876.5957	32348.4844	31067.4512	30714.0527	29348.2969	31762.6719	30886.5176
1.2008	31617.9863	31122.5352	37641.2227	29020.8242	30601.2246	33515.4922	29732.9102	31948.293	29688.4434	26993.2246	37382.6367	28906.9277	58561.8633	39296.125	30737.2441	30074.293	30296.3984	36368.9453	33104.8516	29143.5996	30110.7031	52881.7188	29142.543	32291.5938	31955.9316	55605.5156	34946.6172	32023.6387	33728.4883	34226.7188	33220.8984	31420.4336	30829.3691	30556.9336	29810.7266	27155.623	27781.7637	29344.0898	31155.6387	42724.9297	34324.3594	33546.543	29964.1328	28885.6445	31547.627	31239.4824	31057.2793	31697.4668	32127.5176	32801.1172	30460.9023	32563.0859	30698.2969
