x	Y_20181208_15100b_11_3g	Y_20181208_15100b_13_11g	Y_20181208_15100b_13_3g	Y_20181208_15100b_15_7g	Y_20181208_15100b_16_8g	Y_20181208_15100b_17_3g	Y_20181208_15100b_17_6g	Y_20181208_15100b_18_3g	Y_20181208_15100b_18_9g	Y_20181208_15100b_19_3g	Y_20181208_15100b_19_5g	Y_20181208_15100b_19_6g	Y_20181208_15100b_2_3g	Y_20181208_15100b_20_11g	Y_20181208_15100b_20_12g	Y_20181208_15100b_20_8g	Y_20181208_15100b_21_13g	Y_20181208_15100b_21_3g	Y_20181208_15100b_21_4g	Y_20181208_15100b_21_7g	Y_20181208_15100b_21_8g	Y_20181208_15100b_22_6g	Y_20181208_15100b_22_7g	Y_20181208_15100b_23_10g	Y_20181208_15100b_26_11g	Y_20181208_15100b_26_1g	Y_20181208_15100b_32_5g	Y_20181208_15100b_4_2g	Y_20181208_15100b_4_5g	Y_20181208_15100b_5_2g	Y_20181208_15100b_5_3g	Y_20181208_15100b_5_5g	Y_20181208_15100b_5_6g	Y_20181208_15100b_8_4g	Y_20181208_15100b_9_1g
0	12640.0098	10102.2861	10986.9541	11852.8037	11066.9395	9913.9375	10550.5332	14297.9775	11040.6592	9413.0615	14886.4961	11336.4854	9798.4561	12304.5605	12247.0156	11204.9707	13650.9492	12370.2207	11967.6631	10715.1982	11408.5752	13531.5947	13809.9805	12408.6699	10836.6084	13484.2754	12507.5234	10302.3428	11249.4844	18331.9414	12400.8662	16404.9785	12510.1309	11115.2061	11206.8682
0.1334	13788.2285	10931.8613	13440.2744	12485.9404	12275.248	10364.6211	11792.5283	15375.7998	13231.2793	12189.0889	15911.5576	13564.832	10539.3613	12645.1074	12891.3613	11522.79	15700.2939	13280.7832	13315.8584	10422.1553	11883.8613	16013.8789	15263.8086	14316.6064	10819.9404	14051.6689	12573.3418	11068.4121	11606.96	20055.1543	12534.0723	18638.207	13343.666	11640.3486	12361.0342
0.2668	15920.9414	11914.7949	17553.6602	13405.6689	13723.7607	11077.1074	12598.3584	17686.9316	16317.7412	12776.0938	18422.8516	15514.5498	10929.8857	13105.9463	13090.7061	12453.1201	15542.2734	15570.5703	15491.791	11932.2422	15292.5713	18038.8457	16550.707	16889.2188	11362.9648	14431.665	13837.208	12667.8633	12562.4922	20673.1055	13655.4609	19143.0137	14314	12269.748	12996.4199
0.4003	20170.0371	14209.1172	22166.2285	14867.9062	14916.1553	11439.0312	13132.3232	19330.668	19626.3828	14240.627	20381.6465	14633.7568	11141.6289	13033.835	12659.4971	14432.2783	17180.7754	14943.5	15368.7793	13594.207	17616.7812	15335.8398	15442.8721	17198.9043	12719.2061	16211.7148	15152.1846	14509.8721	13644.2207	20132.4531	15704.1689	17021.9941	16516.3594	12672.1504	15025.1592
0.5337	22283.6836	16920.623	23106.5137	17876.1914	16946.7578	12814.6123	14352.7275	19336.1328	19138.0117	14007.4785	18209.9688	14844.4316	11251.0293	12929.1338	12596.1211	14813.4053	16319.2178	14796.2334	14893.4922	16839.5352	17417.6504	14856.2637	13149.3271	15624.3115	13322.9209	16876.6543	18400.3887	15771.8945	16178.7432	21195.3965	18116.8066	15465.999	19170.0117	14368.2852	14134.5684
0.6671	21337.4141	17688.1562	22054.8145	18735.8008	17684.4434	13841.4893	16420.7363	18215.0762	17751.6895	13210.3594	16637.9766	15356.5137	12598.0137	12620.8506	12306.3613	16585.8438	14851.3525	14532.5439	14451.2656	16102.376	16659.9082	14720.8447	12165.4443	16211.3838	14001.0303	17107.6133	20134.0781	16053.3389	19364.5352	22055.8105	18074.8926	14659.1094	18289.0195	15288.542	14058.4873
0.8005	18160.7051	17838.1738	18829.2773	15858.0146	15797.7803	14807.0029	17253.2852	16211.4658	18016.4043	12725.7979	14288.1025	14708.9795	14364.7383	12758.752	11952.9219	17800.2832	13846.6846	13848.085	15150.1035	15485.2773	15625.7041	15038.4229	12312.0811	15614.6396	13938.9434	16160.0801	18418.6602	15368.2539	20565.5664	22986.1543	17074.0234	13202.4629	17469.4434	15034.1631	13609.9121
0.934	16960.4453	19612.918	18435.418	14665.4141	16145.2686	14393.6465	16483.5566	15315.7969	16575.9082	13303.7314	13380.5312	13689.4561	15223.1523	12475.2344	11363.4316	17375.0957	13339.3359	13190.8906	14916.3857	14830.9814	16846.248	14213.9336	12439.3389	15581.3721	12642.6631	15228.7168	16912.4844	15942.7715	17969.5156	19245.2344	15624.249	13032.9102	16177.2207	14540.1816	13543.1357
1.0674	17000.0957	22733.207	17287.4102	14092.8135	16549.6113	13963.2656	15449.5098	15055.9688	16436.2598	13780.5449	12789.3652	12095.4355	14181.2207	12322.9814	10956.0791	15775.1592	12609.4131	12769.957	15038.7725	13843.501	17108.1289	13468.2119	11220.4824	16020.1953	12319.4648	14248.0186	15928.4922	17230.9668	16108.3477	18288.2715	14923.9893	13244.8906	14744.1006	14662.582	12272.5762
1.2008	16920.9141	20564.959	16361.3896	13310.7764	16675.6328	14355.4199	15493.4219	14765.0537	16369.1035	12732.5742	12754.1826	11471.8193	14202.3838	11622.626	11593.8516	14787.9814	12653.9893	11671.4492	14592.8174	12948.0605	16919.0508	12999.4648	11923.4902	17939.5605	12119.0801	13642.2031	15297.0371	17511.0703	15747.3008	16596.9316	15242.374	12826.2256	14762.4287	14019.165	12568.46
1.3342	16944.2031	20071.9492	13995.4482	13382.4297	15753.1592	13547.168	15776.6377	14337.7988	15635.5029	11586.1709	12308.0938	11305.251	13250.9902	11699.3145	10890.6055	16007.543	12200.0469	11435.3828	13271.416	12625.6865	16478.123	12490.2832	11755.8037	16243.1465	11640.6504	12457.9746	14736.9688	15251.2158	14662.2607	14380.25	15568.0156	12657.9746	14498.7754	13641.2295	11791.5186
1.4676	16676.2969	19119.4473	13025.3066	13272.1934	14548.7275	13785.1201	14767.0342	13617.373	14404.6826	11496.167	11606.8418	10864.4092	13535.7822	11381.8223	10646.6748	15238.0527	11890.3955	11335.4199	12768.623	12360.501	15369.9531	11976.916	12157.1846	15738.5332	11445.0234	11905.8975	13801.6055	14028.2373	14372.4287	13853.9834	15094.3467	13426.5439	14890.958	12968.9219	11143.9297
1.6011	17060.8516	19952.8398	12459.2871	12862.0771	13366.4951	13801.0039	14448.0059	13357.2881	12822.2803	11591.2471	11679.2383	10961.167	12094.3232	NaN	10579.8135	14440.6631	11793.5615	11350.2393	12256.2344	12797.9756	13797.8838	11927.0869	NaN	14398.21	10778.249	12061.1943	13295.7715	12159.0977	14710.4238	13023.1387	13909.4629	12510.377	13987.8506	13146.252	11272.6191
1.7345	15709.3115	19238.9453	11646.2275	13027.916	13140.0742	13636.3818	13948.7334	NaN	12764.6064	11175.9111	11840.4629	11522.0049	12011.3008	NaN	10937.8408	13332.4551	11421.8545	NaN	NaN	12741.8496	13188.4053	12194.292	NaN	14182.3652	10473.7676	11683.2832	12052.4736	12185.7803	14647.0166	NaN	13298.3584	12766.9258	13462.1514	12539.9092	NaN
1.8679	15305.2793	16953.8906	11334.1055	NaN	13613.9746	13782.04	13429.0615	NaN	13019.8135	10922.8311	11780.9121	NaN	12442.127	NaN	9941.7002	13401.6807	NaN	NaN	NaN	12409.8945	12486.666	12070.3252	NaN	13300.7998	11040.498	11657.0781	11797.2393	12730.9795	14875.7607	NaN	12922.2012	12574.8965	13315.3037	12328.1582	NaN
2.0013	14184.9824	15140.9629	11238.3262	NaN	13283.1299	13693.8379	13725.6621	NaN	12353.4463	NaN	NaN	NaN	11800.2998	NaN	NaN	13056.4961	NaN	NaN	NaN	NaN	12187.4785	12326.2822	NaN	NaN	NaN	NaN	12114.9346	11986.207	14432.9736	NaN	12463.6494	NaN	NaN	12061.6025	NaN
2.1347	13419.2119	14059.9551	11413.0732	NaN	NaN	13182.0957	13138.0439	NaN	NaN	NaN	NaN	NaN	11841.2256	NaN	NaN	12865.7627	NaN	NaN	NaN	NaN	12637.1436	NaN	NaN	NaN	NaN	NaN	12097.7646	11867.1895	NaN	NaN	12375.7646	NaN	NaN	12550.8438	NaN
2.2682	13365.0635	13484.043	NaN	NaN	NaN	13001.1553	NaN	NaN	NaN	NaN	NaN	NaN	12107.582	NaN	NaN	12779.2012	NaN	NaN	NaN	NaN	12926.4668	NaN	NaN	NaN	NaN	NaN	11454.0039	11539.7158	NaN	NaN	NaN	NaN	NaN	12779.4619	NaN
2.4016	NaN	12004.0498	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11777.9229	NaN	NaN	13159.6924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11625.3184	NaN	NaN	NaN	NaN	NaN	12135.376	NaN
2.535	NaN	11685.082	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11289.8115	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
