x	Y_20181208_15100b_19_4g	Y_20181208_15100b_26_3g
0	14568.96	11347.9688
0.1334	17395.7871	12719.5254
0.2668	19998.2441	14856.1143
0.4003	19546.709	15391.7207
0.5337	16756.6992	15384.4883
0.6671	16579.1543	15712.9795
0.8005	15224.3223	16257.7109
0.934	16063.3916	15989.4209
1.0674	15342.1309	15565.4355
1.2008	13428.709	15806.3574
1.3342	14391.2715	15276.0293
1.4676	14304.9668	16024.0127
1.6011	13946.5254	16107.8818
1.7345	13665.5469	14937.667
1.8679	13027.9512	13547.4141
2.0013	11856.6914	13121.0615
2.1347	11505.7383	12690.4297
2.2682	11794.2744	11929.7314
2.4016	11614.457	11529.6904
2.535	11488.6025	11184.5264
2.6684	11810.626	11415.0234
2.8019	NaN	11061.6396
2.9353	NaN	11441.2451
3.0687	NaN	NaN
3.2021	NaN	NaN
3.3355	NaN	NaN
3.469	NaN	NaN
3.6024	NaN	NaN
3.7358	NaN	NaN
3.8692	NaN	NaN
