x	Y_20181208_15100b_19_4g	Y_20181208_15100b_26_3g
0	30662.3398	28714.3125
0.1334	28646.8613	28301.8457
0.2668	28481.8066	28372.7266
0.4003	28900.043	28578.4395
0.5337	28523.9883	28414.7578
0.6671	28796.2324	29539.4648
0.8005	29383.8711	28478.9023
0.934	28432.2812	29463.5137
1.0674	28127.1484	29738.7598
1.2008	27648.1113	28971.9863
1.3342	28718.2227	28870.5977
1.4676	29647.002	29578.8223
1.6011	29877.0957	29499.627
1.7345	34850.75	28945.9551
1.8679	42831.2031	30527.0645
2.0013	52257.1055	35211.418
2.1347	54757.6719	41797.8086
2.2682	43331.1133	47095.6523
2.4016	33809.4883	45785.2539
2.535	31021.9961	37145.5273
2.6684	29907.373	33404.3789
2.8019	NaN	32141.168
2.9353	NaN	31140.8105
3.0687	NaN	NaN
3.2021	NaN	NaN
3.3355	NaN	NaN
3.469	NaN	NaN
3.6024	NaN	NaN
3.7358	NaN	NaN
3.8692	NaN	NaN
