x	Y_20181208_15692b_1_1g	Y_20181208_15692b_10_1g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_4g	Y_20181208_15692b_13_4g	Y_20181208_15692b_16_4g	Y_20181208_15692b_7_7g	Y_20181208_15692b_9_6g
0	9461.5898	9130.8809	11202.3213	9453.8877	9444.4229	16021.7148	12095.6807	13571.2168
0.1334	9671.6592	9262.4375	12544.5166	9825.1953	10260.4619	21960.1621	13076.1436	13132.2627
0.2668	11014.7627	9483.5537	18103.2285	10223.9863	11912.791	24817.8984	16056.2822	14773.3994
0.4003	13612.376	10492.1533	19189.2578	12091.1475	13904.8008	23094.3066	17917.0137	16378.9131
0.5337	16345.5527	12333.7695	18351.5078	15695.2148	15954.1797	19375.2598	17035.207	17070.8027
0.6671	17305.3262	15735.4316	15719.2139	17036.8164	15769.1758	18640.7441	14875.9912	15266.7314
0.8005	16774.2402	18551.9238	15003.1963	16346.7686	15343.251	17539.1582	12447.042	15665.3691
0.934	16710.7266	18438.7539	18025.5918	16081.6826	14772.9473	17027.3594	11469.6729	14795.5781
1.0674	16232.1973	15440.8203	17862.5664	15512.3242	14711.3662	15335.623	11532.8057	13578.042
1.2008	16959.9355	15360.8838	15255.5283	15573.8926	14187.4443	15177.4316	11698.0732	13046.1719
1.3342	16231.3848	14088.1416	14158.5361	15435.4004	15403.9805	14287.2168	11517.6855	12490.6875
1.4676	15322.8662	14881.6064	13263.3848	14486.0635	14735.3115	14743.793	11366.6143	12206.4473
1.6011	16086.2754	17472.3672	14795.4023	15038.9902	13915.9697	14360.4736	11783.5352	12165.9551
1.7345	17633.6758	16938.6133	13656.708	13824.2783	14511.9092	13751.3955	12846.4316	12366.3652
1.8679	17133.4336	15561.7744	13326.335	13565.5605	13617.3477	13685.0566	13820.5537	12795.0439
2.0013	16327.9053	14576.7783	13236.6338	13687.7021	13195.7373	13531.8311	13875.0312	12073.8477
2.1347	16410.3594	15714.5479	12843.5488	13322.376	13575.1367	13161.3154	14949.5889	12666.0713
2.2682	16681.832	16086.6084	12380.1475	13244.9414	13194.9502	13815.917	13847.4883	12117.7822
2.4016	15602.5303	15511.875	12498.4863	13558.0029	14104.2959	13773.8359	13349.8486	12538.8105
2.535	14637.3457	15883.4365	12767.6387	13837.2109	14446.5918	14277.084	13665.0645	11837.3828
2.6684	13530.1855	13489.3203	12970.0439	13368.2588	13244.7295	14292.3516	13682.7168	11545.2979
2.8019	13704.917	13443.1357	12710.8447	12730.6406	13051.5752	14347.2637	12959.3154	11398.5811
2.9353	12856.2148	12850.5322	11362.3525	12593.9209	12554.0557	13559.4824	13276.9854	11621.4707
3.0687	12628.9893	12438.8301	12029.3301	12572.0449	11724.7119	13394.2217	13026.4307	NaN
3.2021	12700.7646	13536.4854	11400.0645	12229.2393	12313.7383	NaN	13520.249	NaN
3.3355	12728.8721	12853.5547	11220	NaN	11882.7959	NaN	13113.7666	NaN
3.469	NaN	12314.3105	NaN	NaN	11594.6963	NaN	13742.5293	NaN
3.6024	NaN	12867.7051	NaN	NaN	11770.2812	NaN	12997.1846	NaN
3.7358	NaN	11817.5137	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
