x	Y_20181208_15692_33_6g	Y_20181208_15692_36_6g	Y_20181208_15692_44_1g
0	27622.1035	28521.6797	24063.7461
0.1334	27679.1348	27841.4316	24427.9492
0.2668	28276.1895	28096.625	24644.4473
0.4003	27797.1484	28752.2344	25244.0332
0.5337	26742.3242	29085.7031	25805.6289
0.6671	26812.7754	27950.2051	25350.375
0.8005	26929.6973	29413.6074	25926.4355
0.934	26797.7461	28513.4707	24838.6621
1.0674	25462.0234	27101.9375	24041.8848
1.2008	26004.8789	29171.625	24624.2578
1.3342	27758.5938	30111.9863	26203.5254
1.4676	28077.5508	28701.8555	24610.7832
1.6011	29092.3984	28591.6992	24687.8887
1.7345	29430.3164	28567.0312	26742.373
1.8679	28258.584	27201.6895	26934.2266
2.0013	27550.7578	26990.9688	25446.127
2.1347	30582.1816	28064.4531	25066.2656
2.2682	29960.9648	27299.6387	26695.5664
2.4016	29423.7285	27499.8047	26730.8652
2.535	29261.6016	28026.7285	28666.4512
2.6684	30092.0469	28321.9707	29357.7754
2.8019	31009.0723	30766.2441	30010.4297
2.9353	30386.1172	34258.1367	31615.0684
3.0687	33219.5938	42458.957	33744.8984
3.2021	42579.1641	50419.957	38783.4609
3.3355	56685.0547	51158.832	43332.8164
3.469	61722.3633	42103.2812	38471.0156
3.6024	48941.4141	35289.9883	32746.2969
3.7358	37030.0781	32459.7676	28087.877
3.8692	31231.2148	NaN	27534.541
4.0027	29959.9844	NaN	26983.4414
4.1361	NaN	NaN	26261.4453
4.2695	NaN	NaN	NaN
4.4029	NaN	NaN	NaN
4.5363	NaN	NaN	NaN
4.6698	NaN	NaN	NaN
