x	Y_20181208_15692b_13_3g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_17_4g	Y_20181208_15692b_3_5g	Y_20181208_15692b_5_4g	Y_20181208_15692b_7_5g
0	12761.5762	11570.4727	10548.5215	8895.3994	12490.502	11686.0557	11414.585
0.1334	12648.0068	11794.0459	11433.0742	9626.25	13408.7305	12340.5635	12729.498
0.2668	13511.5283	12714.8379	13241.249	10349.7344	14843.8574	13682.9404	14480.4834
0.4003	16049.4766	14913.2041	14973.3652	11056.3604	18050.332	16907.2109	16704.0059
0.5337	17610.2793	17614.4102	18947.8789	13570.666	21347.7188	18025.627	19229.6465
0.6671	17136.4219	20410.084	21121.0273	19003.418	19937.5547	17094.1758	20208.5508
0.8005	14617.0479	17735.9219	20132.9199	19692.3867	19279.248	14494.7852	18524.0879
0.934	13526.7432	15720.4844	16358.2783	15535.4453	18490.5879	13154.5957	17567.2637
1.0674	13730.5898	15430.2812	15953.793	13079.5928	16557.0078	12553.2539	17277.877
1.2008	13754.5996	15236.4912	14724.9854	12434.3623	15779.1758	12391.9883	17869.3086
1.3342	13321.3428	13547.4971	15069.6553	12891.2607	16290.5361	11696.2852	18508.8516
1.4676	13071.1387	12480.0557	15435.9492	12757.1904	15809.751	11154.0479	17553.6914
1.6011	13077.958	12232.8135	15011.0547	11594.9072	15347.1982	12032.7422	17210.2539
1.7345	13812.2891	12614.1064	15164.3037	13166.8818	17304.291	12206.0303	18473.8359
1.8679	14050.7197	13164.2744	15232.46	13662.4072	18678.2188	12281.29	16509.6426
2.0013	13887.708	13473.54	15256.9023	13855.0508	17647.8438	12740.8809	16931.6367
2.1347	14027.8018	13058.1758	14983.501	14773.2559	15314.5205	12543.958	16168.7939
2.2682	13556.4775	12391.5254	14563.0508	14471.1777	13177.4648	12059.6504	15701.3018
2.4016	13346.2129	11528.4121	12911.8281	14312.7451	12308.7402	12217.0244	14092.2969
2.535	12811.8965	11880.0498	11937.7109	14773.3496	12477.9473	12336.7295	12650.0918
2.6684	13039.5029	11486.9287	11678.2236	13859.4648	12004.1367	12048.8496	12432.8145
2.8019	12880.7344	11538.2822	11837.1025	13304.917	11739.0049	12547.5615	12156.9033
2.9353	12815.7852	11904.4883	11944.793	13376.9072	11724.3564	12702.7773	12050.7783
3.0687	13533.8496	12021.9277	NaN	13798.1943	12656.0117	NaN	12026.7578
3.2021	13314.1553	11834.4346	NaN	13028.1758	12189.1562	NaN	12790.6689
3.3355	NaN	NaN	NaN	13472.1416	12597.3037	NaN	12513.2998
3.469	NaN	NaN	NaN	12645.4678	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN
