x	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_22g	Y_20181208_15692b_12_6g	Y_20181208_15692b_17_1g	Y_20181208_15692b_2_3g	Y_20181208_15692b_3_1g	Y_20181208_15692b_3_2g	Y_20181208_15692b_3_7g
0	12843.3936	12878.4492	12497.2197	11497.582	13860.7959	12041.2373	13727.4873	12378.4658
0.1334	12730.9395	15201.1025	11466.1387	11356.7461	13793.793	11930.0908	15465.7568	11950.9619
0.2668	14636.9678	18220.3379	12176.9326	11525.8379	14621.374	11808.2852	16274.7881	12492.5273
0.4003	16535.6289	16662.9512	12870.5918	11749.5938	16190.0117	12801.6475	14878.9707	14295.8936
0.5337	19483.8281	13465.2783	12256.1963	13749.7529	21339.002	13988.1211	13599.2363	16059.0801
0.6671	17302.918	12047.0254	12807.5283	15875.2744	21744.2441	13937.7168	12322.3984	17626.9473
0.8005	15173.2344	12485.2715	13907.4238	16712.8105	21041.793	13160.0332	12231.1084	18338.7207
0.934	14442.5391	12281.5674	14813.6426	15160.4209	18830.6523	13324.5498	12263.4834	17110.2266
1.0674	14209.4775	11720.7227	17136.0742	13441.3262	17655.4062	14057.7842	11507.5244	16224.7002
1.2008	14438.5088	11463.6914	16720.0469	13139.0518	16812.1113	14773.4658	11635.791	16458.373
1.3342	14063.2021	11631.1094	16303.3096	13724.3604	16647.1738	14494.7236	11681.0713	16781.7852
1.4676	13309.2793	11283.8564	15423.6182	14011.3184	14222.6123	13168.1211	11605.2334	15646.7705
1.6011	13493.2695	11184.7119	14460.4629	13701.4902	13239.1055	12546.3486	12086.6396	15618.1816
1.7345	13324.7852	10570.0605	14107.6836	12910.2686	12916.9854	11926.2246	12062.6465	16204.0205
1.8679	12505.6211	10610.1865	14041.8213	12388.3398	12752.0635	12115.6475	12355.791	17123.4004
2.0013	12266.4502	10895.1875	12789.834	12606.8652	12468.5635	11840.0361	12132.9287	15762.5547
2.1347	11720.8926	10679.0312	12074.3564	12578.3135	11962.8359	12088.0117	12013.5996	13056.4961
2.2682	12229.584	NaN	11621.9629	11986.9707	11625.7998	NaN	12358.9258	13103.0674
2.4016	12087.1602	NaN	11128.0781	11889.4385	12421.0732	NaN	NaN	11135.2002
2.535	NaN	NaN	10765.9365	11673.2275	12256.7334	NaN	NaN	NaN
2.6684	NaN	NaN	11191.2539	11959.3096	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	11004.7334	12287.9834	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	10579.3584	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
