x	Y_20181208_15692b_1_1g	Y_20181208_15692b_10_2g	Y_20181208_15692b_10_5g	Y_20181208_15692b_11_15g	Y_20181208_15692b_11_17g	Y_20181208_15692b_11_5g	Y_20181208_15692b_12_18g	Y_20181208_15692b_12_8g	Y_20181208_15692b_13_2g	Y_20181208_15692b_15_1g	Y_20181208_15692b_15_2g	Y_20181208_15692b_2_1g	Y_20181208_15692b_2_2g	Y_20181208_15692b_7_2g
0	30548.3477	27572.8965	25638.002	34964.0898	25794.2344	30603.7617	30060.7227	29215.1035	23789.9746	26161.3848	28578.1797	26031.3789	31487.6504	28110.832
0.1334	30001.4688	29247.1953	28174.1992	34430.0273	25363.8418	28833.2832	30624.8457	29548.7344	25182.2051	25866.1816	27240.6953	26925.0527	31564.5586	28673.4609
0.2668	31101.1797	28937.75	29108.6289	33072.8789	26143.5762	29889.543	29717.4863	28056.5312	25638.4668	26103.3711	28602.1172	25745.9414	32368.8105	29608.0586
0.4003	30433.207	28669.9746	27998.6797	32481.4023	25722.959	30075.3027	30994.3164	28191.5859	25759.3223	26184.3496	27833.5117	26709.4316	33062.7188	30069.9336
0.5337	31467.043	28251.0547	29146.1016	33524.8203	26720.2461	31809.8652	30714.416	29340.4844	26647.377	25734.3633	28138.1875	25361.4609	32536.8672	30022.4102
0.6671	31418.7832	29012.1836	28942.748	33997.4531	25753.7129	31171.3047	29261.8535	28232.5605	25938.8398	24877.3086	29727.0859	25493.0508	31199.666	29034.2012
0.8005	31569.6055	29200.7852	27936.6543	33668.5352	27251.3145	31474.9316	30369.5762	28079.9121	25570.5	25514.0742	30627.1895	26295.7754	32011.5547	31056.5957
0.934	31118.7715	29624.1562	28439.6504	32385.4023	26901.4355	31071.5684	32421.9043	28960.2715	26227.416	26019.7344	29563.5176	27203.3555	33930.5977	31113.5234
1.0674	31299.8574	31745.6094	28669.5137	33425.1562	26913.1719	31254.6895	30613.9355	29189.5898	24824.1367	26274.498	27722.9609	24948.2148	33898.5664	30508.5059
1.2008	31380.791	31045.8398	28816.0117	33402.6016	26551.2891	31341.8984	31554.2578	29918.0234	26464.4668	25952.8652	28936.6797	26319.4414	33572.6289	32744.5996
1.3342	31906.582	29950.9238	28336.9258	31926.4902	26572.1035	32065.2773	32300.9473	29734.0859	26595.375	26367.6445	28932.5527	26168.0723	32607.6426	32401.7578
1.4676	31453.2402	31198.168	28666.2578	31448.8633	26068.207	31917.9805	30266.0664	28752.2363	26081.9062	25698.7266	28260.5137	25556.6211	32540.8633	31473.5625
1.6011	31993.8535	30721.6934	28203.3672	31143.7949	26359.9941	31973.1621	31997.459	28773.8379	26328.9746	26934.5801	29904.9023	25611.752	33191.8086	32393.25
1.7345	32432.3828	29049.498	27887.4023	30453.7266	26143.3906	32435.8398	30886.6133	28837.8086	25820.9844	29286.9395	30830.5879	27791.7891	32019.3281	32027.457
1.8679	32196.4531	30074.9551	30469.2598	31503.1211	26245.041	31521.1328	29750.8965	27697.248	25885.3223	33987.6562	32227.9141	28249.4512	33253.2852	32979.8203
2.0013	34054.0391	32065.3262	31075.4707	32516.6738	26460.2734	30541.75	30978.2598	28416.1953	25352.8184	37744.9883	35083.0859	29751.3516	33295.5703	35972.7344
2.1347	35399.6094	35233.6836	30930.0918	35412.2617	28331.1855	31335.2031	32613.873	29292.7227	25384.3633	35817.9609	41946.332	31119.5254	33948.0664	43781.375
2.2682	39159.5078	44825.2734	34018.6211	36567.3516	31181.4785	33907.3359	32528.8203	31032.2578	26052.0273	31598.2266	59047.3398	36130.3516	35130.3789	61203.4219
2.4016	50753.7461	69182.4297	42509.5391	41614.8555	36266.6016	35686.7734	35518.2461	34385.7227	26478.8203	30799.7227	87054.5469	48223.5391	34523.7422	86832.6641
2.535	74994.3203	95560.7969	57506.5586	52821.5547	51852.0547	39989.0625	43640.8086	43301.7227	26619.0293	27986.9219	89210.1953	68331.3438	37088.6719	87971.2656
2.6684	108289.5859	104728.3828	70615.2812	74484.9531	66377.9766	47383.3828	67677.3047	64007.2227	28902.7559	26303.9551	60514.0742	80786.9297	43172.6562	64239.293
2.8019	100043.0156	88026.3125	65906.0625	88438.2188	63567.1523	53460.8438	115843.5078	77344.9297	35419.1562	27009.0938	40738.4883	63978.418	60475.4219	48061.3516
2.9353	71169.0312	58791.4688	46904.2188	71485.7578	46080.1172	47131.3633	133515.0938	60082.5625	51259.707	25859.6328	34255.0547	42073.3086	72342.9453	NaN
3.0687	47177.5391	44678.3047	35515.4922	50667.375	37264.8789	39383.625	97191.3438	42056.2188	69417.4609	NaN	31740.2363	34427.8711	63405.3359	NaN
3.2021	36340.4609	38392.4219	33799.7266	39820.5117	33167.9258	34037.9727	58554.5938	36127.2656	67640.9375	NaN	31331.8516	31548.4512	47428.6289	NaN
3.3355	35047.6953	33226.8086	NaN	36953.5781	30270.5938	31925.9297	46552.7305	33184.1836	53870.7031	NaN	31048.1641	29373.4355	39375.2188	NaN
3.469	33325.8672	NaN	NaN	34544.2148	30726.0234	30864.3457	42742.4531	33236.3789	38391.4102	NaN	30189.4707	30130.3809	36768.1641	NaN
3.6024	32343.3789	NaN	NaN	32476.002	NaN	NaN	38975.5586	NaN	31334.4316	NaN	NaN	29361.9395	35233.4219	NaN
3.7358	32439.1191	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28210.7012	NaN	NaN	NaN	34525.5781	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27090.207	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26759.373	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25242.1406	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
