x	Y_20181208_15692b_13_2g	Y_20181208_15692b_14_4g	Y_20181208_15692b_2_6g
0	8813.2598	9455.6738	10063.5059
0.1334	9307.1895	10513.6738	10459.1768
0.2668	10365.8105	11366.3848	10635.3984
0.4003	12048.4717	13030.751	12230.2373
0.5337	13569.1387	14432.3398	15042.1924
0.6671	14739.8477	13846.5732	19339.1895
0.8005	13775.3662	13713.7861	20551.8223
0.934	12824.8516	14319.6758	18129.0332
1.0674	12295.7588	13405.6025	16973.2305
1.2008	11675.376	13206.8955	17701.4902
1.3342	11803.0566	12641.4189	17213.9727
1.4676	11238.4062	12087.1943	17919.9297
1.6011	10454.5518	12173.4219	17573.0957
1.7345	10384.0703	11516.7783	17684.4551
1.8679	10488.6826	11245.3008	17259.4648
2.0013	10408.2705	11028.2256	16522.6836
2.1347	9887.9131	10316.8018	15806.2891
2.2682	11238.5693	11190.3506	15550.7744
2.4016	11561.9219	12017.6211	15325.6436
2.535	11777.2871	12625.1777	14105.3662
2.6684	11847.5068	12943.792	13227.2344
2.8019	12040.6484	13196.6914	12323.1963
2.9353	11926.7617	12959.5459	11774.3975
3.0687	10677.2744	12919.1406	11341.8516
3.2021	11111.9365	12386.7275	11197.3281
3.3355	11434.4355	12119.1221	11600.7959
3.469	10651.3086	12016.3428	12006.7158
3.6024	10688.7266	12194.7588	12222.5625
3.7358	10741.8086	11742.415	11732.373
3.8692	10299.2275	11939.8428	11374.8652
4.0027	10068.8848	11684.7637	12513.8545
4.1361	10298.6172	11900.8682	11857.4189
4.2695	NaN	NaN	NaN
