x	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_12g	Y_20181208_15692b_11_13g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_22g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_8g	Y_20181208_15692b_12_6g	Y_20181208_15692b_16_5g	Y_20181208_15692b_17_1g	Y_20181208_15692b_17_2g	Y_20181208_15692b_17_3g	Y_20181208_15692b_17_5g	Y_20181208_15692b_17_6g	Y_20181208_15692b_2_3g	Y_20181208_15692b_3_1g	Y_20181208_15692b_3_2g	Y_20181208_15692b_3_6g	Y_20181208_15692b_3_7g	Y_20181208_15692b_5_2g	Y_20181208_15692b_5_5g	Y_20181208_15692b_8_6g
0	12843.3936	13343.5068	12386.9668	11821.4355	12878.4492	12674.457	12498.6855	12497.2197	12778.4824	11497.582	13756.7148	10673.6758	11046.0381	12201.2314	13860.7959	12041.2373	13727.4873	12572.1416	12378.4658	11203.2646	11340.5479	11830.5498
0.1334	12730.9395	13634.9131	12081.5195	13049.6406	15201.1025	12752.3174	13987.7832	11466.1387	12881.8105	11356.7461	15206.1338	11323.042	12022.6152	12735.0537	13793.793	11930.0908	15465.7568	11777.6289	11950.9619	11604.9971	11993.2607	13445.5781
0.2668	14636.9678	13705.9551	12150.666	13975.5068	18220.3379	13435.8711	16186.3633	12176.9326	14898.6221	11525.8379	17784.9297	12584.4512	14293.8779	15346.5215	14621.374	11808.2852	16274.7881	12022.1006	12492.5273	12276.5234	13159.374	14387.3428
0.4003	16535.6289	15507.4717	13436.1055	14692.2305	16662.9512	13263.3369	18658.2773	12870.5918	17301.6348	11749.5938	20066.8906	15019.6426	17042.4746	15831.1318	16190.0117	12801.6475	14878.9707	13492.1025	14295.8936	14751.293	15643.4834	16456.0781
0.5337	19483.8281	18231.4668	14894.5713	17986.0566	13465.2783	14801.624	17169.0156	12256.1963	18565.7891	13749.7529	19204.1875	16382.1904	16636.2441	14978.5557	21339.002	13988.1211	13599.2363	14300.3271	16059.0801	16924.2168	17151.0605	17492.8594
0.6671	17302.918	21610.9453	16002.9277	17393.6797	12047.0254	15814.7109	15371.0039	12807.5283	17403.6875	15875.2744	15452.2363	15344.4912	15708.8682	13455.2197	21744.2441	13937.7168	12322.3984	16651.5371	17626.9473	17883.959	17709.8652	15604.918
0.8005	15173.2344	20998.6914	16228.2861	14863.4824	12485.2715	15711.9814	14784.5762	13907.4238	15953.2041	16712.8105	13608.8818	14514.458	14499.0264	12751.3467	21041.793	13160.0332	12231.1084	17524.0215	18338.7207	15409.2539	15502.9131	13550.6094
0.934	14442.5391	19085.043	15653.6875	13782.2158	12281.5674	13849.8643	15645.167	14813.6426	14173.5195	15160.4209	13504.8506	13704.7461	13856.8877	13586.5293	18830.6523	13324.5498	12263.4834	15846.7764	17110.2266	14342.2715	14656.749	12442.0088
1.0674	14209.4775	17552.2754	14427.8262	13106.1641	11720.7227	13414.8789	15750.3486	17136.0742	13992.8604	13441.3262	12931.4697	13452.3779	14147.4521	13670.0518	17655.4062	14057.7842	11507.5244	14510.9922	16224.7002	13525.8242	13486.9219	11706.9541
1.2008	14438.5088	16767.8711	14326.0605	12575.4141	11463.6914	14173.2598	15767.1875	16720.0469	13693.2393	13139.0518	12336.4951	12876.8018	13847.6152	13590.2188	16812.1113	14773.4658	11635.791	12756.0195	16458.373	14462.7715	13598.0264	11429.709
1.3342	14063.2021	15913.4922	14880.2227	12069.7764	11631.1094	14731.0078	17701.5703	16303.3096	14910.2383	13724.3604	11927.8262	12815.4424	13239.5752	14182.1621	16647.1738	14494.7236	11681.0713	12191.2715	16781.7852	14969.9424	14141.4971	11918.4316
1.4676	13309.2793	14800.126	15532.2744	11085.248	11283.8564	13851.3574	16599.8145	15423.6182	14690.0088	14011.3184	11385.7695	13127.1289	12894.2559	13712.9873	14222.6123	13168.1211	11605.2334	11646.0645	15646.7705	14320.0889	14361.5312	12310.8965
1.6011	13493.2695	14411.5566	18172.209	10439.1299	11184.7119	12863.5859	15979.8691	14460.4629	13280.0557	13701.4902	11604.5654	14210.2695	12524.1475	13393.9717	13239.1055	12546.3486	12086.6396	12196.8691	15618.1816	13826.3584	14344.9414	12417.0322
1.7345	13324.7852	13793.9541	18331.127	9887.2666	10570.0605	12748.3818	14252.3154	14107.6836	12822.4697	12910.2686	11705.6807	14572.9834	13024.9121	12556.6211	12916.9854	11926.2246	12062.6465	12613.9014	16204.0205	13295.625	16121.3701	11533.2002
1.8679	12505.6211	13877.0977	17486.1758	9734.6641	10610.1865	12251.2197	13042.2949	14041.8213	12776.4033	12388.3398	11788.0166	13917.7754	12537.8311	12720.0029	12752.0635	12115.6475	12355.791	12096.2568	17123.4004	13150.7129	15442.1992	11935.1543
2.0013	12266.4502	13206.0068	13974.6553	10410.4365	10895.1875	12289.1465	14251.5654	12789.834	12975.125	12606.8652	12647.7168	13913.832	13512.0469	12450.9951	12468.5635	11840.0361	12132.9287	12420.8125	15762.5547	12460.7939	14877.8838	13006.7812
2.1347	11720.8926	12437.2578	13019.8242	10611.4863	10679.0312	12274.3506	14022.7979	12074.3564	11977.9121	12578.3135	12679.2969	14160.7139	13233.5059	12326.2432	11962.8359	12088.0117	12013.5996	13304.3809	13056.4961	11753.2266	14521.2168	12915.0254
2.2682	12229.584	12298.6777	12734.875	11034.8682	NaN	13340.0938	14477.6475	11621.9629	11648.6973	11986.9707	13527.7617	14140.5967	12054.0742	12056.1279	11625.7998	NaN	12358.9258	15061.6416	13103.0674	11705.0166	14545.2578	12754.6689
2.4016	12087.1602	12159.5811	12634.5479	11081.0537	NaN	NaN	NaN	11128.0781	11644.0986	11889.4385	13638.376	13499.3594	NaN	12004.8027	12421.0732	NaN	NaN	15919.3652	11135.2002	11490.0195	13849.2959	13132.3311
2.535	NaN	12091.4814	11898.5254	NaN	NaN	NaN	NaN	10765.9365	11795.5557	11673.2275	14161.7422	NaN	NaN	NaN	12256.7334	NaN	NaN	NaN	NaN	11715.3584	13029.3994	14076.3799
2.6684	NaN	12285.416	12313.6084	NaN	NaN	NaN	NaN	11191.2539	12631.9854	11959.3096	13086.332	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12019.7256	13003.4717	13203.8027
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11004.7334	NaN	12287.9834	12732.4287	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11784.2988	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10579.3584	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11727.0527	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
