x	Y_20181208_15692b_10_6g	Y_20181208_15692b_11_14g	Y_20181208_15692b_11_6g	Y_20181208_15692b_12_7g	Y_20181208_15692b_13_5g	Y_20181208_15692b_16_8g	Y_20181208_15692b_17_1g	Y_20181208_15692b_2_6g	Y_20181208_15692b_5_3g	Y_20181208_15692b_6_2g	Y_20181208_15692b_8_6g	Y_20181208_15692b_9_5g
0	29198.2402	25347.4746	34388.4766	29754.2246	29172.7402	27792.0234	29739.7344	30294.9922	33750.3047	30202.6406	31195.8359	32371.6836
0.1334	28508.6914	27126.5879	34400.293	29410.1797	28208.375	27070.8828	30982.5508	31411.5039	33791.1797	28665.8516	32933.1719	32184.5684
0.2668	28563.8223	27940.0781	33692.5156	29426.5098	28801.2363	27157.4316	31191.8516	28817.9766	34328.8164	28928.0332	33214.1758	32742.7285
0.4003	29148.6504	27564.1035	33477.4062	29418.1211	30926.5215	28402.7266	29321.8887	29671.5293	34464.1172	29595.7402	33190.9805	33467.0117
0.5337	30030.2969	26833.2637	33749.8789	30769.6504	30766.6738	28121	31221.9004	30930.9414	35176.5039	32333.2539	32323.6289	33563.5117
0.6671	30468.2637	28191.4453	33793.6094	30195.2246	30818.7754	28584.0469	31555.0293	31123.8633	34819.5234	32518.2617	32642.875	34647.4414
0.8005	32039.334	28375.2637	33564.4336	31339.6641	30614.9844	28432.8379	30547.0781	30339.6621	33448.8984	32655.5156	33094.1641	33825.1914
0.934	36977.2773	28922.498	36325.0898	32678.373	31045.9746	30082.2793	32947.3867	30757.2734	35578.3398	34937.2188	33806.8672	35184.832
1.0674	48007.6758	31028.8457	37661.6484	32435.3398	36751.3594	30217.3516	33191.3438	32520.1465	37420.4492	36666.2461	34106.9922	33969.5508
1.2008	70590.6172	38811.0391	44140.6328	33611.9141	46256.5078	30027.6562	35046.582	32406.3516	39247.8047	43586.332	36201.4609	32280.0078
1.3342	99117.7266	48524.293	63439.4688	37622.2227	47425.043	34201.6406	38610.293	34235.1445	39544.582	60012.9492	44032.3438	31192.4375
1.4676	97279.0078	50173.5156	82509.9844	49532.25	41117.8359	43706.4805	50948.9844	37925.1211	43869.5	75315.3047	62578.668	32251.373
1.6011	62244.207	40406.6133	76966.9688	63222.0234	35270.1172	58690.7422	66603.6094	51282.6602	56949.3945	66344.6328	83550.1094	34245.9727
1.7345	49224.75	34674.6562	55992.9688	62135.0508	31205.0391	61290.5391	64018.8984	73105.1562	73356.0625	47851.9648	79715.2031	37182.2109
1.8679	NaN	30224.1328	42302.5625	48826.7812	30949.332	46628.3164	46669.8125	85117.2344	72975.9062	35459.7852	54877.9023	42044.4766
2.0013	NaN	28738.0625	35658.082	37255.5664	30817.5605	34796.875	37236.4922	69955.6016	54807.1797	34152.8984	42734.4258	55269.1445
2.1347	NaN	NaN	33271.9609	33320.9961	NaN	31294.1016	33134.832	47016.3398	39488.0508	33688.9062	37409.0234	59765.5859
2.2682	NaN	NaN	34996.0547	32303.3828	NaN	31131.7031	33589.7852	38624.5117	37936.0273	NaN	35755.2383	50851.5469
2.4016	NaN	NaN	NaN	31949.166	NaN	NaN	NaN	34848.7539	32958.9336	NaN	35724.9375	40856.293
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32647.082	33584.5	NaN	NaN	35212.5195
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30827.3594	33741.2266	NaN	NaN	32827.8594
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31504.4785	NaN	NaN	NaN	32164.2129
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
