x	Y_20181208_15693_1_13g	Y_20181208_15693_1_4g	Y_20181208_15693_10_14g	Y_20181208_15693_12_8g	Y_20181208_15693_13_13g	Y_20181208_15693_13_6g	Y_20181208_15693_13_8g	Y_20181208_15693_14_1g	Y_20181208_15693_14_5g	Y_20181208_15693_15_4g	Y_20181208_15693_15_5g	Y_20181208_15693_16_3g	Y_20181208_15693_17_13g	Y_20181208_15693_17_1g	Y_20181208_15693_18_11g	Y_20181208_15693_18_2g	Y_20181208_15693_18_4g	Y_20181208_15693_2_10g	Y_20181208_15693_20_6g	Y_20181208_15693_3_3g	Y_20181208_15693_3_5g	Y_20181208_15693_3_6g	Y_20181208_15693_4_2g	Y_20181208_15693_4_7g	Y_20181208_15693_6_13g	Y_20181208_15693_6_1g	Y_20181208_15693_6_2g	Y_20181208_15693_6_5g	Y_20181208_15693_6_7g	Y_20181208_15693_7_10g	Y_20181208_15693_7_4g	Y_20181208_15693_8_4g	Y_20181208_15693_9_13g	Y_20181208_15693_9_1g	Y_20181208_15693_9_2g	Y_20181208_15693_9_5g
0	13337.5537	10886.4375	13068.7646	12604.8584	11040.1133	11064.502	12562.1514	13523.7559	13398.6953	10688.7812	15215.4395	12313.0498	14342.3633	9927.4883	11811.6348	12892.1699	12194.6631	13015.7656	12828.4473	13353.6602	12071.584	12489.7783	9676.0186	11429.667	12879.3447	10189.707	10633.8965	11837.9941	13786.8145	10106.1826	16392.877	12415.2285	9025.6963	12538.082	10960.1318	10616.1279
0.1334	14830.8076	10930.0078	14522.5049	15530.5967	11776.1172	11810.6367	12997.5459	14235.8955	15036.8184	12145.6963	17841.6055	12996.4004	17677.2109	10416.9844	13823.9316	14759.9609	12222.6729	13149.5146	14521.0811	14138.4619	13029.7725	15069.1152	10537.084	11540.7471	12797.1465	10853.4365	11169.6621	12614.7559	13276.4258	10722.4512	16525.3027	15446.5635	9408.7568	15683.1992	13363.6406	11465.2275
0.2668	17805.1426	11580.8535	17196.2012	18209.8418	14552.1416	12324.791	14115.2773	17036.1465	16534.1367	14844.3135	18025.0391	13626.7061	19372.043	11386.3594	14179.8594	15203.834	13468.9443	14406.0625	17889.3047	16560.3691	14372.3965	18261.4297	11763.8916	14174.6865	13120.9678	11960.0811	11739.6846	13747.0156	13682.8516	11617.0176	15296.7793	16584.2754	10061.5381	19034.0566	16102.0527	13088.2139
0.4003	19947.457	11319.0273	20975.1484	17302.0996	16630.7812	11933.4062	15024.8945	18765.0312	14954.417	16005.3818	15343.8691	16501.252	17938.0039	11687.916	14030.7725	14414.0947	16702.2012	15987.1201	22871.3066	20253.5195	15837.8379	22973.7969	14335.585	16511.6934	14325.4209	12849.1045	13266.1348	15668.6787	15800.165	12430.3174	14618.1719	15843.7285	11222.0996	19819.6426	16977.0039	15505.7539
0.5337	16625.3457	13267.3926	22846.2422	14718.4658	15160.1436	13889.4561	14433.877	18228.1816	13395.209	15222.4023	14141.8926	15024.7754	15077.4766	12716.001	13091.0977	13898.7988	17597.0117	15367.2451	21917.166	19718.4531	14949.6504	23739.3457	15112.4404	17397.4062	17668.2852	13861.1904	13094.9639	18165.5293	19913.3984	13758.6455	13608.1797	15053.832	12150.3701	17922.5605	14839.1758	17319.3535
0.6671	13340.3125	13530.8613	21097.6875	13232.8838	13872.7598	14486.8779	13419.5977	17646.6836	13451.9229	14993.0244	13645.3916	14121.2637	14291.7061	14134.4482	12344.5537	13443.7021	16754.7227	14920.7559	17420.9824	17670.8867	13617.3311	20766.5391	13817.5088	13884.0283	25488.9688	14459.2295	13381.1914	21302.2637	20940.2207	13671.3711	13914.7314	14490.6201	13151.3604	16303.6807	13236.5996	18445.4668
0.8005	12653.8086	12864.0703	16871.4102	12307.8652	12534.0283	13367.8438	12930.5527	17055.8242	13527.0703	15036.083	13936.0244	13041.9346	12857.874	14593.6963	12466.3164	13053.333	15250.1221	15297.7734	14333.8809	15757.5059	12403.5498	20012.4551	12860.9639	13969.3945	32290.2539	13483.71	13401.5449	19923.0586	17710.2227	13675.0752	13240.2715	14027.1377	14177.4971	15688.8848	12812.4277	17665.5625
0.934	12046.6777	12187.458	14916.6592	11057.4121	12563.7988	11701.7217	12605.3799	16779.0527	12549.0527	14292.6836	13950.7451	13989.4678	12793.5635	13081.6621	12165.1855	13512.9756	13640.1279	14599.2324	12919.6514	15071.0723	12441.3389	19192.9941	13676.1396	13438.752	30459.2324	13140.8652	12907.5049	18293.582	16328.1777	14258.6729	13065.6025	15810.2236	14251.7012	15079.7168	11914.4609	16496.9707
1.0674	12306.4814	11236.8594	13765.9141	10934.6182	11757.1152	11973.0703	12836.2871	16096.6465	12329.1602	13225.7236	13646.7617	14685.8525	12260.0234	12885.6885	11641.9277	13537.7178	13097.5312	13035.9785	12287.0615	13845.0039	12755.0771	19641.7227	14008.585	12933.9609	24837.2051	12586.0303	11623.5625	17110.7617	15395.3809	13716.2402	13443.1875	17988.7266	14973.2803	13548.7158	11960.2852	15464.0508
1.2008	12806.8359	11107.8535	12914.9648	11107.4414	11270.3115	12108.5986	12342.0059	15852.8789	11459.5098	13452.9609	13000.6064	13714.3916	12228.1943	13642.9297	11982.791	14384.1514	12176.7139	12281.1064	12131.0264	13417.4883	13375.8916	17663.7344	13505.6943	13151.207	21270.291	11902.8398	11148.7588	16674.6348	14474.5752	13961.999	15616.7764	17960.4258	14501.7969	12866.6777	11621.3398	15066.2852
1.3342	12448.8818	10866.877	12984.0879	10487.3135	11933.9785	13165.459	12038.8213	15358.3213	11710.1865	13615.8037	12065.9854	13419.1074	12953.5664	12465.4092	11804.9551	13958.3096	11888.8896	12321.877	12285.7158	14504.3574	12896.6104	17041.6074	13352.1875	13406.6172	16751.4512	11774.3896	10964.1641	16490.0371	14186.2256	14176.2441	15902.2939	15421.1904	14319.5303	13207.4443	11596.0732	14300.1982
