x	Y_20181208_15693_8_10g	Y_20181208_15693_8_1g
0	26375.0762	23530.0566
0.1334	25701.9141	24112.6055
0.2668	27013.7109	24535.3633
0.4003	28218.541	24990.9609
0.5337	27750.9473	26093.4336
0.6671	27269.957	25349.6836
0.8005	26565.9238	25552.168
0.934	27297.5469	25239.4141
1.0674	27791.7109	25827.4531
1.2008	27457.7031	25303.6758
1.3342	27750.6387	24576.5508
1.4676	27518.0449	26122.9043
1.6011	26184.6367	26907.5332
1.7345	27437.4414	24784.8828
1.8679	28182.9297	25250.1777
2.0013	29085.1836	24048.3828
2.1347	26497.1602	23804.5801
2.2682	27085.7773	23976.332
2.4016	25913.6973	25031.998
2.535	26255.9512	24986.1113
2.6684	25909.7656	25206.1504
2.8019	27312.9355	25964.8574
2.9353	28386.7422	28502.4316
3.0687	30307.957	33177.0547
3.2021	37550.2344	42550.9258
3.3355	50693.9609	57818.3867
3.469	69579.2891	58201.4883
3.6024	60998.0859	41301.7305
3.7358	41698.3594	29705.3477
3.8692	33058.3398	27050.7207
4.0027	29669.4453	26546.418
4.1361	29714.5391	NaN
4.2695	27853.916	NaN
4.4029	NaN	NaN
4.5363	NaN	NaN
4.6698	NaN	NaN
4.8032	NaN	NaN
4.9366	NaN	NaN
5.07	NaN	NaN
5.2035	NaN	NaN
5.3369	NaN	NaN
5.4703	NaN	NaN
5.6037	NaN	NaN
5.7371	NaN	NaN
5.8706	NaN	NaN
