x	Y_20181208_15693_10_10g	Y_20181208_15693_13_1g	Y_20181208_15693_8_10g	Y_20181208_15693_8_1g
0	11862.4658	10765.8965	11200.6699	10252.5586
0.1334	12517.6797	12883.5908	12040.5459	11817.707
0.2668	13640.2959	16836.2441	14039.6875	14458.6182
0.4003	17893.998	19795.2852	17975.7559	18474.2324
0.5337	21788.627	16716.1641	20767.9102	19673.0996
0.6671	21823.4414	13843.9395	19766.877	18710.8301
0.8005	19678.3867	13413.1758	18690.4941	19316.6426
0.934	18513.668	13630.5127	16448.002	18902.7812
1.0674	17487.957	13888.9941	15434.7178	19164.7012
1.2008	16703.1836	13930.0098	15002.6729	18214.4707
1.3342	17660.4316	13511.2549	16209.9863	17850.6309
1.4676	18561.4531	12862.6816	17472.7891	17406.4609
1.6011	17428.334	11836.5703	17469.543	16799.1582
1.7345	17846.9766	11965.0449	16864.6738	15868.6348
1.8679	17846.582	12265.5361	18833.9023	15725.1885
2.0013	17080.3125	12176.4502	19572.1328	15170.6641
2.1347	16720.6816	11970.2295	18413.4062	14713.1328
2.2682	17139.1777	11775.5576	16511.5977	14638.5635
2.4016	16670.752	13144.0957	15935.1787	14503.0879
2.535	15902.5469	14254.085	13840.9619	14081.9824
2.6684	15916.1064	14696.0098	11982.4219	13892.9326
2.8019	15016.7734	13775.5557	12332.2549	12371.5605
2.9353	14484.0762	13547.5967	12262.7773	12572.2178
3.0687	14316.0225	13301.7109	14072.7568	12658.2461
3.2021	14442.957	13049.8271	13487.9102	12510.2588
3.3355	13855.21	12753.4658	13386.665	12281.0527
3.469	14164.4727	12290.834	12805.5322	11125.6611
3.6024	13954.0039	11071.8789	11636.7842	10547.8203
3.7358	12538.2129	11377.6592	11856.0879	10754.8242
3.8692	11837.873	10991.3877	12073.457	10858.9424
4.0027	11630.75	10907.4502	11517.2832	10682.1387
4.1361	11551.2227	11058.6895	11448.624	NaN
4.2695	11485.7842	11254.1836	11988.5547	NaN
4.4029	11088.4365	11085.9502	NaN	NaN
4.5363	11414.457	10748.6133	NaN	NaN
4.6698	11799.2783	NaN	NaN	NaN
4.8032	12125.8525	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN
