x	Y_20181208_15693_10_10g	Y_20181208_15693_13_1g
0	11862.4658	10765.8965
0.1334	12517.6797	12883.5908
0.2668	13640.2959	16836.2441
0.4003	17893.998	19795.2852
0.5337	21788.627	16716.1641
0.6671	21823.4414	13843.9395
0.8005	19678.3867	13413.1758
0.934	18513.668	13630.5127
1.0674	17487.957	13888.9941
1.2008	16703.1836	13930.0098
1.3342	17660.4316	13511.2549
1.4676	18561.4531	12862.6816
1.6011	17428.334	11836.5703
1.7345	17846.9766	11965.0449
1.8679	17846.582	12265.5361
2.0013	17080.3125	12176.4502
2.1347	16720.6816	11970.2295
2.2682	17139.1777	11775.5576
2.4016	16670.752	13144.0957
2.535	15902.5469	14254.085
2.6684	15916.1064	14696.0098
2.8019	15016.7734	13775.5557
2.9353	14484.0762	13547.5967
3.0687	14316.0225	13301.7109
3.2021	14442.957	13049.8271
3.3355	13855.21	12753.4658
3.469	14164.4727	12290.834
3.6024	13954.0039	11071.8789
3.7358	12538.2129	11377.6592
3.8692	11837.873	10991.3877
4.0027	11630.75	10907.4502
4.1361	11551.2227	11058.6895
4.2695	11485.7842	11254.1836
4.4029	11088.4365	11085.9502
4.5363	11414.457	10748.6133
4.6698	11799.2783	NaN
4.8032	12125.8525	NaN
4.9366	NaN	NaN
5.07	NaN	NaN
5.2035	NaN	NaN
5.3369	NaN	NaN
5.4703	NaN	NaN
5.6037	NaN	NaN
5.7371	NaN	NaN
5.8706	NaN	NaN
