x	Y_20181208_15693_10_3g	Y_20181208_15693_10_5g	Y_20181208_15693_10_8g	Y_20181208_15693_11_12g	Y_20181208_15693_11_3g	Y_20181208_15693_11_5g	Y_20181208_15693_11_8g	Y_20181208_15693_11_9g	Y_20181208_15693_13_10g	Y_20181208_15693_13_4g	Y_20181208_15693_13_5g	Y_20181208_15693_13_7g	Y_20181208_15693_14_3g	Y_20181208_15693_14_6g	Y_20181208_15693_15_10g	Y_20181208_15693_15_12g	Y_20181208_15693_15_7g	Y_20181208_15693_15_8g	Y_20181208_15693_17_2g	Y_20181208_15693_18_6g	Y_20181208_15693_18_9g	Y_20181208_15693_19_3g	Y_20181208_15693_19_5g	Y_20181208_15693_2_6g	Y_20181208_15693_2_9g	Y_20181208_15693_3_11g	Y_20181208_15693_3_7g	Y_20181208_15693_4_6g	Y_20181208_15693_5_1g	Y_20181208_15693_5_2g	Y_20181208_15693_5_5g	Y_20181208_15693_6_11g	Y_20181208_15693_6_6g	Y_20181208_15693_7_5g	Y_20181208_15693_7_8g	Y_20181208_15693_7_9g	Y_20181208_15693_8_7g	Y_20181208_15693_9_7g
0	12471.7939	11202.5293	12765.2637	11509.7842	11340.335	12806.7373	13539.1982	10693.4346	11647.3643	12936.2744	11662.7217	11720.6768	11927.8809	12140.4961	14792.4609	10994.5068	10551.2656	10902.3457	12421.7236	12653.7451	11010.3213	12681.209	13156.6104	12735.3594	12383.376	11370.2305	11340.6221	11894.2256	12154.2275	11208.2822	11338.2832	13126.4854	9532.9893	11388.3301	10537.8809	10193.8037	12787.0518	13146.9043
0.1334	13226.9307	11296.7998	14909.1963	11304.9902	12865.0527	12198.7559	14444.7383	11928.9482	12920.7266	13434.7451	11884.3965	12262.8496	15718.7559	12971.0781	16446.1562	11139.083	11156.8975	10980.9658	12449.0078	14176.6973	11454.5088	13025.6436	13123.9912	12777.1826	13585.7998	11561.333	12545.125	13767.6602	12737.1357	12329.918	11777.9736	13455.4443	9511.0723	12075.2041	11207.4453	12252.3613	15617.0547	13340.3418
0.2668	14768.543	11415.2969	18709.9492	12073.2549	13494.9102	13346.6924	14502.7891	12356.2891	14772.377	15053.5732	13121.5078	12492.6982	17220.7695	13615.1543	15551.9766	12255.5908	11869.9805	12490.9248	12471.8193	16026.2686	12716.7109	13863.459	14328.7451	14815.5918	13404.2412	13084.7158	13948.3174	15769.7051	15433.1504	13318.5752	14471.1025	14422.0205	10065.4141	13510.0361	13467.6582	14580.9541	17518.8965	13305.1504
0.4003	15471.0107	13273.6826	20061.4316	12964.9248	16336.7324	14813.6992	15813.8779	14612.9209	15876.7734	16187.2979	14280.9492	13669.0664	16676.8809	12197.9326	14453.9385	14171.6455	13647.3818	15324.5459	14007.1299	19577.9395	13263.4824	15183.1729	16454.5957	20877.4121	15286.751	13313.0283	13956.0908	14217.6396	15010.418	14604.7363	14120.8848	15114.833	11384.8232	15782.8721	16862.791	15054.9971	16588.7109	13442.2773
0.5337	15488.8535	16130.8613	19200.5254	13789.1357	14936.9961	16968.582	16935.1211	15594.249	14490.3643	15101.5049	13438.7402	15381.8916	14947.583	11906.0732	13787.1836	15857.2412	15174.3301	17366.5625	15896.7598	17213.6035	12358.8467	15205.3682	18079.8516	26401.3262	16071.293	13859.0605	13343.1904	13859.6592	13031.3311	15237.6885	13203.9795	17476.1914	13642.9824	15453.1875	16525.3145	15444.9756	15130.3125	16221.7266
0.6671	14358.1416	16958.998	16514.8535	13650.4648	13684.9658	15938.4268	16758.1777	15643.7559	12904.667	14350.0303	12426.7988	16955.2559	14633.1484	11739.709	14122.543	16187.627	15005.5684	17340.2676	20621.8477	14682.2842	11824.7354	13981.2412	17536.3516	28780.4922	15251.2744	12621.9707	12867.7256	12434.0273	13314.6289	14100.9131	12815.582	19176.4023	15181.4521	13351.3779	14407.7373	15358.1211	13502.5273	19798.9863
0.8005	12985.3486	16723.9082	15717.7119	13703.1465	13084.6318	13882.3809	15550.9209	15693.7002	12231.9229	14900.4072	11961.6523	16978.8984	13979.5361	11918.7363	14078.6328	15413.9424	15498.6836	17707.8438	20601.8555	13864.3994	12321.8105	14136.9297	16427.9258	23881.3555	14999.2529	11573.0225	12744.1934	12598.623	15286.0674	13586.5195	12484.5264	18698.2852	15077.4131	13253.7178	14953.2822	14129.3906	12697.8828	23939.2676
0.934	11578.8467	14837.5732	14405.3184	13288.9219	11897.7812	12982.6172	13131.4746	15813.8516	12541.8604	14725.0625	11842.2031	15775.1719	13393.7422	12088.6836	14469.8779	15021.2529	13653.0762	16927.748	16440.8203	13682.7549	12219.4951	13820.627	14113.3877	21468.0703	14115.793	12484.9561	13021.8828	12544.2012	15113.2324	13799.8477	12814.5166	18394.8184	14233.0225	13250.8154	14407.5928	13494.3311	12252.3613	22025.2891
1.0674	11357.2324	13312.1201	14099.0879	13208.71	12088.9521	12776.1816	12377.1191	15589.9482	12066.8281	13827.1309	11821.3428	14959.665	12867.8516	12414.3154	13695.5088	14618.8848	12215.9277	15980.6074	14750.083	13995.5635	11875.124	14112.1582	13278.2012	20324.4375	13339.4434	12574.3867	13382.459	11467.75	14776.9609	14530.5693	11950.6904	16635.7051	14440.3594	13636.5771	13182.2578	12850.5117	11442.4961	18348.6953
1.2008	11800.1084	13486.5908	13562.9863	13053.8965	12011.0645	12842.7012	12876.8262	15691.999	12491.6699	15005.1895	11517.4248	14070.1709	12267.1133	13098.7432	12666.2842	14692.7246	12104.7324	14844.6465	13694.0225	13903.749	11526.9443	13794.7207	14705.709	19978.3574	13064.5664	12512.7637	13086.6221	11614.2109	12921.041	14087.1406	11530.0479	15274.8818	15521.7686	13418.1201	12359.1611	11915.4463	11558.1865	15282.6396
