x	Y_20181208_15693_10_7g	Y_20181208_15693_11_2g	Y_20181208_15693_12_2g	Y_20181208_15693_13_1g	Y_20181208_15693_13_9g	Y_20181208_15693_18_7g	Y_20181208_15693_2_7g	Y_20181208_15693_20_4g	Y_20181208_15693_5_2g	Y_20181208_15693_6_5g	Y_20181208_15693_7_3g	Y_20181208_15693_8_3g	Y_20181208_15693_9_4g	Y_20181208_15693_9_6g
0	31164.7871	27557.4395	30140.7109	27683.3359	26157.0371	31152.0117	27837.3008	29820.5215	27271.002	29141.5117	27706.6895	30686.5547	25780.5312	30218.209
0.1334	31335.5137	28168.1797	29351.082	27995.0879	27650.2363	30634.3789	29388.2969	29651.0977	27012.5273	29921.1719	29105.9238	30779.6211	27437.8105	29855.7324
0.2668	31468.957	28187.2363	29160.0234	28664.9648	27183.4434	32832.6016	29958.3047	29691.8184	26677.6621	30179.9375	29334.4668	31897.7227	29027.416	30225.6562
0.4003	29896.0195	27419.375	29139.6387	28877.6719	27551.6211	31655.0645	29154.3086	30049.5879	26905.4668	30453.7168	30349.7988	32312.9941	28798.0801	30109.3887
0.5337	29626.3926	27571.8164	29021.248	29354.707	27531.2891	30968.127	30045.2812	30249.8945	28211.502	30595.1602	29434.2734	32436.2363	27172.0273	30230.3535
0.6671	30821.793	28608.3477	29525.8398	29096.3867	27274.7734	31753.1289	31162.1914	30980.9766	28305.9277	28952.9121	30912.2539	30623.6504	27016.8926	30113.9219
0.8005	31234.6406	27445.2363	29485.8379	31487.3457	26793.3594	32302.877	29955.7656	29417.9219	28586.8906	30141.8555	28977.2168	31253.2266	27020.6582	29908.9375
0.934	31713.6309	28256.1426	31338.3105	30351.9102	27821.4746	31201.3711	29979.6211	31035.5117	28721.9629	31984.5586	30603.9414	32457.543	27826.25	30486.5156
1.0674	32396.418	28131.3906	29221.8809	31103.1445	27027.9043	31520.2188	31673.3594	29941.3691	28783.8359	32038.291	32825.7266	33843.7578	28674.5898	31581.166
1.2008	32406.5586	27587.5156	29395.0352	29801.3262	28232.666	32008.5977	31939.5801	31551.3594	29183.2715	35340.8789	30774.9102	36443.6562	28441.332	32060.8047
1.3342	32706.123	30117.6758	30661.541	31352.4258	28395.1289	33416.7695	31736.3984	30313.9922	32888.8164	37506.668	35251.9727	42153.4883	28534.6367	35053.0508
1.4676	33047.1758	29024.8672	30475.4688	32636.4141	29097.1816	32928.1289	35538.1172	31143.418	41801.1719	45596.1367	43483.2031	59309.5859	29442.4375	39025.2578
1.6011	37062.0625	32382.6113	32561.2559	36548.3203	30067.959	33052.5039	45304.9453	32789.4336	60821.1719	68499.5312	60892.3789	88750.6953	28489.2871	50263.8008
1.7345	50466.9727	36759.6484	38484.9961	46162.7656	36813.3594	35837.6172	58669.6016	33665.5117	63247.7188	85214.1328	72056.9375	109196.9297	27304.7441	51567.5781
1.8679	60656.9727	43130.2383	48626.2031	70381	44160.1836	40301.3242	63669.2188	36923.4609	50318.8711	75474.3125	62939.0781	84626.3516	27617.4609	40284.6523
