x	Y_20181208_15693_10_7g	Y_20181208_15693_11_2g	Y_20181208_15693_12_2g	Y_20181208_15693_13_1g	Y_20181208_15693_13_9g	Y_20181208_15693_18_7g	Y_20181208_15693_2_7g	Y_20181208_15693_20_4g	Y_20181208_15693_5_2g	Y_20181208_15693_6_5g	Y_20181208_15693_7_3g	Y_20181208_15693_8_3g	Y_20181208_15693_9_4g	Y_20181208_15693_9_6g
0	10575.0508	12871.6836	11098.2012	9492.8398	10380.7734	11298.2021	10527.8643	9730.5371	11937.0156	10143.3389	11551.5205	11896.4893	10628.5977	13018.2607
0.1334	10947.2832	12588.5117	10799.0986	9783.7188	11087.0215	12149.3135	10615.0303	10576.1445	14399.4414	11232.8291	12786.876	13590.3926	11031.0518	14729.5801
0.2668	12003.625	14547.1348	11586.8613	10885.7549	11396.415	13222.1338	11264.1885	11717.9199	15003.3613	13376.3701	15088.3447	16432.4395	11244.8467	17876.3457
0.4003	14368.4932	17835.9844	12570.7139	13064.1826	12145.373	13304.1396	12463.4785	13130.4072	15441.2725	15957.1963	16133.8936	18615.2344	12520.8584	20870.8477
0.5337	15560.208	19140.0391	13870.4023	17089.0156	13100.6553	13996.0166	13717.6641	13849.2832	14247.1445	15802.875	15957.5342	18340.7266	14834.4414	20822.6445
0.6671	16699.9648	16915.3555	15047.5234	17409.6113	15680.5947	14165.1064	13329.2246	16510.4414	13267.3848	14794.9883	15260.252	16689.1133	17309.9609	16922.8184
0.8005	16064.3613	16262.3105	14492.7012	15787.9355	15658.5752	14276.4961	12545.1885	17891.8848	13470.0283	14188.6191	14417.4502	16517.4941	17537.3516	15768.2295
0.934	15340.0039	15230.4961	13871.7656	14756.0518	15139.9346	13266.2598	12617.7549	17831.0977	13750.1201	15007.6719	14652.5957	16194.6104	17900.6211	15636.2139
1.0674	17027.0469	14217.3125	13173.6416	13218.8555	15060.2324	13528.668	12391.3047	17678.5293	15137.4639	15667.1982	16293.8486	16221.9092	18344.209	15341.1191
1.2008	17731.6895	14644.6104	13875.0801	13792.4258	13870.8447	13798.6133	12863.8018	16595.9238	16064.6787	15012.3271	15824.2236	16588.1738	18642.0156	15563.6611
1.3342	17817.8574	13546.0381	14971.4814	14467.4395	13309.1709	13936.5205	12979.7959	16908.4531	16533.3594	15637.4141	15782.5791	16558.1699	17479.2402	15399.168
1.4676	16686.3496	13693.9883	15075.7656	14729.6934	13607.9307	13694.9053	13792.1465	15989.0029	15785.6982	16355.3828	14738.6914	16814.8184	16523.1719	14340.875
1.6011	15799.4326	13794.3789	13896.6592	13904.1035	12764.6328	13694.8604	13661.5361	15004.3682	14851.8691	14686.918	13615.5898	15553.0137	15360.0791	13324.707
