x	Y_20181208_15693_1_12g	Y_20181208_15693_11_15g	Y_20181208_15693_11_1g	Y_20181208_15693_12_4g	Y_20181208_15693_13_14g	Y_20181208_15693_14_8g	Y_20181208_15693_16_1g	Y_20181208_15693_17_3g	Y_20181208_15693_17_6g	Y_20181208_15693_17_7g	Y_20181208_15693_18_12g	Y_20181208_15693_2_9g	Y_20181208_15693_4_5g	Y_20181208_15693_4_6g	Y_20181208_15693_6_4g
0	11592.916	10182.1416	12587.9072	12946.4521	10203.0869	10540.543	11220.4561	10188.7324	11005.5674	12250.8711	11418.0371	12415.0068	12246.999	11984.5674	12546.9131
0.1334	11775.6396	10844.1533	11948.6094	14322.4805	10824.6797	11420.3711	11112.5381	11392.7539	12085.0928	13245.9219	11957.8477	12275.4873	12285.0059	13593.3711	13625.1162
0.2668	13248.8389	11713.9434	13440.5059	18187.248	11387.3906	13671.9229	12180.9668	13680.4531	12426.7695	13868.8809	12454.8887	13207.6514	13526.0352	16198.4893	14086.1396
0.4003	15642.0215	13412.0176	15335.9434	18672.3965	12719.8447	16340.9736	15085.8555	17129.8027	13895.6201	16239.9512	13370.2461	15806.9512	14348.9678	15301.002	15264.1699
0.5337	16225.5762	13946.4082	15168.2871	18241.877	14131.6523	17458.3262	18995.8965	18069.5547	15026.8594	21052.2988	13351.7402	17263.791	14659.415	14863.7393	16861.4766
0.6671	15492.6611	15155.7656	15103.0352	17009.1777	13780.5059	17700.2539	19375.3027	17759.7734	13829.1816	20772.7715	14140.3896	16925.8711	16096.7578	14634.042	16762.2871
0.8005	17015.4727	14274.4492	14061.4785	15313.873	14159.8145	16040.3711	17326.0801	16915.8281	13320.6641	17972.8047	15636.6221	15099.3447	15448.7441	14167.6768	17450.5547
0.934	16193.0566	15543.0703	14194.8945	13460.3096	14001.54	14779.6484	15655.6797	16743.9668	11801.248	17211.9883	17535.5078	14212.5723	14958.3564	14409.3213	17241.3652
1.0674	15665.3584	16284.0479	14280.4307	13812.5947	14214.9102	14384.6719	14669.4385	16082.501	11795.2383	16622.832	16606.7988	14230.6514	15082.1777	14929.7021	17200.793
1.2008	16781.8887	16154.1934	14858.249	14239.3301	15008.3418	13894.4004	14250.9355	15848.4502	12019.0576	15587.5869	15829.5146	15025.8252	15119.3184	14369.4854	16705.334
1.3342	16728.5371	16094.1465	13813.7881	15260.6885	14416.2568	13928.5352	14074.0986	14279.0938	11491.6445	15383.9209	15027.5098	14254.3018	15213.5293	13510.7725	17249.5664
1.4676	18540.2422	17075.5977	14562.7041	15404.0498	14215.8506	12863.4873	14488.5264	14145.3779	12781.3379	14642.8994	15604.0986	14266.6104	15722.4639	13960.5518	17500.4277
1.6011	17698.5332	17046.6953	13687.5977	15570.2754	13503.3613	12281.9951	12967.8916	13902.71	12669.1924	13945.7686	14672.4551	14467.1035	15346.5889	13592.8975	16547.7539
1.7345	15607.3955	13994.4531	14025.9912	15027.0889	12676.2539	12294.7354	12796.4668	12891.0449	12404.0693	14617.3652	14595.7471	14949.1309	15083.5713	13374.0088	17269.6816
1.8679	15169.6172	14323.4033	13167.9355	15760.0215	12478.4814	12198.627	12635.8125	11776.6484	12737.4785	15112.0322	13768.7246	14028.5684	14167.8643	13056.1777	16088.082
2.0013	14846.875	14094.4424	12931.0791	14256.3828	12870.8535	12138.1787	11865.2617	12242.5566	12061.1221	14512.2061	13522.251	13912.375	15057.7012	12417.0674	13815.4766
2.1347	14049.8867	12830.2656	11714.7236	13873.0459	12066.4697	12558.9268	11160.2764	12169.332	11521.7158	14155.4404	13952.1162	13653.2383	14353.9688	11778.7305	13766.6689
2.2682	13854.1113	13339.7275	12756.1016	12827.5498	11416.2109	13007.543	12003.1553	11104.9473	12107.2412	12468.124	13518.9268	14060.6553	13822.2354	10799.3555	13114.6113
2.4016	13209.1514	13561.9922	12649.7734	12699.7568	11345.4395	13156.043	11900.168	11201.1572	12785.9229	12448.8613	13603.5547	13291.9014	13798.7852	9368.2549	13156.5557
2.535	13329.4395	12904.8936	12122.3828	12933.4307	11687.1416	NaN	11125.0371	NaN	12203.8057	12066.1172	13432.2637	12498.4873	12912.374	NaN	12986.1914
2.6684	13064.2002	12526.0625	12174.0117	NaN	12020.9365	NaN	12252.4023	NaN	12812.8486	12094.0322	13215.376	13171.084	12705.7461	NaN	13444.6631
2.8019	13416.1641	12256.2295	11401.4004	NaN	11790.8047	NaN	11583.5049	NaN	12745.0029	11349.2334	13522.3516	12808.3721	11814.6904	NaN	13680.7168
2.9353	12856.5234	NaN	NaN	NaN	12283.0957	NaN	NaN	NaN	11559.8809	11893.4453	NaN	12567.4365	12124.8643	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	11770.5342	NaN	NaN	NaN	NaN	NaN	NaN	12469.998	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	11019.6611	NaN	NaN	NaN	NaN	NaN	NaN	12303.6299	NaN	NaN	NaN
