x	Y_20181208_15693_15_1g	Y_20181208_15693_15_2g	Y_20181208_15693_15_9g	Y_20181208_15693_18_6g	Y_20181208_15693_6_6g	Y_20181208_15693_7_6g
0	10742.7305	10143.4736	9455.8672	9915.959	9563.6074	9760.291
0.1334	11605.9717	12624.9805	9653.0176	9704.834	9940.3682	10571.2422
0.2668	12522.6885	14444.1572	10813.3945	11201.8359	10729.6914	12275.9609
0.4003	14285.9121	13645.8838	12528.6611	13779.4355	12532.957	15314.4385
0.5337	17066.2363	13621.0029	14398.4404	15323.124	12240.1523	16638.8867
0.6671	16826.3594	12919.8027	16265.8066	15992.1875	11434.209	15546.6797
0.8005	15909.8223	13937.0625	16143.2285	16554.8145	11851.6182	14113.4883
0.934	15548.75	13742.834	14899.168	15987.5723	12685.333	14352.5498
1.0674	15850.54	14237.2197	15018.4521	15550.9609	13022.6094	14416.668
1.2008	15693.8379	14253.7188	15582.7793	15361.4004	12763.0596	14513.0371
1.3342	14946.3398	14509.1748	15434.0127	15263.1562	13368.1553	15194.6445
1.4676	14482.4805	15343.6992	15008.9229	15438.9014	12862.0088	14714.2168
1.6011	13305.4863	14847.0938	15189.042	15163.3945	13209.0244	14131.167
1.7345	12445.6875	14817.1152	14864.4072	15990.207	13752.707	13957.7451
1.8679	12528.5791	13950.5283	15463.7393	14439.6777	13552.8311	15076.6816
2.0013	11749.5146	12674.0088	14761.8955	14764.1279	13625.9658	14317.0234
2.1347	11923.5566	12237.2754	15617.3408	14514.668	13402.2178	14516.6211
2.2682	12791.0156	11942.1182	15710.0674	14500.3564	13317.2861	13189.9531
2.4016	12135.5518	11943.7432	15784.9902	14112.9668	12563.8193	11962.4668
2.535	11580.2002	11735.8936	15251.4004	13795.4619	11345.5801	11140.3203
2.6684	11316.5059	NaN	13149.7549	12632.875	10902.874	11206.5244
2.8019	11710.1064	NaN	11766.3828	12521.8594	11197.2949	11304.0928
2.9353	12362.8096	NaN	12156.4014	11805.6523	NaN	11391.3281
3.0687	11634.4551	NaN	11332.708	11548.6621	NaN	11812.2412
3.2021	NaN	NaN	10815.626	11408.8594	NaN	NaN
3.3355	NaN	NaN	10853.0557	11628.4707	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN
