x	Y_20181208_15693_15_1g	Y_20181208_15693_15_2g	Y_20181208_15693_15_9g	Y_20181208_15693_17_9g	Y_20181208_15693_18_2g	Y_20181208_15693_18_6g	Y_20181208_15693_18_9g	Y_20181208_15693_20_2g	Y_20181208_15693_4_9g	Y_20181208_15693_6_6g	Y_20181208_15693_7_6g	Y_20181208_15693_9_14g
0	10742.7305	10143.4736	9455.8672	9580.7354	10994.1641	9915.959	10709.5586	11468.1123	9429.6797	9563.6074	9760.291	9461.6895
0.1334	11605.9717	12624.9805	9653.0176	10242.1426	10130.708	9704.834	11887.1699	11506.4902	9828.2432	9940.3682	10571.2422	9509.5547
0.2668	12522.6885	14444.1572	10813.3945	11423.3184	9773.8213	11201.8359	14132.6006	11590.0645	10085.8828	10729.6914	12275.9609	9768.2842
0.4003	14285.9121	13645.8838	12528.6611	13724.3252	9973.1123	13779.4355	17629.7715	11145.0088	10529.5625	12532.957	15314.4385	10749.9863
0.5337	17066.2363	13621.0029	14398.4404	15449.4473	11279.2705	15323.124	18313.4805	11295.9316	11104.0332	12240.1523	16638.8867	12881.8418
0.6671	16826.3594	12919.8027	16265.8066	14538.1982	13202.1221	15992.1875	16338.3281	13412.9531	12746.6074	11434.209	15546.6797	14358.9355
0.8005	15909.8223	13937.0625	16143.2285	13999.0703	15165.5645	16554.8145	14455.4219	17968.0977	14501.2734	11851.6182	14113.4883	14607.1279
0.934	15548.75	13742.834	14899.168	12758.8359	14818.1484	15987.5723	13532.6699	20759.1934	15411.1641	12685.333	14352.5498	14613.6855
1.0674	15850.54	14237.2197	15018.4521	12395.9385	14043.1201	15550.9609	13492.7842	20886.8906	14608.9141	13022.6094	14416.668	14878.4287
1.2008	15693.8379	14253.7188	15582.7793	12603.1162	14208.9678	15361.4004	14141.3291	20132.8047	13425.0957	12763.0596	14513.0371	14723.0361
1.3342	14946.3398	14509.1748	15434.0127	13339.3623	13170.5703	15263.1562	14465.2666	18076.2617	13614.9092	13368.1553	15194.6445	13914.373
1.4676	14482.4805	15343.6992	15008.9229	13031.9883	13913.4795	15438.9014	14009.4922	17704.0449	13501.2422	12862.0088	14714.2168	13917.8037
1.6011	13305.4863	14847.0938	15189.042	12854.5723	13958.8271	15163.3945	13715.1797	17287.2012	13055.0205	13209.0244	14131.167	13530.2217
1.7345	12445.6875	14817.1152	14864.4072	12576.2393	15383.8398	15990.207	14092.7344	17082.7539	12990.3164	13752.707	13957.7451	13516.8691
1.8679	12528.5791	13950.5283	15463.7393	12852.7959	13835.6885	14439.6777	13690.6592	17633.4492	13074.8896	13552.8311	15076.6816	13439.8672
2.0013	11749.5146	12674.0088	14761.8955	13814.7188	15395.833	14764.1279	13437.5576	16562.5527	12223.5137	13625.9658	14317.0234	13912.8555
