x	Y_20181208_15693_2_4g	Y_20181208_15693_7_4g
0	9320.166	10802.9355
0.1334	10122.835	13277.3076
0.2668	11307.6123	15505.3477
0.4003	12870.1895	15850.5605
0.5337	14837.6094	16015.2236
0.6671	14810.2705	14855.2812
0.8005	14863.1719	15170.2734
0.934	14341.0693	15087.1846
1.0674	14833.1426	14607.207
1.2008	14142.5645	13987.9092
1.3342	13953.584	14972.3818
1.4676	13076.1777	14478.2773
1.6011	13293.5801	14423.3789
1.7345	13906.5596	14346.1748
1.8679	14389.9482	13835.3467
2.0013	14618.6309	13334.334
2.1347	14367.5996	13070.8223
2.2682	14811.7676	12318
2.4016	14980.6953	12225.6445
2.535	14921.3271	12502.0039
2.6684	14929.4336	13289.8213
2.8019	14337.4033	12759.3467
2.9353	14126.25	12447.3594
3.0687	13922.8604	12994.543
3.2021	12819.0586	13057.0918
3.3355	12449.8145	11595.7246
3.469	12214.2803	12004.7812
3.6024	11940.127	12362.5137
3.7358	11819.3652	12544.0752
3.8692	NaN	12211.668
4.0027	NaN	NaN
4.1361	NaN	NaN
4.2695	NaN	NaN
4.4029	NaN	NaN
4.5363	NaN	NaN
4.6698	NaN	NaN
4.8032	NaN	NaN
4.9366	NaN	NaN
5.07	NaN	NaN
5.2035	NaN	NaN
5.3369	NaN	NaN
5.4703	NaN	NaN
5.6037	NaN	NaN
