x	Y_20181208_15693_10_11g	Y_20181208_15693_11_5g	Y_20181208_15693_12_8g	Y_20181208_15693_14_10g	Y_20181208_15693_14_11g	Y_20181208_15693_15_3g	Y_20181208_15693_17_5g	Y_20181208_15693_17_9g	Y_20181208_15693_18_2g	Y_20181208_15693_18_9g	Y_20181208_15693_4_1g	Y_20181208_15693_5_15g
0	10685.2383	10587.1143	9692.0205	9817.0137	10460.9502	12248.335	10942.3408	9580.7354	10994.1641	10709.5586	10368.8594	9272.2344
0.1334	12116.5068	12614.7031	10053.4102	10208.9326	11408.3662	14017.334	11412.3594	10242.1426	10130.708	11887.1699	13030.3438	9512.4404
0.2668	16005.6221	15377.9463	10716.917	10576.0283	13174.21	15231.1279	13981.8125	11423.3184	9773.8213	14132.6006	14050.3174	9369.8838
0.4003	16455.6172	18445.418	11509.4219	10665.3789	15550.7178	15007.665	15396.9863	13724.3252	9973.1123	17629.7715	13040.9922	9356.9043
0.5337	17804.4297	19988.7441	12584.0674	11838.0176	15282.0654	14651.2793	16785.9258	15449.4473	11279.2705	18313.4805	12654.6074	9708.2031
0.6671	18272.4688	19109.418	14285.8711	12477.2559	14251.8398	13909.1689	16688.6738	14538.1982	13202.1221	16338.3281	12536.6846	10489.5625
0.8005	18028.0195	18002.5742	14280.0957	12105.1553	14374.2979	13793.0791	16475.6074	13999.0703	15165.5645	14455.4219	12064.6797	11699.7578
0.934	16991.6973	17214.7188	12940.7461	11814.0039	14131.3877	14119.8408	16018.0117	12758.8359	14818.1484	13532.6699	13244.4033	14493.6289
1.0674	16023.1914	17072.1191	12040.2744	11499.7959	14193.5322	13908.9424	15368.5654	12395.9385	14043.1201	13492.7842	13576.7334	16471.8711
1.2008	15688.1963	15488.002	11822.9258	12015.9541	15017.9893	13978.6768	16309.5947	12603.1162	14208.9678	14141.3291	13909.9053	15409.0645
1.3342	16080.4238	14871.2266	11378.7432	10862.8877	14181.9053	14644.3838	16912.4512	13339.3623	13170.5703	14465.2666	13371.7373	14898.9521
1.4676	17963.6465	14931.7188	12083.6055	11227.5537	13968.0273	14687.9717	16018.9248	13031.9883	13913.4795	14009.4922	13284.5498	13252.0166
1.6011	18118.5293	15703.6895	12251.666	12028.3887	14670.0508	14460.7168	15597.46	12854.5723	13958.8271	13715.1797	13029.5166	14911.1377
1.7345	17696.1602	15538.1318	12421.6982	12143.7148	15381.5215	14989.8857	15930.1396	12576.2393	15383.8398	14092.7344	12622.9287	14230.168
1.8679	16292.4795	15710.2578	12373.2441	13287.9629	15654.1934	15429.1748	15489.9658	12852.7959	13835.6885	13690.6592	12342.7744	13269.5244
2.0013	16631.6914	16125.9482	12354.835	13128.6143	14969.8535	15189.6006	15600.9443	13814.7188	15395.833	13437.5576	12003.6621	12943.1533
2.1347	15861.3838	15679.127	12204.8057	13088.1367	15103.8291	14019.7988	15467.1133	13933.3301	15243.6914	13037.876	11294.4258	13162.7354
2.2682	15790.623	14220.6045	11983.0518	13589.1709	14240.4404	13383.2617	14112.4395	13178.1729	14481.9551	12803.0039	11631.5674	12804.2432
2.4016	14953.1484	14996.1387	12616.3477	13827.0293	13758.5312	13140.3184	13473.2969	12443.8594	14285.8477	12657.1416	11410.4336	12746.708
2.535	14440.873	13822.7539	11832.0674	14114.2891	13222.7822	13113.543	12773.3887	12516.1611	13484.3633	11876.084	11731.5771	12284.7314
2.6684	13885.3789	14211.7061	11727.377	14209.5293	12799.6445	13397.5049	12272.2402	12254.6045	12785.6953	12087.2568	12079.4375	12009.9053
2.8019	13603.3135	13834.9619	11945.3057	13992.6416	11625.4922	12088.5713	11754.0127	12153.5977	12586.6475	11687.0918	11908.5	12103.083
2.9353	13365.2207	13338.4268	11646.3926	13095.5742	11395.4619	11684.4873	11096.2217	11397.1016	12206.0254	11245.8262	11497.5518	12600.4238
3.0687	13030.7197	13165.1357	11488.3975	12612.1201	11188.499	11666.0479	11213.9023	11310.8066	11217.3252	11901.8252	11212.042	12772.9014
3.2021	12031.0908	12867.8418	11002.6309	11892.0723	10917.9541	11460.1104	12193.9463	11737.4658	11986.1689	11600.3682	NaN	12370.9473
3.3355	11301.8906	12869.2002	11260.5391	11341.9785	10845.8643	10649.7412	12184.2529	11826.835	11549.1787	11407.8281	NaN	12775.1572
3.469	11002.5303	12543.165	11513.5059	11660.1318	10478.2393	NaN	12263.5527	11306.2734	11771.0518	12009.0596	NaN	12026.2441
3.6024	10186.1895	NaN	NaN	NaN	NaN	NaN	12581.8477	NaN	12391.3662	10949.5059	NaN	11562.0762
