x	Y_20181208_15693_10_9g	Y_20181208_15693_2_11g	Y_20181208_15693_2_4g	Y_20181208_15693_5_8g	Y_20181208_15693_6_11g	Y_20181208_15693_7_4g
0	11084.4658	11751.5596	9320.166	11286.542	10825.9111	10802.9355
0.1334	11518.0137	11483.291	10122.835	13748.9775	10938.1709	13277.3076
0.2668	13126.7432	12672.7197	11307.6123	12886.4316	12000.4336	15505.3477
0.4003	15069.3027	14255.6406	12870.1895	12359.4736	15236.4023	15850.5605
0.5337	16734.0938	13989.5742	14837.6094	12701.3262	19481.9609	16015.2236
0.6671	16353.5107	13137.7949	14810.2705	13199.2988	23723.168	14855.2812
0.8005	16407.6582	13766.7227	14863.1719	13542.8965	21892.875	15170.2734
0.934	16517.1211	14073.0635	14341.0693	14427.292	18906.2383	15087.1846
1.0674	17091.3438	13992.7256	14833.1426	13667.5234	17101.0977	14607.207
1.2008	17364.1309	14155.8535	14142.5645	13351.4453	15681.8252	13987.9092
1.3342	16165.7764	13711.793	13953.584	14007.5215	16156.9609	14972.3818
1.4676	15849.2842	14126.0215	13076.1777	13840.3389	16415.3574	14478.2773
1.6011	16867.1328	14097.3955	13293.5801	13953.2559	15687.1016	14423.3789
1.7345	16382.5166	13803.0234	13906.5596	13986.7773	14290.2998	14346.1748
1.8679	15596.0889	13806.5088	14389.9482	14686.2588	14749.5723	13835.3467
2.0013	15953.9512	13720.3027	14618.6309	15040.915	15714.7744	13334.334
2.1347	16202.7002	13465.043	14367.5996	14978.9951	15094.7393	13070.8223
2.2682	16269.377	14716.7793	14811.7676	15117.1152	14424.8154	12318
2.4016	15447.9629	13660.1494	14980.6953	14526.4805	14349.4521	12225.6445
2.535	14936.4561	14373.8135	14921.3271	15038.7832	14720.9717	12502.0039
2.6684	14317.9199	15231.7021	14929.4336	15089.7295	14509.8613	13289.8213
2.8019	13587.6934	14874.1797	14337.4033	14415.877	14581.3896	12759.3467
2.9353	13150.335	14006.2021	14126.25	13802.2695	15106.2764	12447.3594
3.0687	14485.6064	13529.46	13922.8604	12848.5801	15528.3604	12994.543
3.2021	14446.752	13313.3838	12819.0586	12182.6953	15803.6836	13057.0918
3.3355	14775.7871	13175.5811	12449.8145	11276.5488	15713.5107	11595.7246
3.469	15404.3604	12220.1885	12214.2803	10933.2783	14107.5693	12004.7812
3.6024	14558.7432	11603.6719	11940.127	10772.3701	13363.1377	12362.5137
3.7358	13449.0342	NaN	11819.3652	10418.8662	12620.8398	12544.0752
3.8692	12358.9873	NaN	NaN	NaN	12601.7637	12211.668
4.0027	11562.4414	NaN	NaN	NaN	12026.7773	NaN
4.1361	11081.3477	NaN	NaN	NaN	12879.6504	NaN
4.2695	10769.7246	NaN	NaN	NaN	NaN	NaN
4.4029	10015.9307	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN
