x	Y_20181208_15693b_10_11g	Y_20181208_15693b_10_14g	Y_20181208_15693b_10_6g	Y_20181208_15693b_11_15g	Y_20181208_15693b_2_6g	Y_20181208_15693b_3_14g	Y_20181208_15693b_3_16g	Y_20181208_15693b_3_3g	Y_20181208_15693b_5_10g	Y_20181208_15693b_5_13g	Y_20181208_15693b_5_2g	Y_20181208_15693b_6_3g	Y_20181208_15693b_7_15g	Y_20181208_15693b_8_12g	Y_20181208_15693b_8_20g	Y_20181208_15693b_8_30g	Y_20181208_15693b_9_13g
0	32527.8555	29257.7402	30513.2422	29080.3965	27014.1934	28772.4805	36036.3086	27125.377	25963.1934	30675.8418	26304.3535	29141.4355	29937.0234	32024.8945	30143.7852	25956.1641	30166.0723
0.1334	31610.3008	31454.6406	30521.877	29654.6328	28161.4531	27622.3652	33034.8359	28759.8594	25016.8457	31317.1758	25608.8965	27302.1133	30209.8555	32000.0684	30167.2559	25605.6895	30291.0625
0.2668	31329.9336	31276.8477	29627.8906	29827.1797	27774.4609	28948.8711	32007.1406	29202.0312	25478.2715	30624.5859	25806.8594	27655.6367	31368.377	29727.0059	29561.8691	24453.291	31117.8555
0.4003	31137.584	30512.7773	29766.7363	29782.0332	27123.1367	29053.3457	31699.8281	28070.6543	26807.6094	30458.7207	25055.7812	26653.1777	31442.1152	30445.5527	30446.918	25471.9785	30685.252
0.5337	31289.4102	30070.3145	29268.0273	28179.9297	30647.0898	29749.1484	33750.9766	28686.6074	26065.6582	31760.3848	24591.3223	27461.8008	32005.6484	31059.127	30334.748	24720.1406	30230.1055
0.6671	30308.8652	30908.2715	28884.5566	27526.1465	27339.5273	28766.3242	32094.2637	29001.4707	25340.9395	30906.8496	27086.9785	29175.4414	32830.9062	30362.3594	28950.3574	25484.5762	31209.9785
0.8005	33274.0039	31670.8672	28492.5254	27946.5977	28036.7246	28087.4336	32760.4453	30202.2344	24909.5938	32537.2793	27206.5391	30232.543	32194.2871	30643.9922	28206.1191	26338.6562	30922.9746
0.934	31597.4316	31673.6953	29736.7656	27640.7773	31077.8184	29648.6328	32085.6582	28003.0293	25504.1543	33819.5156	26804.707	30187.5195	32822.625	30808.0195	29378.9219	26850.3711	31989.6133
1.0674	32164.8926	31531.957	29609.1641	28346.0293	36213.7109	28387.5664	32787.6836	28503.3398	25950.4688	37987.7891	26816.2871	30454.4023	34608.3242	34043.2539	30890.0859	27864.3906	32698.5234
1.2008	32684.8281	31457.9199	30686.6055	28339.2227	42635.5156	29922.8711	33372.3398	29491.8535	26542.9512	43963.2383	27146.707	31147.0996	37375.1758	33595.4688	31353.7148	28297.5059	32663.2539
1.3342	35815.2539	32657.2559	31741.4434	29794.5352	68666.5391	30580.7871	34669.9062	29592.3242	30353.0469	55473.0703	30337.2168	33559.0352	38393.3672	36925.7891	33983.793	31659.8008	32225.7129
1.4676	40461.2812	35522.7695	35340.1406	31144.3789	104564.375	30060.2422	34524.8242	31828.4609	35650.5508	62615.8086	35540.7227	38164.918	47027.5156	43387.5469	38988.2148	43022.6367	34408.6328
1.6011	51032.6094	48280.2227	43126.2891	37961.0195	107312.0859	32880.4766	37576.4102	37805.5117	44745.6328	51177.1953	43981.2148	48221.6445	64761.0586	66466.0391	52919.6445	61983.3281	41699.5273
1.7345	73810.7734	70606.2578	64555.3438	50372.5273	77257.3438	38512.9766	45834.1875	50147.9414	56645.2227	40589.3672	65157.7422	68283.7031	96743.625	91442.3359	79951.2031	81638.1484	63053.1523
1.8679	92813.6094	87748.5391	88803.6641	56685.8594	46309.3906	48844.2266	60453.5859	62211.9102	55342.7539	36577.1016	89996.25	86521.3672	123388.8359	91373.5703	98184.7656	77354.6562	90662.7891
2.0013	87852.8594	77931.0703	89406.5391	50036.8867	35304.2227	62556.9609	73107.625	58539.5938	42992.1445	34264.8398	93467.7734	74194.9844	102788.5078	63874.9688	83198.4062	56136.5977	93382.3203
2.1347	59431.6445	52744.3789	63002.0977	41886.8672	31699.8066	62229.043	65156.1328	46354.2969	33841.0625	33537.8906	69832.9062	52000.1875	62880.1445	43971.0664	56046.5195	36762.9062	72266.5312
2.2682	44279.2891	37725.3828	46772.1328	35401.4609	29919.0449	46029.0508	47992.3672	37322.7656	30008.3496	32685.1914	47725.875	40319.1875	45415.8398	39465.8477	44539.207	32093.4434	49506.5117
2.4016	38614.3789	NaN	45884.875	32447.1562	27028.5801	36727.4062	39448.0312	34700.5508	27472.1914	NaN	34663.6914	36758.2422	38498.3203	34363.1172	41049.7852	29888.6777	39018.5
2.535	33897.543	NaN	NaN	32023.6504	27365.334	33258.4414	35581.5039	30456.6875	27018.0371	NaN	32705.2344	33907.332	34247.707	36807.3906	36012.2969	28933.6582	34458.0703
2.6684	33629.5391	NaN	NaN	32103.0703	NaN	NaN	34191.4805	NaN	26731.707	NaN	29232.1641	NaN	32738.666	32945.9336	NaN	27998.252	33620.4375
2.8019	32739.5762	NaN	NaN	33037.4766	NaN	NaN	NaN	NaN	27025.084	NaN	27420.1309	NaN	32483.9609	NaN	NaN	NaN	33037.9258
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28801.5938	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
