x	Y_20181208_15693b_1_1g	Y_20181208_15693b_1_4g	Y_20181208_15693b_1_7g	Y_20181208_15693b_10_18g	Y_20181208_15693b_10_3g	Y_20181208_15693b_10_9g	Y_20181208_15693b_11_12g	Y_20181208_15693b_11_1g	Y_20181208_15693b_11_2g	Y_20181208_15693b_11_3g	Y_20181208_15693b_13_17g	Y_20181208_15693b_13_20g	Y_20181208_15693b_13_9g	Y_20181208_15693b_2_10g	Y_20181208_15693b_2_12g	Y_20181208_15693b_3_13g	Y_20181208_15693b_3_15g	Y_20181208_15693b_3_5g	Y_20181208_15693b_3_9g	Y_20181208_15693b_4_11g	Y_20181208_15693b_4_15g	Y_20181208_15693b_4_17g	Y_20181208_15693b_4_18g	Y_20181208_15693b_4_8g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_18g	Y_20181208_15693b_5_24g	Y_20181208_15693b_5_6g	Y_20181208_15693b_6_11g	Y_20181208_15693b_6_12g	Y_20181208_15693b_6_14g	Y_20181208_15693b_6_5g	Y_20181208_15693b_6_6g	Y_20181208_15693b_7_10g	Y_20181208_15693b_7_2g	Y_20181208_15693b_7_4g	Y_20181208_15693b_7_7g	Y_20181208_15693b_7_9g	Y_20181208_15693b_8_10g	Y_20181208_15693b_8_11g	Y_20181208_15693b_8_14g	Y_20181208_15693b_8_17g	Y_20181208_15693b_8_4g	Y_20181208_15693b_8_8g	Y_20181208_15693b_8_9g	Y_20181208_15693b_9_11g	Y_20181208_15693b_9_5g	Y_20181208_15693b_9_7g
0	13579.7891	13731.8516	14074.5527	13138.6934	13451.4375	10901.0039	11591.2656	11104.1611	10404.3818	12286.7432	13504.8564	14804.0615	12535.7568	11979.5127	14091.0811	13213.0908	12719.2529	14610.6719	13108.7236	11754.9912	12602.6953	13109.0723	11546.377	12014.623	14953.7764	12073.9902	11851.7344	10848.416	10995.2568	10311.2256	12019.1504	12592.332	10142.0029	13235.3555	12827.1846	11528.6943	15456.5625	12028.1934	12789.4043	11833.5459	13113.9268	11315.3867	14344.6045	11540.9443	12877.5752	11761.3477	13061.0176	11571.3213
0.1334	15143.3867	14274.0527	17016.7891	15884.582	14189.3682	10885.9043	11975.4629	12710.9385	10900.752	12547.4639	15678.0684	15158.126	14042.9639	12244.8955	13017.8428	17197.7578	13905.126	14906.8262	14528.9033	12620.0762	14524.9766	15297.7236	11998.5713	12881.5264	16974.4609	12953.8184	13553.5723	11660.25	11981.0674	10929.6104	12608.7734	14220.9277	10530.6436	15391.334	13193.9238	11758.7021	19400.7578	13173.1924	13571.8164	12783.8262	15707.3984	11233.7646	14205.8311	11741.4629	15531.5762	11692.0889	13261.1396	12693.7969
0.2668	15645.8652	14872.8555	17916.6074	18381.9414	16280.1602	11359.4365	12794.792	13839.4531	13637.1816	12475.0645	16459.6191	16561.498	16452.5645	11989.2705	14473.3418	20437.3008	15721.0596	16689.7793	17479.668	15047.6094	16387.6152	18140.0469	13479.8672	15520.8398	18620.9238	13506.9824	16295.8105	12653.0127	13140.6387	12310.4424	12458.9688	15133.5068	11427.7051	17328.1465	13848.8115	11985.9531	22499.875	14882.2236	13893.2314	13983.2568	21383.5859	11985.3594	18245.8633	12516.0664	16736.6641	11737.0498	17328.5391	13399.2891
0.4003	14540.5654	17673.5742	17433.918	18333.2793	18424.6738	11526.4961	14349.1318	13886.4678	18829.834	14003.2158	17235.9863	22339.6406	17713.1445	12830.835	16771.3164	24523.0547	16438.5293	20501.4668	17462.9004	18126.8359	15519.2412	17966.0879	14690.5264	20079.2676	17484.0195	14669.4062	19966.4863	13924.4248	14707.2041	15514.6348	12793.5303	13508.4639	13306.458	15080.3516	16568.5859	12774.9746	22058.4824	16820.8926	15707.6572	15586.541	26381.8652	12342.6465	18889.0449	13225.335	17124.9434	12656.4951	21640.6152	14844.4502
0.5337	18532.2578	19628.418	15388.8408	17207.9395	18024.1133	12206.9365	18848.1621	13825.5293	23122.9141	16630.3125	15395.5361	26649.9102	17223.4785	14916.5977	16926.5664	22044.7051	14916.5381	26124.8301	15204.5195	18518.127	14065.9463	15712.5234	14767.4277	23014.2305	16323.6943	17430.166	19621.2324	14031.8887	15972.4551	17397.9766	14666.7617	12645.1484	15304.8154	13331.2959	18935.1582	15267.21	19367.6738	16703.9648	18471.5742	16759.4473	27159.1426	14543.6895	18283.0742	12614.5537	15790.3184	14018.3877	21372.1211	15444.9053
0.6671	21914.8477	17110.4141	16070.6787	16359.001	16164.042	13309.4463	23525.8555	12801.458	23177.9492	18545.8672	15004.0186	25420.4805	16011.8389	15770.498	15986.3955	19150.2871	14070.7559	25004.4102	12900.9512	16801.5312	12829.5645	15831.0283	12368.7744	21088.8906	14914.0068	16451.4355	17621.2285	13515.1738	16495.1699	17434.0117	18316.2617	12263.0049	16870.9531	12473.8232	18860.9355	18891.0703	17175.2148	14117.7031	22852.4922	17065.873	23303.7852	14262.0996	15415.4082	12318.7422	14688.54	15887.709	18202.3281	15278.2217
0.8005	20889.2422	15670.04	16387.6406	15846.9385	15634.1514	13581.0908	24940.6211	13424.04	21740.0039	17889.4004	15364.4287	21585.373	14267.3232	13752.8799	16472.416	17387.916	12381.0029	21968.8516	12349.9756	14407.5391	12350.5342	14964.7324	11498.4482	20193.4336	14242.1533	14558.2578	15936.5049	12541.9609	16085.9355	16816.7188	21931.0391	12081.3613	16003.0547	12231.125	16779.6055	19404.2051	14299.0381	14384.0693	23497.0801	15871.7178	18987.8848	14314.0908	14465.3477	11809.2646	13779.5762	15660.6592	16142.1279	14544.9238
0.934	16472.3164	14256.6768	15532.6133	15859.5566	15398.6973	12662.9004	20839.9707	13272.2549	18361.4395	15498.5713	15556.4795	19262.0117	13802.6289	13604.4062	17538.4902	16807.709	12259.2832	20220.3496	12060.0068	14331.2412	11604.1289	14467.5215	11524.1621	18085.1719	12841.7188	14738.3379	14764.1191	11812.209	15106.9014	15995.2158	24077.8516	11675.5068	14750.2461	12501.249	15698.9453	17954.3086	13368.5146	14866.9678	19036.7715	15080.6025	17005.6074	14435.7539	13016.0264	12065.6055	13673.5781	14806.6064	14612.5088	13370.2646
1.0674	15297.8359	13493.8037	15257.2686	14241.875	15589.2422	11910.6885	17890.2793	12749.5947	16305.0381	16054.6729	15756.9209	16437.0781	12789.2783	12369.3818	16613.7031	15529.1064	12870.5117	18575.5801	11279.5	13516.2051	11970.5557	13109.7539	12491.9492	18156.3145	11955.8242	16646.0977	14716.5049	11273.9531	15253.5791	14874.7002	22001.4395	11354.3301	13746.5576	12568.4277	14998.0078	15638.8828	12800.3271	15891.0625	17066.3457	14625.5928	15657.3525	13005.8066	13575.6895	12067.5703	15001.8242	14562.5908	12448.8193	12785.9639
1.2008	15151.0771	12571.2686	15574.3545	13988.5166	14719.0166	11523.5703	16066.0234	11661.71	15200.1143	15912.0381	14462.9043	13826.9189	12136.0439	11892.9053	16116.6729	15312.8545	13458.6836	18187.7461	11470.8613	13967.1084	11448.3135	12272.5918	12175.3672	17746.8652	11676.041	17368.6855	15779.5215	11524.0488	14675.9365	13808.4805	18469.1875	11483.3926	13367.75	13531.6885	13706.2656	13560.6504	12858.1367	16685.1348	16596.8945	15205.0781	14488.7148	11905.5273	13716.1787	12626.751	16973.6621	13946.0615	13207.6367	13746.6016
