x	Y_20181208_15693b_1_4g	Y_20181208_15693b_10_18g	Y_20181208_15693b_10_9g	Y_20181208_15693b_11_2g	Y_20181208_15693b_13_20g	Y_20181208_15693b_2_12g	Y_20181208_15693b_3_13g	Y_20181208_15693b_4_11g	Y_20181208_15693b_5_18g	Y_20181208_15693b_5_6g	Y_20181208_15693b_6_5g	Y_20181208_15693b_7_4g	Y_20181208_15693b_7_7g	Y_20181208_15693b_8_10g	Y_20181208_15693b_8_11g	Y_20181208_15693b_8_14g	Y_20181208_15693b_8_8g	Y_20181208_15693b_9_5g
0	13731.8516	13138.6934	10901.0039	10404.3818	14804.0615	14091.0811	13213.0908	11754.9912	12073.9902	10848.416	12592.332	11528.6943	15456.5625	12789.4043	11833.5459	13113.9268	11540.9443	13061.0176
0.1334	14274.0527	15884.582	10885.9043	10900.752	15158.126	13017.8428	17197.7578	12620.0762	12953.8184	11660.25	14220.9277	11758.7021	19400.7578	13571.8164	12783.8262	15707.3984	11741.4629	13261.1396
0.2668	14872.8555	18381.9414	11359.4365	13637.1816	16561.498	14473.3418	20437.3008	15047.6094	13506.9824	12653.0127	15133.5068	11985.9531	22499.875	13893.2314	13983.2568	21383.5859	12516.0664	17328.5391
0.4003	17673.5742	18333.2793	11526.4961	18829.834	22339.6406	16771.3164	24523.0547	18126.8359	14669.4062	13924.4248	13508.4639	12774.9746	22058.4824	15707.6572	15586.541	26381.8652	13225.335	21640.6152
0.5337	19628.418	17207.9395	12206.9365	23122.9141	26649.9102	16926.5664	22044.7051	18518.127	17430.166	14031.8887	12645.1484	15267.21	19367.6738	18471.5742	16759.4473	27159.1426	12614.5537	21372.1211
0.6671	17110.4141	16359.001	13309.4463	23177.9492	25420.4805	15986.3955	19150.2871	16801.5312	16451.4355	13515.1738	12263.0049	18891.0703	17175.2148	22852.4922	17065.873	23303.7852	12318.7422	18202.3281
0.8005	15670.04	15846.9385	13581.0908	21740.0039	21585.373	16472.416	17387.916	14407.5391	14558.2578	12541.9609	12081.3613	19404.2051	14299.0381	23497.0801	15871.7178	18987.8848	11809.2646	16142.1279
0.934	14256.6768	15859.5566	12662.9004	18361.4395	19262.0117	17538.4902	16807.709	14331.2412	14738.3379	11812.209	11675.5068	17954.3086	13368.5146	19036.7715	15080.6025	17005.6074	12065.6055	14612.5088
1.0674	13493.8037	14241.875	11910.6885	16305.0381	16437.0781	16613.7031	15529.1064	13516.2051	16646.0977	11273.9531	11354.3301	15638.8828	12800.3271	17066.3457	14625.5928	15657.3525	12067.5703	12448.8193
1.2008	12571.2686	13988.5166	11523.5703	15200.1143	13826.9189	16116.6729	15312.8545	13967.1084	17368.6855	11524.0488	11483.3926	13560.6504	12858.1367	16596.8945	15205.0781	14488.7148	12626.751	13207.6367
1.3342	12451.6621	13646.6328	11337.5342	15175.9463	13253.1787	16260.7295	14281.5293	14275.5762	15780.1885	10754.7051	12015.4844	12826.1279	13188.2295	17508.4648	15760.0918	14314.3633	13343.0977	13544.7334
1.4676	12622.5391	13471.6953	11353.2549	13528.6963	13852.1436	15110.7207	13593.0029	13956.6797	14825.8164	11847.3438	12230.1436	13009.5312	13040.9473	18219.7109	15562.123	14025.3213	14339.9717	13184.3193
1.6011	12543.5176	12292.0127	10738.335	13649.7842	13422.0322	14980.2432	14136.1738	13378.3369	15654.6211	12894.1992	13324.7803	13709.3643	12731.3965	18612.4961	15201.6104	12737.0156	15965.5947	12879.0908
1.7345	13734.1006	12096.458	11140.1875	12714.4668	13374.7393	13574.5186	14223.2998	13213.4756	15648.3516	13279.667	12740.207	13910.0166	14283.4434	16843.9531	15535.7129	12945.8389	17581.7695	12716.877
1.8679	14043.5059	11702.7656	11742.249	12740.2148	13507.8564	13175.1504	14486.624	13298.2578	14241.7012	14090.4619	12114.1846	13143.04	14585.7891	14357.7793	15139.8721	13731.7383	16035.376	13305.5957
2.0013	13826.2305	11746.5879	11871.2363	12214.7686	13714.6465	12478.8516	15331.1758	13221.7402	14496.918	14252.9785	11573.5801	12793.8721	14439.4229	13106.7275	13393.7568	14120.5039	14877.6191	13332.2871
2.1347	14278.7461	11827.0586	11849.875	12115.9619	14372.3174	12077.2422	15854.7344	12076.541	13021.7852	14539.4902	11437.2334	13542.6104	13803.75	12685.2168	13297.252	14973.4639	13446.2783	13523.6396
2.2682	14188.2812	11838.8945	13184.7793	11386.0996	14917.4512	11276.166	13997.9043	12184.6631	13229.8867	13229.6016	11221.4033	13076.5137	12778.7725	12590.7275	12594.417	16391.1992	12587.7275	14197.6123
2.4016	15921.3477	12063.3438	12616.084	11709.5371	14023.6406	10572.166	12854.2246	11611.9971	13178.9004	13689.2412	11449.2002	11943.5127	11487.5459	12320.5967	11695.9922	16691.4531	12338.5889	14170.9883
2.535	17214.3359	13021.5625	12801.5176	12528.7588	13429.7314	10982.0732	12283.1289	10893.6973	13514.0654	13000.6348	11017.1826	11288.7344	11821.9951	11876.8701	11011.042	16135.3623	11305.8516	14300.1182
2.6684	17326.1738	13249.7881	13543.2051	12014.3916	13834.125	10702.6797	11966.335	10476.6055	14298.7432	12359.5527	11039.8564	11114.0459	12064.3799	12156.5986	11486.0947	16817.0312	11716.5586	13851.3516
2.8019	15093.0303	12614.1836	14982.5527	11630.5332	14532.6836	10369.6953	11938.5986	11396.0195	14567.9473	11462.1914	11260.9268	11148.3242	11748.3818	12152.9668	11993.3438	14575.6846	11128.1816	13081.2197
2.9353	13878.8877	12835.3369	16149.418	11838.8604	13701.0938	10912.9229	11590.3945	11188.6807	13727.2715	11120.6328	11752.1436	10814.957	12055.0674	12026.8535	11588.1611	13373.5107	10864.9639	12838.3984
3.0687	12806.499	12323.9854	15861.623	11318.6934	14153.4805	10919.542	12319.4336	11172.2803	12670.4336	11422.0771	11908.5566	10469.2236	11329.8887	12002.6064	11838.3955	13173.2988	11178.6699	12224.4375
3.2021	13168.123	12122.5684	13866.668	11688.5859	13455.9053	10703.4277	12170.1191	11665.6523	12246.6416	11183.6162	10978.2822	10358.0273	11226.8047	11353.4199	12511.79	13004.3125	11808.666	12365.3682
3.3355	13200.1396	11887.0176	13443.249	11751.6016	NaN	10860.666	12489.7246	11493.5215	12504.8643	11186.1299	11611.082	10225.6143	NaN	11534.1895	11819.0186	12472.5137	11496.8633	NaN
3.469	12450.96	11617.5059	12184.0967	11395.4717	NaN	10476.0869	12528.9629	NaN	12133.7891	NaN	NaN	10492.9854	NaN	11614.3096	12772.1504	NaN	11699.0615	NaN
3.6024	12728.0879	NaN	12624.4365	NaN	NaN	NaN	12568.7588	NaN	12336.7334	NaN	NaN	10277.5352	NaN	12012.9717	12659.374	NaN	NaN	NaN
