x	Y_20181208_15693b_11_16g	Y_20181208_15693b_11_5g	Y_20181208_15693b_11_9g	Y_20181208_15693b_13_18g	Y_20181208_15693b_3_20g	Y_20181208_15693b_4_1g	Y_20181208_15693b_5_3g
0	9907.4863	10978.1582	9634.7871	9656.6494	12294.9668	14195.6562	10688.7891
0.1334	10588.8555	11818.3613	9972.4551	10540.3018	12441.8564	17481.2168	12618.5703
0.2668	11122.3418	12463.7471	10503.165	11299.4287	12869.0967	17835.5352	13587.3818
0.4003	11423.9004	13512.8369	12680.8691	13112.5674	14177.4141	16819.5859	13274.9287
0.5337	12059.8438	13001.001	15132.8711	14552.7842	16875.2734	16082.1709	13524.4219
0.6671	12925.6777	11922.0361	15890.5049	13925.3809	16639.582	15346.7422	13739.6006
0.8005	13570.0713	11641.3564	15725.9023	12540.6318	14603	17048.2891	13262.9561
0.934	12682.1953	10873.4014	13995.2168	12290.1943	13293.0576	16329.3945	12789.5068
1.0674	11593.5762	10828.0684	13593.3467	11215.3047	12904.1211	15595.4775	13279.9795
1.2008	12152.0928	11298.1758	14347.1572	12882.6494	13003.0303	15200.6602	13440.3838
1.3342	11741.1602	10734.5	13583.1152	13358.9209	12836.1475	15249.4531	13307.9258
1.4676	11650.5557	10401.8438	15070.8584	14340.3672	13028.2773	14107.2998	12822.7168
1.6011	12248.7139	10929.7812	15828.6572	13862.2373	12860.0742	13910.1133	12924.6709
1.7345	12684.8408	11966.1797	15777.2393	13766.5088	13136.2422	13362.6006	11676.5498
1.8679	13403.3828	13300.0127	15151.4336	14782.9893	13118.6475	13282.6914	11777.4014
2.0013	14724.3018	12472.3027	14265.4766	14849.9141	14405.9512	13533.7891	11803.833
2.1347	13810.7832	11709.2363	13218.8018	14346.2158	15187.5469	12875.6904	11723.7188
2.2682	13421.5088	11226.7334	12819.7158	13785.8145	15165.1514	13530.6465	12134.499
2.4016	12590.4023	12022.4443	13070.1025	13249.6143	15248.543	13302.8193	12345.9785
2.535	12384.8447	11668.4756	12739.7607	12530.4277	15795.4463	13586.3828	13047.3135
2.6684	12932.7354	10974.3818	12641.3496	12665.0381	16500.1602	13469.4355	12941.7148
2.8019	12905.8984	11969.9102	12571.7646	12250.6387	16163.8818	13665.8682	12378.7773
2.9353	12023.3164	11662.125	13184.2451	11793.1758	14786.9717	13149.2549	12355.9502
3.0687	11438.0527	11440.7178	12774.6973	11967.1748	13795.1611	13140.7305	12142.0664
3.2021	11546.0908	11232.8799	13940.7568	12646.8594	13880.9316	13454.3779	12351.2998
3.3355	11426.8945	11043.5625	13828.8584	12539.1152	13744.2705	13579.0049	11661.8535
3.469	11875.1572	11570.748	13470.7363	11740.166	13055.835	13176.7607	11205.5049
3.6024	11161.373	NaN	13411.1562	12401.9258	12314.9492	NaN	NaN
3.7358	11434.5	NaN	13688.9766	NaN	11826.7754	NaN	NaN
3.8692	11552.6816	NaN	13672.6445	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	12822.4395	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	12477.7188	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN
