x	Y_20181208_15693b_11_14g	Y_20181208_15693b_11_4g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_6g	Y_20181208_15693b_5_25g	Y_20181208_15693b_8_16g	Y_20181208_15693b_9_15g	Y_20181208_15693b_9_1g
0	25799.4805	28143.9473	27668.8477	27760.5684	26078.8047	26602.916	27684.1953	28107.2598
0.1334	26756.7871	28512.3398	26669.5	27570.0859	27598.7891	29506.4863	28693.1875	27086.8906
0.2668	26729.8242	28798.6543	27792.8223	28037.7461	26597.7305	29330.6816	28180.1289	27485.1719
0.4003	27521.1934	29369.5625	28872.0215	27144.7207	27115.2441	28515.418	29864.1055	27408.3848
0.5337	28713.207	29429.0703	29581.9727	28941.0801	27299.1758	29168.9199	30474.293	27909.8105
0.6671	28901.002	26922.6953	29287.1934	28617.0762	25585.3672	27580.1973	29917.9102	27323.7715
0.8005	28121.793	28650.2676	29059.3906	28398.7793	26096.2578	28779.3223	29129.0215	27267.707
0.934	28712.8867	28394.7324	27410.1699	27753.502	26285.4492	29855.8223	29090.5801	29002.9609
1.0674	27331.2715	26695.166	27899.8652	27680.1641	27332.9609	28429.8906	28824.3477	28120.4062
1.2008	27667.998	27669.1445	26836.4395	27643.1152	27017.6875	28412.6309	27955.457	27139.2461
1.3342	28063.9199	27933.0566	27666.8652	28484.5645	25759.1875	27553.9863	27542.0156	27911.0527
1.4676	28309.7715	28254.9473	28179.7793	28300.6152	26302.3301	25943.8711	27755.1484	27242.2285
1.6011	27622.4453	28012.1543	26492.8008	28860.7832	28040.4414	26808.7793	28588.8105	27142.9492
1.7345	28390.3672	27691.4414	26613.3398	29132.2559	28277.4785	26870.0801	28508.2383	28306.5762
1.8679	28789.8418	27027.7695	25927.2754	29847.1328	27327.623	28742.6992	28415.3105	28118.4062
2.0013	27816.3359	25945.0254	27023.6523	30206.8301	26385.6211	28682.1602	29177.7793	28341.4297
2.1347	28012.5391	27320.0527	27600.3242	28245.1133	26749.2402	28028.8965	28395.6094	29769.2891
2.2682	28293.9844	27679.7871	26893.8262	28149.5781	25950.7168	28332.6465	30310.5605	29409.7617
2.4016	28360.0957	29350.3711	28689.4785	27597.8047	26155.3125	30369.7578	30632.0586	30806.4688
2.535	29413.0625	29521.75	29231.5137	28169.3672	26876.418	31248.9668	29234.918	30699.3691
2.6684	30912.3965	29016.2832	29400.2969	29444.5918	26193.9531	31068.6367	29283.4199	34523.1875
2.8019	35065.0977	30197.748	31298.3809	30698.543	26731.1465	32777.6875	29918.334	43946.3477
2.9353	42980.2773	35093.1289	32742.1953	32361.7832	27915.9375	39508.1094	31838.6699	64139.6172
3.0687	58581.9219	41893.7148	40749.4023	40143.6172	31268.0879	54297.332	31919.4922	86036.6719
3.2021	65046.2383	52316.6289	55457.7734	56311.4141	37518.0391	88613.6406	32632.3262	75711.7188
3.3355	50500.1484	51484.3867	81783.1016	68370.4688	45220.4297	123854.1016	36362.5039	50780.2266
3.469	37646.0625	41515.1172	85755.0078	58934.8867	51837.4258	109873.6953	46832.9766	37491.3438
3.6024	32591.6094	32992.1328	61115.9062	43868.8438	42643.9453	71456.5547	62812.7188	30830.918
3.7358	30847.6484	30007.6562	50104.8906	35295.5586	33287.8945	48282.5586	61296.8555	30527.3281
3.8692	30197.1758	28505.9453	54441.8008	32221.6035	28066.8457	39041.6719	47348.6914	29809.4746
4.0027	28615.1172	28027.6191	NaN	30546.1816	28831.6328	35758.1211	37735.4648	27886.2754
4.1361	28572.2637	28465.5273	NaN	29697.9668	29474.5469	33925.6641	33187.1992	NaN
4.2695	28882.1914	26954.6172	NaN	30386.5391	26661.252	NaN	NaN	NaN
4.4029	NaN	27014.0215	NaN	NaN	28447.5	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
