x	Y_20181208_15693b_1_12g	Y_20181208_15693b_1_8g	Y_20181208_15693b_1_9g	Y_20181208_15693b_10_11g	Y_20181208_15693b_10_14g	Y_20181208_15693b_10_6g	Y_20181208_15693b_10_8g	Y_20181208_15693b_11_11g	Y_20181208_15693b_11_15g	Y_20181208_15693b_12_11g	Y_20181208_15693b_12_13g	Y_20181208_15693b_12_14g	Y_20181208_15693b_12_2g	Y_20181208_15693b_12_8g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_12g	Y_20181208_15693b_13_14g	Y_20181208_15693b_13_19g	Y_20181208_15693b_13_4g	Y_20181208_15693b_13_8g	Y_20181208_15693b_2_1g	Y_20181208_15693b_2_3g	Y_20181208_15693b_2_6g	Y_20181208_15693b_2_8g	Y_20181208_15693b_3_14g	Y_20181208_15693b_3_16g	Y_20181208_15693b_3_17g	Y_20181208_15693b_3_19g	Y_20181208_15693b_3_3g	Y_20181208_15693b_4_13g	Y_20181208_15693b_4_3g	Y_20181208_15693b_4_5g	Y_20181208_15693b_5_10g	Y_20181208_15693b_5_13g	Y_20181208_15693b_5_14g	Y_20181208_15693b_5_16g	Y_20181208_15693b_5_26g	Y_20181208_15693b_5_2g	Y_20181208_15693b_5_5g	Y_20181208_15693b_5_7g	Y_20181208_15693b_6_13g	Y_20181208_15693b_6_15g	Y_20181208_15693b_6_18g	Y_20181208_15693b_6_2g	Y_20181208_15693b_6_3g	Y_20181208_15693b_7_11g	Y_20181208_15693b_7_15g	Y_20181208_15693b_7_16g	Y_20181208_15693b_7_17g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_12g	Y_20181208_15693b_8_20g	Y_20181208_15693b_8_21g	Y_20181208_15693b_8_30g	Y_20181208_15693b_8_3g	Y_20181208_15693b_8_7g	Y_20181208_15693b_9_13g	Y_20181208_15693b_9_3g	Y_20181208_15693b_9_9g
0	11590.3271	14428.9854	13361.5762	12143.6514	12132.3076	11206.2148	11272.3623	12243.4043	11127.1387	12329.4912	10304.9883	12362.5566	13733.7783	12272.1709	11987.165	12624.1035	12381.4385	12993.999	15450.4795	11982.2598	11593.418	12796.7256	12314.6367	11944.2393	11764.7861	11178.5977	9997.9463	11799.9609	10635.5234	10079.3018	12840.832	12052.5547	12153.9609	14888.6924	13384.3555	12611.623	12127.8936	11852.5791	12879.6162	12758.667	11586.9688	16643.7754	10622.2637	12817.4824	12142.168	12089.6416	11147.5098	11819.7705	13763.1768	11136.6855	13207.4277	11118.0947	12191.8975	11019.5557	10775.8242	12006.8262	11240.0342	12359.7793	11611.2373
0.1334	11692.5146	16352.9941	15120.4238	12143.958	14012.8643	11502.9102	11476.167	13857.2002	11660.0068	12853.1836	10795.416	12980.4219	15493.4678	13213.9932	13288.4795	12512.5459	13052.1816	12678.5361	18563.043	13668.2373	11161.6016	15175.4209	14275.166	11886.8066	11331.3311	11145.7969	10544.7891	12687.2559	11112.2725	10396.4277	14253.5332	12034.1748	14613.1953	15329.7725	16495.4355	11612.0342	14659.502	11650.3262	14233.9307	12493.5234	12746.9668	21224.7695	10792.918	13402.3945	13636.666	13061.7832	13086.7031	11870.3506	13718.2285	13180.9385	13920.2402	12135.7695	13852.1299	11755.4277	11470.4053	11895.8418	11724.9639	12979.6406	11928.3242
0.2668	13158.2871	21694.8457	18734.6621	12848.085	15722.0283	11800.2461	12933.1631	17581.9277	12077.3105	13532.4385	11619.2988	12918.8535	14772.1201	15827.2568	15027.0166	12840.6611	13854.0791	12824.9072	20337.4863	14870.8242	11886.0674	16191.1777	14805.959	12466.0225	11267.4551	12079.1387	10924.9512	14201.6504	12798.292	11241.3477	17040.459	12447.6309	16267.9697	15007.0273	19595.0977	11675.2158	16978.4141	11743.3389	13909.126	12782.1758	16523.7539	23500.8555	11158.3418	15404.1172	15514.6338	15498.9316	15615.8535	11966.2998	15012.1699	16031.0684	15961.5674	12197.5547	17092.834	14469.5342	13259.5957	12014.0127	12024.1465	13536.709	12957.4775
0.4003	15201.7412	20308.2344	25020.0996	13816.7129	19356.209	13726.209	14958.6201	19483.168	12499.9697	13519.127	13561.1328	12685.8027	14867.6436	17018.793	15740.8291	14863.8242	16361.7627	15386.7275	18315.8535	17897.9023	14931.1143	14529.6387	11909.377	12830.0225	12164.2021	13038.9189	13514.3281	16471.709	14847.5645	13365.5557	18008.6602	14014.6309	16465.0176	15625.3467	17107.5312	12236.1367	18724.5684	12855.3291	13312.8271	14056.5996	22039.2266	19788.0859	12819.8301	17545.5117	15892.6787	18902.8672	17468.5078	12631.0029	16774.6758	17028.8164	16771.2637	13488.7529	17534.0215	16404.084	15952.7959	12107.1025	14790.9404	14441.9561	14349.1367
0.5337	18014.9102	17849.5957	23397.793	14914.6533	22522.8379	16799.127	19371.1523	16773.2168	13967.4727	12973.6855	14377.9639	13392.4922	16273.6807	14844.8604	13940.0498	16567.6641	17056.0762	17902.2812	14979.7178	18900.0996	16296.1221	14395.1631	11229.2529	14893.3711	13830.0566	14325.6172	14084.7588	17336.7871	16132.7422	15972.3271	18947.3633	16128.1963	15330.6797	19542.9766	14709.1436	13498.9678	17007.2324	14869.4092	12207.3076	16090.7236	25409.8691	16841.0176	14712.9463	18544.5039	16754.5273	17796.2383	17747.1191	13952.9951	17041.7285	16834.9414	15165.6699	14119.4473	18287.1836	15002.6729	16577.8691	13668.3828	16730.9297	15583.4961	15759.9844
0.6671	19156.877	16380.7949	21277.2812	14042.1436	21892.8633	17677.2402	22005.9941	15003.7344	13696.334	12972.1074	13112.4912	15098.4727	14748.0859	12777.0469	11485.9297	15186.6738	16247.7061	18438.8711	15646.2119	17293.0039	14586.1377	13379.6494	11310.0176	17592.8164	15088.4795	14365.9121	14009.6211	17872.1426	14678.7451	19757.1738	20151.1094	17811.1016	14261.5527	22717.4473	13044.1934	14601.957	16549.0039	17222.6523	12721.5625	17129.7422	21321.0352	15183.9502	16988.7109	16606.3984	16549.998	15510.3154	16246.0537	15962.0439	15923.334	15780.4561	12934.4756	13745.9424	16698.5762	13208.5137	15799.1924	15817.0977	18012.877	15791.2969	16749.4551
0.8005	17119.3848	16281.1406	19561.0391	13931.4482	18139.8398	14510.21	19404.9004	13679.9072	12320.3047	11708.7793	11801.4941	15289.1963	13420.2568	11778.4062	10885.6709	14792.207	14962.6836	17508.8066	15898.0615	16769.4219	13273.543	13569.3926	10846.1084	19665.7148	14543.3379	14170.4033	13870.9854	16631.416	13197.3467	21390.4707	18651.4668	16046.8662	13564.9043	23251.1172	11435.1797	14983.8896	15312.5234	15579.7422	12199.1719	15254.54	16372.4248	13319.75	16020.8965	15624.8574	14301.4365	14143.498	15699.0068	15190.7041	14655.0605	15525.709	12591.3848	13715.291	15921.0674	12092.1162	12852.7568	18414.7402	16965.2598	16716.4844	15857.9004
0.934	15404.1641	16185.5869	19350.2246	12806.7637	16179.6377	13426.6055	17007.5977	12884.4414	11388.5381	11371.0586	11453.1787	15692.0312	12476.8594	10958.3301	11294.4717	14066.6445	14803.583	15132.0029	15805.3965	15669.7354	12047.8311	12533.9648	10861.6855	18264.9414	13746.1279	14316.0508	13834.0527	15304.5557	12063.0801	16885.252	19442.0527	14582.9268	14374.0645	20264	12203.7471	13724.873	14427.3389	15172.2539	12873.8555	14465.376	14165.1318	12531.4424	13207.625	14905.1045	13194.6895	13606.6533	16039.3232	14204.1318	12934.0469	15210.8271	12942.2656	12975.5576	16168.1426	11701.335	12155.5576	18828.2168	15273.376	15688.6992	15155.1055
1.0674	15628.6748	15120.7529	18885.7871	13412.5508	15396.4541	12878.1475	16575.0586	13121.9365	11117.5498	11354.3975	11101.5273	13614.582	12225.8945	10607.5107	11950.7412	13359.0557	15309.0488	12148.7119	14216.332	14109.6699	13186.2988	13792.9219	11837.874	16377.4004	12758.8652	13492.9434	14115.7949	14914.3779	12123.3818	15510.4092	18844.1523	13812.1768	14213.7314	16566.7871	12478.1201	12151.3311	14475.6865	13576.2188	12333.749	14611.7197	13421.0068	12285.4463	12607.0625	14386.7461	13406.3223	14391.3477	16518.6387	14325.1914	12411.9648	14740.9434	12426.3291	13088.7158	14031.1729	11234.5684	11965.7334	17826.6152	14787.8584	15639.792	14722.9033
1.2008	14844.3301	14573.4844	16873.2461	13494.5752	14041.9551	12629.9766	15361.9834	12914.1641	10981.916	11144.3643	11234.126	12647.5098	12110.0215	11194.6885	12423.8594	14511.8428	15372.6162	11307.8613	14071.2686	14436.4346	12541.4189	13286.5684	11650.3555	15583.7461	12292.0811	12827.9922	14134.6709	14116.7041	12172.085	14438.1367	17895.7656	13635.6328	14373.8975	15679.6934	11362.1807	11331.7637	13381.0225	13469.9707	11721.5059	15059.3916	13865.1621	13141.6426	12625.46	13395.1699	13556.8545	13316.6992	15817.6611	12723.7842	11804.457	15028.7188	12265.6777	12315.8994	13266.6514	11461.9756	12085.9482	15722.3926	15980.8467	16223.7822	14499.666
