x	Y_20181208_15693b_11_14g	Y_20181208_15693b_11_4g	Y_20181208_15693b_11_7g	Y_20181208_15693b_12_6g	Y_20181208_15693b_12_9g	Y_20181208_15693b_13_5g	Y_20181208_15693b_13_6g	Y_20181208_15693b_5_25g	Y_20181208_15693b_5_8g	Y_20181208_15693b_6_9g	Y_20181208_15693b_8_16g	Y_20181208_15693b_9_15g	Y_20181208_15693b_9_1g
0	25799.4805	28143.9473	27775.7754	27668.8477	29803.1426	25053.2148	27760.5684	26078.8047	30140.1914	27759.502	26602.916	27684.1953	28107.2598
0.1334	26756.7871	28512.3398	27676.9023	26669.5	29574.8398	25446.668	27570.0859	27598.7891	29422.3242	27929.125	29506.4863	28693.1875	27086.8906
0.2668	26729.8242	28798.6543	27737.4082	27792.8223	29329.4824	25317.6309	28037.7461	26597.7305	29186.1992	28285.4961	29330.6816	28180.1289	27485.1719
0.4003	27521.1934	29369.5625	27937.2617	28872.0215	30271.4668	27152.2148	27144.7207	27115.2441	29354.8633	27738.5215	28515.418	29864.1055	27408.3848
0.5337	28713.207	29429.0703	28027.3047	29581.9727	29087.6387	26516.3828	28941.0801	27299.1758	30951.1055	28573.4473	29168.9199	30474.293	27909.8105
0.6671	28901.002	26922.6953	28239.1855	29287.1934	29303.2715	27062.1367	28617.0762	25585.3672	30911.0645	28423.3418	27580.1973	29917.9102	27323.7715
0.8005	28121.793	28650.2676	27297.5312	29059.3906	29252.1738	27063.4023	28398.7793	26096.2578	31027.5859	28853.8613	28779.3223	29129.0215	27267.707
0.934	28712.8867	28394.7324	27870.6016	27410.1699	29490.0547	27005.2266	27753.502	26285.4492	30310.0605	28326.1445	29855.8223	29090.5801	29002.9609
1.0674	27331.2715	26695.166	26853.2129	27899.8652	29457.8262	27333.1914	27680.1641	27332.9609	29384.9922	28783.7637	28429.8906	28824.3477	28120.4062
1.2008	27667.998	27669.1445	28063.793	26836.4395	30277.8691	27642.5156	27643.1152	27017.6875	29302.0723	28634.5859	28412.6309	27955.457	27139.2461
1.3342	28063.9199	27933.0566	28030.5957	27666.8652	30162.7422	27164.1602	28484.5645	25759.1875	30178.6914	29034.627	27553.9863	27542.0156	27911.0527
1.4676	28309.7715	28254.9473	27439.4785	28179.7793	29005.8379	27715.4902	28300.6152	26302.3301	29338.0449	29860.5957	25943.8711	27755.1484	27242.2285
1.6011	27622.4453	28012.1543	28508.2676	26492.8008	29021.9531	28126.0938	28860.7832	28040.4414	29140.2715	30090.5059	26808.7793	28588.8105	27142.9492
1.7345	28390.3672	27691.4414	28801.0273	26613.3398	29779.002	27051.582	29132.2559	28277.4785	28431.1074	29276.375	26870.0801	28508.2383	28306.5762
1.8679	28789.8418	27027.7695	27755.7793	25927.2754	29155.1445	26328.3477	29847.1328	27327.623	29266.1836	29940.207	28742.6992	28415.3105	28118.4062
2.0013	27816.3359	25945.0254	28055.2969	27023.6523	28558.4004	26706.9316	30206.8301	26385.6211	30072.541	27962.7266	28682.1602	29177.7793	28341.4297
2.1347	28012.5391	27320.0527	27731.8672	27600.3242	28747.8887	27372.2148	28245.1133	26749.2402	30225.6777	29296.7383	28028.8965	28395.6094	29769.2891
2.2682	28293.9844	27679.7871	27953.2559	26893.8262	29725.7344	27574.6309	28149.5781	25950.7168	30749.3652	29919.9082	28332.6465	30310.5605	29409.7617
2.4016	28360.0957	29350.3711	28687.1777	28689.4785	30094.7285	29654.7969	27597.8047	26155.3125	32743.332	28925.6484	30369.7578	30632.0586	30806.4688
2.535	29413.0625	29521.75	28690.4043	29231.5137	30179.4883	29597.5684	28169.3672	26876.418	32649.2891	28329.2305	31248.9668	29234.918	30699.3691
2.6684	30912.3965	29016.2832	29224.2832	29400.2969	30787.6641	30330.1816	29444.5918	26193.9531	34115.1797	31643.5996	31068.6367	29283.4199	34523.1875
