x	Y_20181208_15693b_10_8g	Y_20181208_15693b_11_16g	Y_20181208_15693b_12_10g	Y_20181208_15693b_12_12g	Y_20181208_15693b_12_1g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_19g	Y_20181208_15693b_13_2g	Y_20181208_15693b_13_8g	Y_20181208_15693b_2_11g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_8g	Y_20181208_15693b_2_9g	Y_20181208_15693b_3_15g	Y_20181208_15693b_3_19g	Y_20181208_15693b_4_13g	Y_20181208_15693b_4_7g	Y_20181208_15693b_4_8g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_21g	Y_20181208_15693b_5_4g	Y_20181208_15693b_5_7g	Y_20181208_15693b_6_17g	Y_20181208_15693b_7_14g	Y_20181208_15693b_8_11g	Y_20181208_15693b_9_10g	Y_20181208_15693b_9_19g	Y_20181208_15693b_9_1g	Y_20181208_15693b_9_3g	Y_20181208_15693b_9_8g
0	10373.3994	9503.7578	10359.5225	10153.2744	10262.3164	12823.4824	9791.3066	13367.5713	12020.3867	10996.8867	9015.2578	11968.541	12509.248	12088.6787	10379.4355	11199.8887	11495.4414	10377.5674	10962.0996	14368.8467	10208.9551	11571.4141	10527.0615	13031.5381	12518.8965	12064.8408	11014.9912	14760.4346	11361.6055	12222.1787	9975.6279
0.1334	11574.6484	9918.7529	10327.4424	10221.4521	10646.2402	14007.7607	9485.1318	13763.9297	13636.8115	10887.2725	10534.0293	13827.4922	12875.5703	12936.0615	11484.5654	11728.6768	11860.7832	10930.542	11823.1611	14183.7227	10599.3887	12829.833	12005.0576	14308.2939	13019.252	11200.6348	11680.2139	15750.9229	11860.9766	12267.167	10370.7803
0.2668	12733.9844	12044.417	11088.7979	10857.8164	11898.376	15201.458	9795.29	15002.5547	14680.7744	13488.2607	11876.3242	15853.9395	13818.3682	14043.7881	12094.8887	12849.4785	14189.7139	11344.4893	12830.8604	15162.5391	11438.8086	14386.7344	14329.0088	15547.8076	13668.3145	12239.8633	12992.1152	17872.0527	12898.4648	12315.0635	11179.5137
0.4003	16261.4121	14654.71	12653.959	12234.0869	13700.6123	17415.3281	10854.9814	16404.6816	15734.1074	15586.6357	13760.0977	17952.6641	15473.916	16267.3721	13899.124	13412.625	18157.8145	11606.085	15091.2422	16647.9023	12507.0938	16832.2676	16245.3369	15802.8604	17231.9277	12908.7139	14683.3701	19569.4961	14129.6895	13288.7207	11649.0791
0.5337	20850.832	15969.207	15320.1973	15250.6387	15462.5068	17915.4121	12894.9014	18982.2051	15599.6729	14898.5332	12307.541	17555.2637	15933.748	14918.2939	14246.9004	13908.1885	22333.582	11442.6348	15999.6074	16961.1836	14450.6064	18738.7656	15022.791	17415.3711	22432.0898	13281.1221	14400.8838	18811.1035	14543.6572	17180.3145	13067.998
0.6671	21591.5645	14461.6074	15576.4678	17052.0996	15653.7168	16142.2822	14177.3955	18393.9512	15243.04	14571.2617	11640.9512	15292.3457	16393.2676	14995.9004	14685.3105	13222.3545	20247.6172	12387.9834	16974.0312	14712.1338	14653.2949	17140.7949	14564.8867	18883.6211	23229.918	15499.4609	13783.8086	18443.3516	13001.5078	20156.8418	14124.8682
0.8005	20926.5312	13374.6611	14486.376	17542.7891	14646.3184	16097.0547	16102.9316	16965.2773	14318.0547	14295.9736	11932.2031	13360.1748	16168.3213	15171.2871	14301.1201	13333.373	17292.457	14438.3643	16982.6562	13418.3799	14832.1582	16711.6328	14023.3037	18358.6602	19139.4707	14190.1592	12812.0518	17199.6035	12276.3428	21282.4102	18527.4004
0.934	20035.8828	12712.3408	13607.4062	15551.3594	14682.5762	15080.4424	16180.9482	15482.4805	14007.1045	12904.416	11710.9043	13266.8555	16890.6309	13555.1621	13890.3945	12872.4287	15481.9287	15281.9258	16397.8047	12542.2871	14718.5859	15544.2314	13826.9287	17388.9414	16596.873	12656.8867	12309.5654	17969.8691	12576.3623	18210.543	19391.7656
1.0674	22901.0234	12736.5176	13764.6191	15109.7158	14251.707	14995.6523	16526.1719	15106.5322	14426.707	12725.415	12413.2666	13956.751	16577.2754	13926.8701	13335.6426	13897.1475	15517.2061	14592.2607	16958.2324	13072.8291	14253.0342	15453.5342	14612.623	18701.2441	14953.8848	11868.5938	12384.2803	17026.8965	12851.1396	16957.8281	18462.7461
1.2008	23534.3008	13126.0186	13773.5283	15716.1396	12910.9805	13403.3584	16298.3418	14741.4092	14520.1025	12980.2109	11607.6934	12623.7422	15862.6416	13382.2383	12601.334	13815.043	14904.6299	14565.7422	15782.4336	12877.9854	13942.1572	13766.4395	14208.6748	18082.8926	14828.4473	12001.835	12424.7266	16823.666	13034.0889	14515.9482	17963.8633
1.3342	21434.0078	13147.9873	13467.5068	16938.7852	12778.1299	13504.2656	16836.6309	14670.6777	14421.5176	12776.5117	12948.832	13082.8125	15464.5957	12912.6055	12733.9043	13768.6787	14367.6113	14217.2412	15185.9219	13023.332	14668.0088	12828.5898	13689.2881	17685.1543	15162.7988	11845.2754	12892.5586	15990.8867	13781.5244	13831.543	17476.293
1.4676	19410.0723	12334.4609	13041.7471	16450.3887	13043.1826	12161.1543	16067.1973	13256.3535	12895.2275	12248.2441	13038.5625	12764.124	15173.2471	12688.2236	12587.8564	13705.9668	14771.2197	13574.0889	14287.6523	12534.4355	14448.1484	12527.0645	13299.5518	16920.2402	15908.5859	12323.9678	12196.5244	14946.0557	13840.8701	12972.3438	15899.9014
1.6011	17088.6445	11989.7979	12883.2451	14768.457	12636.1582	11486.4375	15462.7646	13100.2227	12290.71	12896.8789	12983.0664	12593.5908	14210.9307	13167.4873	12938.959	13462.0518	14586.8232	14023.3301	14131.2568	12540.79	14208.5654	13052.8301	12907.5439	15877.8057	16525.0098	11847.4912	11730.9219	14426.3281	13165.0439	12860.3672	14433.3936
1.7345	15417.2422	11695.7529	12248.207	13130.8232	11605.1582	11352.9785	14326.9756	13624.2617	12709.1113	11782.7598	11943.7178	12708.3311	13359.4277	12883.8857	12417.7158	13126.5049	13597.6543	13112.8477	13282.7305	12902.8105	14123.6982	13279.0352	12804.0312	14729.2227	15113.3848	12014.6357	11632.3857	13333.2324	13095.5332	12614.9551	14187.165
1.8679	14704.6758	11635.8262	11717.5303	12450.4531	11976.5986	11499.4736	14262.0215	13057.1699	12264.3555	12192.0908	12623.1445	12539	13186.3975	12271.6426	12025.1572	12783.5732	13652.083	11732.7031	13013.6826	12990.3574	13227.0605	12654.1426	12283.0674	14626.9209	13108.1553	12246.3359	11997.7217	13081.2754	12970.9199	12800.8057	14530.8936
2.0013	13764.291	11417.0312	12083.7764	12049.9521	11814.6162	11530.9951	13807.3594	12142.8242	12777.1602	12072.5283	12246.3193	NaN	12745.6602	11517.3691	11547.7314	12554.3633	12940.8643	11663.5254	12079.4473	12778.7852	12903.9893	12067.7393	12460.0723	13176.21	12149.0723	12496.9072	NaN	13663.6279	12656.209	11656.4502	14951.499
2.1347	13481.4521	10947.5791	11000.6201	11934.1689	11743.0703	11383.582	13081.1807	11744.417	13075.5088	11802.4766	NaN	NaN	11478.3545	10818.1865	11554.8193	NaN	12725.6797	12148.8223	11656.4561	13224.5342	12674.4775	11851.3066	12733.5986	13436.8809	11859.9082	12077.4258	NaN	12393.6055	13387.0479	NaN	14672.7256
2.2682	13473.2256	11222.7451	11135.7822	11714.3936	12029.959	11703.0342	12082.874	12245.4307	13559.9795	11322.5684	NaN	NaN	10735.6865	NaN	11562.7705	NaN	12487.0361	12567.707	11659.2705	NaN	12571.127	11593.5791	NaN	13373.9482	11811.0557	12659.6787	NaN	11762.4463	12924.9873	NaN	14287.9268
2.4016	NaN	11419.7988	11249.1211	11419.5322	12154.0762	11753.4229	11469.6865	12375.0469	13796.1504	12181.415	NaN	NaN	10805.8271	NaN	11958.8867	NaN	13271.6465	12646.416	12019.6357	NaN	12106.5068	11296.0068	NaN	13851.5264	12095.9912	12428.917	NaN	11570.8477	14192.8018	NaN	13700.2031
2.535	NaN	NaN	NaN	11153.374	12131.0527	11465.2998	11495.9297	NaN	NaN	NaN	NaN	NaN	10915.1465	NaN	12147.3691	NaN	12252.4932	12463.25	12088.3555	NaN	12332.6748	11658.1523	NaN	12516.3477	12033.7725	12798.2002	NaN	NaN	NaN	NaN	12963.0781
2.6684	NaN	NaN	NaN	10892.9043	NaN	NaN	11664.8594	NaN	NaN	NaN	NaN	NaN	10163.9717	NaN	NaN	NaN	NaN	12605.7764	NaN	NaN	11717.2783	NaN	NaN	13433.5	11455.9238	NaN	NaN	NaN	NaN	NaN	11557.3145
2.8019	NaN	NaN	NaN	11522.7959	NaN	NaN	11267.6963	NaN	NaN	NaN	NaN	NaN	9729.9463	NaN	NaN	NaN	NaN	12352.752	NaN	NaN	12001.6621	NaN	NaN	NaN	11134.6436	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	11546.6807	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12218.1602	NaN	NaN	NaN	NaN	NaN	NaN	11289.5869	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12425.9053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
