x	Y_20181208_15693b_12_1g	Y_20181208_15693b_13_19g	Y_20181208_15693b_2_8g	Y_20181208_15693b_4_13g	Y_20181208_15693b_4_7g	Y_20181208_15693b_5_21g	Y_20181208_15693b_5_4g	Y_20181208_15693b_9_19g	Y_20181208_15693b_9_1g	Y_20181208_15693b_9_8g
0	10262.3164	13367.5713	12509.248	11495.4414	10377.5674	10208.9551	11571.4141	14760.4346	11361.6055	9975.6279
0.1334	10646.2402	13763.9297	12875.5703	11860.7832	10930.542	10599.3887	12829.833	15750.9229	11860.9766	10370.7803
0.2668	11898.376	15002.5547	13818.3682	14189.7139	11344.4893	11438.8086	14386.7344	17872.0527	12898.4648	11179.5137
0.4003	13700.6123	16404.6816	15473.916	18157.8145	11606.085	12507.0938	16832.2676	19569.4961	14129.6895	11649.0791
0.5337	15462.5068	18982.2051	15933.748	22333.582	11442.6348	14450.6064	18738.7656	18811.1035	14543.6572	13067.998
0.6671	15653.7168	18393.9512	16393.2676	20247.6172	12387.9834	14653.2949	17140.7949	18443.3516	13001.5078	14124.8682
0.8005	14646.3184	16965.2773	16168.3213	17292.457	14438.3643	14832.1582	16711.6328	17199.6035	12276.3428	18527.4004
0.934	14682.5762	15482.4805	16890.6309	15481.9287	15281.9258	14718.5859	15544.2314	17969.8691	12576.3623	19391.7656
1.0674	14251.707	15106.5322	16577.2754	15517.2061	14592.2607	14253.0342	15453.5342	17026.8965	12851.1396	18462.7461
1.2008	12910.9805	14741.4092	15862.6416	14904.6299	14565.7422	13942.1572	13766.4395	16823.666	13034.0889	17963.8633
1.3342	12778.1299	14670.6777	15464.5957	14367.6113	14217.2412	14668.0088	12828.5898	15990.8867	13781.5244	17476.293
1.4676	13043.1826	13256.3535	15173.2471	14771.2197	13574.0889	14448.1484	12527.0645	14946.0557	13840.8701	15899.9014
1.6011	12636.1582	13100.2227	14210.9307	14586.8232	14023.3301	14208.5654	13052.8301	14426.3281	13165.0439	14433.3936
1.7345	11605.1582	13624.2617	13359.4277	13597.6543	13112.8477	14123.6982	13279.0352	13333.2324	13095.5332	14187.165
1.8679	11976.5986	13057.1699	13186.3975	13652.083	11732.7031	13227.0605	12654.1426	13081.2754	12970.9199	14530.8936
2.0013	11814.6162	12142.8242	12745.6602	12940.8643	11663.5254	12903.9893	12067.7393	13663.6279	12656.209	14951.499
2.1347	11743.0703	11744.417	11478.3545	12725.6797	12148.8223	12674.4775	11851.3066	12393.6055	13387.0479	14672.7256
2.2682	12029.959	12245.4307	10735.6865	12487.0361	12567.707	12571.127	11593.5791	11762.4463	12924.9873	14287.9268
2.4016	12154.0762	12375.0469	10805.8271	13271.6465	12646.416	12106.5068	11296.0068	11570.8477	14192.8018	13700.2031
2.535	12131.0527	NaN	10915.1465	12252.4932	12463.25	12332.6748	11658.1523	NaN	NaN	12963.0781
2.6684	NaN	NaN	10163.9717	NaN	12605.7764	11717.2783	NaN	NaN	NaN	11557.3145
2.8019	NaN	NaN	9729.9463	NaN	12352.752	12001.6621	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	12218.1602	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	12425.9053	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
