x	Y_20181208_15694_1_18g	Y_20181208_15694_1_1g	Y_20181208_15694_1_20g	Y_20181208_15694_1_21g	Y_20181208_15694_12_3g	Y_20181208_15694_12_9g	Y_20181208_15694_14_2g	Y_20181208_15694_14_7g	Y_20181208_15694_15_1g	Y_20181208_15694_15_3g	Y_20181208_15694_15_6g	Y_20181208_15694_20_7g	Y_20181208_15694_21_11g	Y_20181208_15694_21_8g	Y_20181208_15694_23_14g	Y_20181208_15694_24_8g	Y_20181208_15694_25_5g	Y_20181208_15694_26_14g	Y_20181208_15694_26_1g	Y_20181208_15694_27_10g	Y_20181208_15694_27_7g	Y_20181208_15694_5_17g	Y_20181208_15694_5_8g	Y_20181208_15694_6_8g	Y_20181208_15694_7_17g	Y_20181208_15694_8_12g	Y_20181208_15694_8_1g	Y_20181208_15694_9_5g	Y_20181208_15694_9_9g	Y_20181208_15694b_1_6g	Y_20181208_15694b_6_6g
0	14630.3125	11913.4717	11366.7939	11908.3916	11460.8281	11751.3633	12491.0273	11971.2354	10548.2441	9514.0137	12642.4521	11413.0098	11563.9473	12581.0742	12692.6836	12404.623	13959.4805	11127.0811	11087.127	14700.79	11384.3975	10769.0479	11828.6768	10014.5361	14109.375	10885.5459	15307.5586	9882.5791	12017.1445	11464.6504	12409.2539
0.1334	18287.1504	13165.1973	11300.5381	13140.8232	11938.4512	12912.2881	12553.0234	12510.7842	10081.8848	10247.5645	12339.5215	11657.5605	12581.4346	14682.7041	13880.8262	12751.8096	14500.4727	11860.1221	11612.7734	14723.7588	11244.2354	10952.4805	11488.7588	10693.5645	14198.7217	10626.2305	16391.5332	11374.3193	12517.25	12487.2021	13514.7363
0.2668	19205.6445	14418.0957	12865.3799	14444.5029	12931.7305	15863.7695	12746.4639	12531.0449	10804.5273	11300.3779	12242.792	11824.9551	13906.2227	17163.2285	15678.4775	14069.9492	16853.3711	13274.041	12511.2295	17698.6855	11200.6279	11033.3906	11925.7549	11186.9033	15922.0273	11841.6182	20273.4102	14089.6797	14775.6055	15426.5732	16742.7461
0.4003	17767.6211	16996.1406	15185.6143	13856.6182	14828.8369	17784.8965	13054.8037	14020.2607	11779.0527	11984.2764	12961.7158	12889.8975	13381.2041	16007.2617	18412.9824	15321.6797	18995.748	13034.7119	13304.2363	21750.3711	11893.543	11628.8428	11832.9277	12118.4805	19705.7715	11928.9648	20744.2188	15713.7061	15514.3389	18500.584	15749.2725
0.5337	15756.8984	16229.1553	17296.6504	13103.1895	17133.3516	17349.5918	14512.627	13651.0684	13203.6211	14860.3545	15514.7129	14600.4668	13080.5605	14873.6963	17403.0742	15825.2764	17848.6914	13296.9863	15811.2441	22707.0137	13137.1064	13456.459	13155.0693	13639.9766	24488.6055	13928.79	16384.0449	14234.7266	13503.5752	18139.9434	16219.249
0.6671	14642.918	14508.9707	16151.8643	12241.5596	17373.9336	16081.9355	16237.3369	14506.7158	15628.8926	17966.4961	18660.877	16633.3086	13395.2646	13438.8359	15136.8555	14194.6826	15205.2607	13839.1113	15657.2773	19022.502	13116.4189	14717.9756	15247.4023	14823.1562	21980.9062	14558.6279	14290.001	13951.7354	12524.3193	18041.0918	17519.959
0.8005	13849.3877	14571.1104	14163.5264	12124.5381	16159.209	16255.2607	16858.9961	15138.8574	16231.3359	20075.8809	17815.0332	15132.3428	12876.1357	13248.1582	14187.4209	13838.3574	14942.3486	13879.4014	14748.874	16455.9844	12041.6426	13992.29	18385.5176	14802.7686	19342.2031	14416.4717	13429.1768	13140.374	12882.5322	16174.4375	15957.3711
0.934	13622.4287	15188.21	12413.584	12609.0654	13261.957	15271.5449	15125.333	17523.4062	15357.667	17101.2559	18134.5527	13111.4209	13056.6934	13240.7275	13959.6641	13281.9629	14518.249	13829.6943	13433.8828	14813.6475	12213.6465	14307.1113	19146.9863	14123.6172	17124.0625	14215.9844	12698.5615	13557.1846	13295.8086	15417.0615	15446.207
1.0674	13725.4121	13966.1367	12074.6592	12660.4424	11869.9971	15274.2578	13191.374	18904.0703	14563.2461	14686.498	18072.4414	11551.6104	12482.96	14039.7383	15086.6309	13197.6982	14282.6035	13865.4023	13036.9717	14387.2656	12871.3672	13989.4424	16806.8066	15042.46	15730.3359	14237.0977	13423.3887	13269.9863	13599.334	15147.9824	14985.0283
1.2008	13334.7373	13980.9912	12193.0713	12333.8398	10818.459	14822.6055	12941.0508	16672.4648	13565.998	13599.752	17466.9062	11756.7412	12870.2803	13826.3936	15185.3037	12106.9277	14889.5117	14186.8398	12718.208	13770.6602	13526.4932	13328.7617	16022.3965	15053.0703	15256.0811	14700.6621	14680.4336	12858.0801	14561.6689	14808.9951	13533.0391
