x	Y_20181208_15794_13_8g	Y_20181208_15794_19_18g	Y_20181208_15794_26_19g	Y_20181208_15794_3_5g	Y_20181208_15794_4_17g	Y_20181208_15794_9_20g
0	31618.082	30511.0625	30263.8086	28411.3848	30147.7656	30501.082
0.1334	31085.416	28748.5762	27525.6816	29551.4355	30624.6953	31174.7344
0.2668	30659.0176	27858.2129	28179.0332	29778.1914	31673.2617	31354.0332
0.4003	30666.1289	27183.4883	28372.9609	29368.1484	31365.2129	31179.8594
0.5337	30219.9395	28865.3789	27580.8145	29819.752	30805.7734	31342.9258
0.6671	32277.3691	28821.5547	27467.1992	29034.4668	30047.1953	30742.8262
0.8005	33663.2109	28914.9668	28165.8965	29784.7852	30610.0801	32382.627
0.934	32154.3145	28311.1992	28598.5547	29208.1465	30652.5078	30641.1016
1.0674	32178.1191	28695.9375	29154.168	29660.6445	29942.9102	31431.4648
1.2008	33540.6641	28572.4121	28337.1406	30157.1582	30827.998	31580.9375
1.3342	32894.75	28960.7207	28134.9102	30095.7188	30783.8379	32299.7441
1.4676	32480.2871	28901.0566	29112.7578	29722.502	30062.3359	31395.3164
1.6011	30544.2305	29329.0117	28213.4863	29393.1719	30929.1855	30328.1348
1.7345	31694.3281	30207.457	28857.1543	29276.4844	30497.668	30137.2461
1.8679	31072.1133	30275.4492	29808.0039	29339.8848	29817.0078	29884.3418
2.0013	31931.4746	29559.8125	30109.0898	29982.4121	30309.2246	30917.5508
2.1347	32414.0117	29118.7695	30461.0801	31978.2285	31307.9688	30662.6562
2.2682	31524.7461	29736.3203	35006.9648	33101.3086	31329.9844	30861.0059
2.4016	31533.627	30698.9512	39163.1914	35856.8828	30739.8125	30195.9395
2.535	32462.4512	31213.1523	52841.5273	42068.168	32249.0566	32081.8379
2.6684	33720.3555	30987.3984	80564.2578	57294.9062	34517.668	31649.4922
2.8019	35477.3633	31815.625	95326.7422	87334.7578	41910.2617	31946.4883
2.9353	42561.6758	35365.2109	81590.6406	122993.3594	59032.0625	34314.1641
3.0687	61853.582	42175.6992	63103.7891	110718.2969	71209.7812	38640.5391
3.2021	78847	48833.1172	43803.4883	72523.6094	61123.4375	49970.3281
3.3355	72811.3984	49283.0938	36274.9531	46703.7148	46647.8438	63105.6406
3.469	53240.5703	41929.1406	32605.1016	38046.5859	39649.457	70806.3906
3.6024	40393.168	37704.707	31227.0898	34689.4023	34103.0117	53656.1289
3.7358	36110.3633	34685.3086	31876.623	33115.5977	32931.7422	40761.7305
3.8692	33062.3828	33495.6172	NaN	32684.5293	NaN	32951.8633
4.0027	32451.3281	31836.5684	NaN	NaN	NaN	31520.0586
4.1361	34676.3477	32847.4688	NaN	NaN	NaN	NaN
4.2695	NaN	33592.1953	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN
