x	Y_20181208_15794_13_8g	Y_20181208_15794_19_18g	Y_20181208_15794_26_18g	Y_20181208_15794_26_19g	Y_20181208_15794_27_9g	Y_20181208_15794_3_12g	Y_20181208_15794_3_5g	Y_20181208_15794_4_17g	Y_20181208_15794_9_20g
0	11648.5605	11842.7246	13523.6992	11909.0137	12560.5518	10214.1982	12530.2627	12758.8623	9742.7236
0.1334	12297.6914	11507.1709	15382.3369	14837.9824	12824.3867	11310.3096	14606.6074	15572.7324	9948.8623
0.2668	13324.2939	11300.5859	18089.2598	14739.3877	14108.5703	13709.333	16541.4609	19073.7109	10719.4629
0.4003	15685.4131	11370.4863	17169.875	14144.9404	17853.1309	17346.5488	16418.6211	21375.3145	11110.8604
0.5337	18443.9141	14042.333	15474.3535	13844.3125	19922.4082	18098.8672	14426.9854	18189.4805	13113.2832
0.6671	17064.293	15492.2148	14029.2617	13219.3701	19648.4785	17584.5469	13802.8154	17107.2188	16976.2578
0.8005	16158.8945	15424.5088	14091.0449	12140.3223	17010.2266	15678.8242	13629.3584	15171.2676	22271.9336
0.934	15429.834	15106.3271	13529.1689	11340.7354	15633.0654	16142.0938	14168.8037	14197.0459	22027.2383
1.0674	14911.4268	14387.8232	13334.7764	11309.5449	15373.0928	15644.9131	13690.3916	14501.5	19794.4375
1.2008	14470.8447	14611.501	13441.1621	10897.3125	14624.5664	15558.6348	12351.4141	13855.9736	17372.0938
1.3342	13490.4863	15373.0859	13145.1104	10862.9629	14208.1992	16314.1807	12911.876	14009.7031	16300.0693
1.4676	13777.8564	14449.2373	13401.3125	11221.8242	14659.9092	15921.1777	12997.3818	13212.9043	15292.4248
1.6011	14196.1211	13947.6787	12718.2285	11158.3486	13927.5234	16099.1572	12412.6348	13240.3154	15848.8359
1.7345	13571.4639	13775.2383	12835.2109	11055.6025	14572.3066	15781.6709	13025.5029	13321.5098	16390.7637
1.8679	13375.4258	14892.5361	12785.9795	12247.8672	13578.9131	14047.2471	12722.5898	13120.4287	15573.29
2.0013	13182.459	14315.1143	12478.0576	12503.334	13120.6045	15148.3486	13290.6758	12575.335	15643.0117
2.1347	13958.8877	13810.1348	12301.2627	13224.3457	12758.6152	14450.709	13757.5488	12455.085	15452.1426
2.2682	14290.4766	13308.458	12713.0996	13491.4238	13090.8535	14069.4766	14426.1523	12352.7471	14712.0078
2.4016	15288.1758	12994.0537	13762.6777	13555.1885	12026.0723	13781.7832	13571.3555	12692.2559	14578.8467
2.535	15724.4033	12210.1836	13644.5693	13371.6396	12818.2891	13136.5693	12978.3916	13267.2393	13055.5586
2.6684	14572.7812	11671.04	13285.0107	13384.7568	13317.7451	13535.0186	12715.3369	12949.9814	12759.0156
2.8019	13804.6494	11368.71	13546.6201	12719.3438	14474.209	12932.457	11696.0791	12820.2236	12356.8828
2.9353	13496.1377	10947.6729	13589.3428	12739.0625	15833.7686	12217.167	11728.5605	11961.4033	11791.4932
3.0687	12767.4736	11940.8262	12461.8232	12307.4023	14876.1133	12075.5176	13002.2051	11853.252	11500.8584
3.2021	12886.6953	11743.7168	12293.8066	12523.0166	13090.2959	12280.6787	11917.999	11132.7549	11727.2617
3.3355	12076.7822	12436.8994	12018.6152	11939.627	12384.8818	11559.3564	12391.3672	11462.1934	13005.6855
3.469	11946.5127	12277.6465	11944.3525	11596.2744	11775.5586	11399.9277	12550.0576	10991.7979	13395.5293
3.6024	12331.416	12482.5107	11685.6299	11246.9834	12103.0088	11062.6484	12439.3311	11487.6309	13253.9785
3.7358	11887.0303	11883.8301	11672.0117	11891.3496	11940.5234	11335.4131	12931.4883	11569.9941	12468.1631
3.8692	11134.9102	11882.3398	11603.4277	NaN	11869.0156	11346.9951	13035.6465	NaN	12101.0068
4.0027	11933.4521	12511.709	10853.3535	NaN	12729.3789	11012.3369	NaN	NaN	11137.3467
4.1361	11601.9229	12762.0107	NaN	NaN	NaN	11656.8242	NaN	NaN	NaN
4.2695	NaN	12707.6592	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
