x	Y_20181208_15694_25_6g
0	10757.832
0.1334	11439.043
0.2668	11996.0195
0.4003	12967.9531
0.5337	13258.0908
0.6671	13521.6709
0.8005	13056.2744
0.934	12350.9629
1.0674	11543.0547
1.2008	12046.3877
1.3342	12212.7754
1.4676	12132.7646
1.6011	12490.3574
1.7345	12432.8076
1.8679	12704.2969
2.0013	12549.0732
2.1347	12138.7871
2.2682	11111.9639
2.4016	11895.1387
2.535	11208.6611
2.6684	10906.085
2.8019	11248.916
2.9353	10736.9004
3.0687	10889.0654
3.2021	11156.7539
3.3355	10362.3457
3.469	11071.9434
3.6024	11017.8555
3.7358	11180.873
3.8692	11380.6914
4.0027	11791.9453
4.1361	11807.875
4.2695	NaN
4.4029	NaN
4.5363	NaN
4.6698	NaN
4.8032	NaN
4.9366	NaN
5.07	NaN
5.2035	NaN
