x	Y_20181208_15794_11_9g	Y_20181208_15794_13_8g	Y_20181208_15794_14_6g	Y_20181208_15794_20_1g	Y_20181208_15794_23_3g	Y_20181208_15794_25_6g	Y_20181208_15794_6_13g	Y_20181208_15794_7_4g	Y_20181208_15794_9_15g	Y_20181208_15794_9_5g
0	27851.4551	31283.3691	31111.625	27927.4727	29875.0273	29285.793	29924.9258	28597.5527	22836.0293	27496.0645
0.1334	29404.0098	31511.8262	30475.123	27505.5312	30089.2871	29138.791	31539.7656	28064.1523	22627.0625	29297.7344
0.2668	30142.1191	32413.2715	29671.3262	27978.2578	28781.0039	29680.5957	30610.0254	28010.1719	22728.7051	27463.7578
0.4003	28188.1621	30484.959	30613.0352	28258.8477	29311.3438	31049.7559	29863.541	29060.0762	24168.9395	27426.6191
0.5337	29489.4414	32377.0879	31203.6777	29150.916	30113.043	31875.2676	30857.5742	29705.8613	23856.4902	27314.4902
0.6671	30092.625	33705.2539	31460.7168	29435.0059	31705.9883	31617.2461	31436.8086	29202.6719	23215.0547	29700.0293
0.8005	30818.541	33956.3672	31604.1504	28198.7207	30383.8926	32199.0605	31393.6758	30872.8594	24568.5703	28281.0703
0.934	30249.9531	33271.8633	30775.4004	29687.5098	30534.6895	31872.9043	30094.8379	28700.9766	24455.5703	28066.8281
1.0674	30671.793	32473.7949	30360.4102	30428.6328	30787.0781	31602.5566	31838.293	29876.0176	24631.8574	28867.6816
1.2008	30939.9727	35406.1719	31268.1074	30073.9336	29579.0781	33030.1562	32683.5742	30815.0176	25370.5605	30599.7383
1.3342	31730.4316	35371.2305	31715.3457	30045.3926	31366.1797	34222.8242	30739.8262	30525.3848	26290.6953	29068.1191
1.4676	33798.0859	34322.332	33449.6055	29795.3633	31317.8906	32849.7656	31881.7949	30424.0039	25252.7676	29206.3691
1.6011	32755.0918	35206.707	32172.0293	31645.4785	29853.7539	34132.2617	32200.627	30694.0723	24639.2871	30878.7422
1.7345	31785.2715	36942.9961	33088.6445	29935.6387	32246.916	33560.0859	31721.668	30626.0762	25035.1562	31216.4902
1.8679	32858.6367	34924.9258	33136.9297	30357.0625	31796.6621	33130.2383	32306.5977	31922.9844	26130.6465	29674.8535
2.0013	33380.7227	34185.8438	32931.375	30918.5293	30926.541	32503.1582	32345.3066	30255.6289	26644.6816	29430.2266
2.1347	32323.2656	34050.1484	34904.0078	29511.3086	31389.418	32894.4688	30622.5664	32793.0117	26406.4941	31037.623
2.2682	31563.9355	33932.3477	33764.5312	29854.248	30000.7285	34243.5234	30979.4785	34662.7812	25749.8438	29817.7402
2.4016	33400.0938	33424.2305	35502.7539	30366.8848	31101.3066	33121.8047	31750.0684	38192.2148	24855.1484	29837.0293
2.535	34297.8984	33373.6133	39449.2148	31210.3516	31872.7207	32961.3242	32290.0996	44212.5312	25734.1328	30195.418
2.6684	36704.6133	33564.9883	46558.1797	29608.7422	31130.5391	32818.4023	35068.332	43017.8438	26004.3633	29454.1816
2.8019	45275.0664	33623.4141	62189.7344	29657.4727	33775.1719	34156.0625	45312.5703	37452.9062	25059.0176	30710.3438
2.9353	63127.0859	36550.2891	70194.75	32433.8555	34203.8555	35316.8477	50768.8789	33856.5234	25884.1387	30718.8047
3.0687	66661.3125	45114.7695	59819.6211	35230.3438	35857.9609	38986.6953	45695.125	29955.2246	27879.2637	35625.8789
3.2021	53397.5977	56565.5547	44543.8047	46299.5977	44259.2891	42732.9727	37494.6367	28767.1387	28116.541	44254.125
3.3355	39636.4805	65199.7578	36639.293	64593.1055	49622.1914	56116.4258	35298.5547	29139.6289	31348.4453	52195.5234
3.469	33430.1562	66711.8672	35180.4297	74880.5547	44045.7617	72576.0859	31359.4277	29804.8242	41199.5547	44994.0977
3.6024	36511.25	56143.1914	33553.1758	57599.6484	37409.1797	71569.625	29830.8828	28557.2637	65759.3906	35269.418
3.7358	NaN	44242.7578	31109.9609	40220.0195	33388.1562	53552.8516	29964.7344	NaN	87135.7266	32243.873
3.8692	NaN	34519.3398	31304.8418	33295.7773	33249.6758	40999.6172	NaN	NaN	82693.6562	32206.3203
4.0027	NaN	34125.8633	NaN	31127.3438	32706.0039	36127.4062	NaN	NaN	57949.0859	32608.8789
4.1361	NaN	NaN	NaN	NaN	30807.5215	NaN	NaN	NaN	36541.8242	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30582.6855	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30302.1094	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
