x	Y_20181208_15794_1_10g	Y_20181208_15794_1_2g	Y_20181208_15794_10_10g	Y_20181208_15794_12_14g	Y_20181208_15794_12_5g	Y_20181208_15794_12_7g	Y_20181208_15794_13_11g	Y_20181208_15794_13_6g	Y_20181208_15794_14_1g	Y_20181208_15794_16_2g	Y_20181208_15794_16_5g	Y_20181208_15794_16_7g	Y_20181208_15794_17_1g	Y_20181208_15794_19_10g	Y_20181208_15794_19_12g	Y_20181208_15794_19_1g	Y_20181208_15794_19_9g	Y_20181208_15794_2_9g	Y_20181208_15794_21_6g	Y_20181208_15794_22_1g	Y_20181208_15794_23_4g	Y_20181208_15794_23_8g	Y_20181208_15794_24_14g	Y_20181208_15794_25_2g	Y_20181208_15794_26_12g	Y_20181208_15794_26_1g	Y_20181208_15794_26_3g	Y_20181208_15794_27_8g	Y_20181208_15794_28_1g	Y_20181208_15794_28_2g	Y_20181208_15794_3_10g	Y_20181208_15794_3_12g	Y_20181208_15794_3_14g	Y_20181208_15794_3_9g	Y_20181208_15794_4_6g	Y_20181208_15794_4_9g	Y_20181208_15794_5_8g	Y_20181208_15794_6_11g	Y_20181208_15794_6_15g	Y_20181208_15794_6_19g	Y_20181208_15794_6_5g	Y_20181208_15794_7_8g	Y_20181208_15794_7_9g	Y_20181208_15794_8_12g	Y_20181208_15794_8_1g	Y_20181208_15794_8_7g	Y_20181208_15794_8_9g	Y_20181208_15794_9_7g
0	29724.8105	27849.3477	31000.7227	30682.2246	27604.2988	28008.5508	29263.6367	32804.5352	30128.373	26368.3535	29724.6543	27882.5312	29649.3164	31483.5039	30261.832	29395.0332	32469.2812	30706.3535	30002.9785	26231.3379	30701.3516	25900.793	30016.5234	24679.3262	27772.8027	28893.3984	28305.4707	29949.5566	25651.8066	32470.0957	32921.2305	28563.9961	27812.127	30082.1172	29468.1113	30324.5059	33370.6289	28212.7031	29679.3281	33104.1367	29655.041	30332.7324	30031.002	29249.0742	31910.7871	29111.1953	31842.9395	30004.4199
0.1334	31334.7148	29982.7109	29690.8555	31477.8652	28900.9395	26912.6895	28678.3789	31572.6504	30221.7773	26435.9277	30958.4141	27399.7754	28979.8965	30852.6738	30857.916	30039.0918	31863.8867	30787.8242	29671.002	27027.5195	29379.1484	26225.5488	29632.2891	25904.3555	28145.748	29920.0898	28384.0371	29213.0977	26129.9102	32300.1875	33204.2422	27603.0215	27730.9707	30997.7012	30970.6387	31454.2031	34334.3047	27991.5879	31730.418	33270.2305	31120.3906	30774.209	29732.8926	30223.2812	32226.1934	30351.2598	32092.4492	29768.3496
0.2668	30942.0859	29534.3125	29323.4512	30299.7891	28102.0039	26195.6719	27780.0703	32871.8984	29674.9082	26622.3457	30854.1289	28386.4492	29491.627	30185.2383	31562.9902	30942.0391	32982.9805	30950.3945	29831.2754	26829.5684	30399.3379	24619.0938	29586.9238	26334.75	27142.8809	30732.6641	26752.5664	29133.0645	25409.1113	32909.9727	33282.8867	28471.9258	27688.7559	31936.2266	31319.6953	31847.5527	34332.1445	27154.3359	31831.1289	34117.2656	30662.7715	30660.8066	29717.543	30327.3242	33381.293	30810.166	32358.6387	29868.3164
0.4003	29278.5098	30338.2285	29184.0332	29940.2363	28483.166	26620.3164	29515.8086	31825.8848	28942.498	27898.3965	30886.0645	29161.3711	29736.1562	30384.9297	30589.0957	29319.9219	33170.2305	29394.4238	30406.5039	26709.5117	30680.3613	24838.4922	29609.4199	25978.002	27834.5098	29124.2383	27231.7051	29208.8438	25563.2285	32554.8184	33052.5469	30364.7539	27838.5039	30053.4609	30195.5605	30985.5273	33649.0781	28474.6855	29615.416	33562.9219	29622.9316	31239.3711	30623.3652	31019.3711	32177.8477	31371.6543	32237.0527	29592.5742
0.5337	29436.1777	29509.7402	28525.1816	30838.8047	29696.0742	27043.8809	29961.1387	33416.5078	30402.3379	26849.2422	29486.707	27875.5664	30588.7656	28844.9062	30793.7559	30490.4062	32075.0215	29962.7559	31474.8633	26307.8418	30666.8105	24003.6719	30085.5586	26366.2363	26873.707	28610.3555	27350.2344	28482.0996	25994.5352	32268.0723	32254.709	30133.3223	28796.7969	31834.6582	29858.3047	32493.5	34781.918	27723.4004	31813.584	33762.3867	32187.5703	30648.7793	31160.9375	31745.375	33601.7031	29259.0273	32847.6289	28705.8516
0.6671	29311.582	29574.3008	28454.207	32107.2871	31013.1484	28192.0605	29645.1211	30499.6348	30169.6641	26718.5508	31235.75	30238.6074	30123.8828	29929.1348	31721.2051	29963.373	34657.5312	30756.7539	29989.002	27586.1719	31085.6816	24591.7871	31728.709	26214.6074	28654.2402	29629.7559	27390.7656	27957.7676	27007.4883	33398.9219	33445.668	30242.9102	29269.8496	32459.2012	29816.5039	32134.1895	33258.7148	28252.2891	32300.0938	32220.6699	33055.4219	32864.5312	29844.166	33765.5547	33378.6367	31013.1406	32801.0742	30347.0352
0.8005	29391.0664	30170.4082	29772.1035	31919.8457	29775.7207	28166.4727	29382.7734	32839.8828	31130.9004	27934.9336	30952.5234	29915.6641	30075.916	29935.5781	31549.4355	31911.0547	32738.7383	29560.1582	30549.9922	27807.4375	29944.375	26953.793	32071.4062	27052.4219	27612.9531	29704.4219	28182.2266	29285.0938	27715.8672	33350.1914	33657.3633	30382.6797	29426.9844	33361.6367	31894.541	32514.8105	34823.707	28690.0371	32202.209	33622.7188	34429.4805	31338.4199	30803.8438	32890.125	32487.0449	31539.5254	32425.1934	30226.5
0.934	30984.9375	29033.4141	28900.1191	32953.8008	29558.8164	26723.8867	29938.1348	32497.7598	30715.2715	28004.375	30912.6016	30937.9141	29822.6523	30072.5918	31688.3438	30378.9707	33492.582	29351.9766	30207.373	27601.1738	30161.25	25693.1445	32575.9746	27098.1367	27746.4277	30006.0684	29284.7188	28747.3926	28069.5938	32478.2344	33334.8203	29454.5684	29298.9434	33188.8438	34111.2578	34546.2578	34483.4766	28513.707	33008.3633	32117.9961	35252.6523	31472.3555	30606.2129	32276.8301	33115.5391	31368.2598	33336.4492	31509.0293
1.0674	31767.6797	29743.8906	29197.3984	36471.0156	30755.7285	27346.6777	29049.0371	32298.6738	30704.584	28255.6152	29252.8027	28818.6465	30447.6387	28924.625	32529.6523	31375.5488	32801.3828	30474.3418	31607.2656	27795.1094	33345.8438	25983.5117	33862.9258	28052.2129	28979.0176	30324.4922	27704.5586	27260.6289	28094.5156	33730.9805	32076.0723	30981.0566	28367.7656	32008.6895	31872.1816	34503.6797	34642.2578	28659.1895	34666.9414	32966.1211	35810.043	32082.9805	30987.6543	32813.4844	35358.6367	32336.6816	31788.3965	31264.748
1.2008	30917.6328	30766.9727	28435.7285	37625.1172	32201.043	28105.6113	29395.2773	32833.2422	29746.9043	27594.2871	30613.9648	30293.6699	31269.375	30563.8086	35510.6992	31735.6895	32743.4473	30564.2617	31663.3789	28259.8047	31837.2148	27352.5195	32903.4336	30015.4199	28308.2227	32496.6484	29176.7441	28328.5566	27048.3027	34270.3828	32808.3906	29946.2734	29378.3945	30338.084	32585.8105	35805.2188	34999.6719	28245.0449	33391.6875	33936.5742	34716.5508	31581.3242	30849.7539	33414.4141	35620.1484	31861.332	31906.2461	32642.584
