x	Y_20181208_15694_1_6g	Y_20181208_15694_10_7g	Y_20181208_15694_11_9g	Y_20181208_15694_13_8g	Y_20181208_15694_14_6g	Y_20181208_15694_14_7g	Y_20181208_15694_20_2g	Y_20181208_15694_21_10g	Y_20181208_15694_22_4g	Y_20181208_15694_22_9g	Y_20181208_15694_23_10g	Y_20181208_15694_23_3g	Y_20181208_15694_28_4g	Y_20181208_15694_30_4g	Y_20181208_15694_5_1g	Y_20181208_15694_6_13g	Y_20181208_15694_6_1g	Y_20181208_15694_6_2g	Y_20181208_15694_7_11g	Y_20181208_15694_8_4g	Y_20181208_15694_9_15g	Y_20181208_15694_9_3g	Y_20181208_15694_9_5g
0	32177.7363	28372.582	27851.4551	31283.3691	31111.625	10940.1221	24674.8789	28840.7676	26580.7949	27950.957	30387.9473	29875.0273	30408.8223	29239.4023	27467.6855	29924.9258	27752.8223	28618.3457	30545.4141	29885.6133	22836.0293	30095.0527	27496.0645
0.1334	32972.3125	29940.5195	29404.0098	31511.8262	30475.123	11444.3301	25291.4375	29888.6855	26886.9668	28407.7695	29525.2988	30089.2871	29363.4922	29275.2617	27831.3379	31539.7656	26563.875	26639.6816	30204.5898	30053.6445	22627.0625	29337.9766	29297.7344
0.2668	33060.1445	31117.9434	30142.1191	32413.2715	29671.3262	13879.3311	26451.9609	28812.8301	26493.2227	28361.1309	29360.0625	28781.0039	29957.4062	30783.8945	28598.6758	30610.0254	28228.7871	27906.2852	30565.9473	31349.502	22728.7051	29981.6309	27463.7578
0.4003	32221.2949	29235.3887	28188.1621	30484.959	30613.0352	15765.3252	24773.043	28899.9375	25582.3789	29768.4824	30789.9473	29311.3438	29713.1133	29542.7637	28041.834	29863.541	28585.332	28980.9531	30630.875	32258.4668	24168.9395	29652.7441	27426.6191
0.5337	32816.875	29461.877	29489.4414	32377.0879	31203.6777	16857.5996	26773.7227	27368.0234	26262.1289	30258.9941	30719.1777	30113.043	30321.5176	30514.8477	27593.2344	30857.5742	27618.7168	28086.6406	29502.5098	30766.0293	23856.4902	30531.6797	27314.4902
0.6671	31958.6836	30716.0488	30092.625	33705.2539	31460.7168	20183.875	25372.3887	29892.3047	27113.6523	28560.0879	29951.1758	31705.9883	30517.4805	31689.9902	28449.9395	31436.8086	29029.2012	28771.252	29931.2949	29591.7793	23215.0547	30529.3711	29700.0293
0.8005	31522.8555	32383.7051	30818.541	33956.3672	31604.1504	20289.4512	24223.4863	29677.3984	27526.832	30209.3203	30538.3047	30383.8926	30711.9746	30376.1387	28326.8906	31393.6758	28644.3848	30458.8867	31002.5898	30643.1309	24568.5703	31277.4902	28281.0703
0.934	31345.5996	31940.8633	30249.9531	33271.8633	30775.4004	20088.2754	25749.7051	30103.7305	28444.3965	33241.1367	29276.5176	30534.6895	30856.0879	30767.2129	28161.6621	30094.8379	28128.7598	30047.8379	31854.3887	30798.043	24455.5703	33101.4023	28066.8281
1.0674	33839.0156	31105.7793	30671.793	32473.7949	30360.4102	20301.8906	26313.5723	30921.4863	27881.8379	31251.6895	29954.7148	30787.0781	29749.0938	31188.002	28545.207	31838.293	28107.5977	31101.3242	30365.3965	30225.6055	24631.8574	32448.7578	28867.6816
1.2008	33183.7578	30082.5449	30939.9727	35406.1719	31268.1074	20869.7188	26755.5879	30882.3066	27871.002	31565.4609	32107.4785	29579.0781	30770.9102	31433.1758	27432.0801	32683.5742	27989.2461	31796.1699	31218.0215	30422.3008	25370.5605	32824.3125	30599.7383
