x	Y_20181208_15794b_2_3g
0	11815.127
0.1334	11598.5068
0.2668	11134.877
0.4003	11701.1729
0.5337	11865.9199
0.6671	11820.877
0.8005	12004.0283
0.934	12552.9502
1.0674	11627.6387
1.2008	10864.9404
1.3342	11231.1387
1.4676	10803.6562
1.6011	10033.3877
1.7345	9803.4004
1.8679	9744.7979
2.0013	10205.9023
2.1347	10546.3916
2.2682	10610.0576
2.4016	10427.8184
2.535	10886.5107
2.6684	11221.5986
2.8019	10856.2676
2.9353	10985.0752
3.0687	11088.8115
3.2021	10417.2246
3.3355	10642.0146
3.469	10690.7979
3.6024	NaN
3.7358	NaN
3.8692	NaN
4.0027	NaN
