x	Y_20181208_15794b_10_2g	Y_20181208_15794b_3_4g	Y_20181208_15794b_6_12g	Y_20181208_15794b_6_5g
0	12004.4482	12741.0859	10457.9238	10414.8447
0.1334	12534.9697	15441.4326	11528.1621	10262.9561
0.2668	14267.7783	20500.375	11955.0693	11906.8691
0.4003	15269.3506	23665.6328	11899.7725	14920.2412
0.5337	14843.9502	23093.3262	13115.0498	18461.0332
0.6671	13216.375	21509.3105	13922.502	19347.7031
0.8005	11787.3984	18620.4219	12346.8252	17387.6738
0.934	10940.7461	16702.9805	11565.9121	14565.9893
1.0674	10086.0303	15430.8906	12059.5039	12210.2383
1.2008	10385.1836	13727.4297	11593.2256	12165.2764
1.3342	10869.2744	15479.7754	11139.7363	12840.668
1.4676	11162.9434	15565.459	11609.3223	13112.291
1.6011	11747.0723	16694.998	11139.709	12647.0898
1.7345	13245.9258	15863.29	10645.7236	12744.1846
1.8679	13100.7236	15191.6211	10232.5898	11286.8916
2.0013	13260.415	14534.4814	10019.8115	10630.8516
2.1347	12306.3643	13798.3926	9935.5342	11059.2422
2.2682	11003.0156	12708.1211	10605.2783	10482.7969
2.4016	11080.1172	12320.1377	10543.584	11129.8369
2.535	10778.6982	11942.2783	10077.1875	10429.3838
2.6684	10920.5869	13064.4316	10249.6406	11008.5469
2.8019	NaN	NaN	10801.457	10746.8984
2.9353	NaN	NaN	NaN	11332.5312
3.0687	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN
