x	Y_20181208_15794b_1_1g	Y_20181208_15794b_1_4g	Y_20181208_15794b_10_4g	Y_20181208_15794b_10_5g	Y_20181208_15794b_2_6g	Y_20181208_15794b_6_11g	Y_20181208_15794b_6_12g	Y_20181208_15794b_6_3g	Y_20181208_15794b_6_5g
0	9050.8965	13517.3838	10168.873	13117.6973	9739.8643	12287.3359	12395.9688	9998.8965	13581.0264
0.1334	9445.0576	13597.1035	11226.4678	14448.5918	10220.3398	12270.4727	14501.3242	10745.9033	14031.3076
0.2668	9512.208	13888.8311	12352.1787	15298.7637	11438.3213	13080.7754	16952.4082	11944.6465	15219.1934
0.4003	10690.0264	17219.373	14257.1416	14843.6221	12457.3193	14282.3545	16004.1865	13552.5752	15788.2197
0.5337	12158.7568	17573.832	14923.752	14372.5342	13050.0508	14103.626	15166.7256	13153.2705	14037.9492
0.6671	15474.2217	15181.1641	14442.0137	14081.1865	12631.5996	17084.25	16122.0391	13109.1357	13395.5654
0.8005	18004.8691	15038.4668	14291.1787	13205.459	12952.2246	19501.4883	17461.7988	13738.7891	13216.0117
0.934	17518.8047	14438.916	13126.5811	13400.3506	11893.5781	18264.2188	16916.9004	12894.751	13466.1914
1.0674	16669.4375	13048.4307	12238.6104	12068.5889	12403.833	17325.9746	15534.0693	12838.1201	12703.4854
1.2008	16704.8945	13290.665	11566.4619	11413.9922	11798.0195	17517.5469	12986.9053	12784.3555	12750.4844
1.3342	17232.6875	12584.1094	11616.1641	11558.2021	11028.4648	16799.7031	11902.3682	13118.7285	12214.2852
1.4676	16340.7744	13320.9668	11278.2412	12003.5098	10991.791	14942.9629	11604.6133	13404.3965	11269.2002
1.6011	17281.875	12229.5791	11309.7295	11000.9932	11007.498	14039.627	11278.7461	12233.7012	10773.2764
1.7345	17869.2637	12469.7881	11343.75	10841.8613	10763.5723	12889.2676	11340.8398	12462.5938	10606.1904
1.8679	18566.9023	12574.6465	11714.9863	NaN	11353.0684	12516.2275	11178.2998	12627.7646	10347.7656
2.0013	17694.2305	12137.1523	11528.5547	NaN	11189.2725	12122.2412	NaN	12648.7861	NaN
2.1347	14704.7129	12157.8584	NaN	NaN	10410.8555	11579.584	NaN	NaN	NaN
2.2682	12625.8008	11893.9551	NaN	NaN	10742.0273	11893.0127	NaN	NaN	NaN
2.4016	12046.1572	11000.3662	NaN	NaN	11099.1191	NaN	NaN	NaN	NaN
2.535	11703.5605	10535.6104	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	11281.3213	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	11228.0049	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
