x	Y_20181208_15794b_6_6g
0	31278.3574
0.1334	29966.7207
0.2668	29400.2266
0.4003	32013.1797
0.5337	31346.2188
0.6671	29916.9121
0.8005	31347.5273
0.934	31227.2129
1.0674	31123.5176
1.2008	31260.0371
1.3342	30350.9258
1.4676	32120.918
1.6011	32630.7207
1.7345	32214.7461
1.8679	34606.9453
2.0013	37325.2852
2.1347	40305.2188
2.2682	51472.9102
2.4016	61586.1445
2.535	58223.8711
2.6684	46031.4219
2.8019	37603.4453
2.9353	35056.6719
3.0687	NaN
3.2021	NaN
3.3355	NaN
3.469	NaN
3.6024	NaN
3.7358	NaN
3.8692	NaN
4.0027	NaN
4.1361	NaN
