x	Y_20181208_15694b_1_1g	Y_20181208_15694b_1_4g	Y_20181208_15694b_10_4g	Y_20181208_15694b_10_5g	Y_20181208_15694b_2_6g	Y_20181208_15694b_6_11g	Y_20181208_15694b_6_12g	Y_20181208_15694b_6_3g	Y_20181208_15694b_6_5g
0	27430.9141	34419.1719	30728.0625	29467.0625	26517.8926	25768.3711	28276.041	28212.6758	31657.1523
0.1334	25129.0645	34913.2578	29960.8789	28686.3008	26026.1895	27024.1758	28812.0879	28832.2324	30527.5762
0.2668	24271.7637	35279.6836	30569.1895	28562.7324	28614.5332	28131.9707	28898.8262	29586.0254	30371.8027
0.4003	25864.9746	33390.5039	30224.2461	29148.8965	28736.7988	28746.4453	28104.8789	30236.0879	31962.4766
0.5337	27165.7012	33131.4453	31580.2891	29028.3691	29007.3555	28651.9238	28925.5215	29869.7363	33331.2578
0.6671	27335.6777	32007.0508	32556.3457	30601.7148	29937.3945	29154.0059	29658.0703	29396.6133	33400.9961
0.8005	26382.9258	33425.3516	32552.4941	30394.5449	29864.6445	30849.8242	30884.877	30961.0898	34297.7031
0.934	27844.8262	32417.1133	32266.8711	32036.25	30692.6152	29867.0664	32542.9219	31288.8027	34036.7891
1.0674	28152.0547	32596.2734	34302.25	36685.9805	31528.3926	28351.5566	38243.8906	33879.6992	34709.418
1.2008	28911.375	33852.4297	34106.6328	46522.8008	33646.2148	29521.5762	51533.6094	38653.9609	42024.9688
1.3342	28023.3848	36498.6211	34767.9102	53675.1484	40147.1758	30853.0293	68581.625	48365.9609	52340.3594
1.4676	28336.6543	42030.1914	41234.75	50565.6211	54825.082	29459.957	61439.457	59991.7539	60343.2383
1.6011	30044.2129	52375.1953	51585.6758	40291.7031	77934.5312	35597.0898	42903.3008	62308.3164	57872.9219
1.7345	33237.2773	73331.7812	55739.2969	34254.8789	81497.8516	43752.4961	33626.3008	51088.4492	45080.9336
1.8679	42209.4062	80410.6797	45604.5352	NaN	63320.75	43958.1523	30627.6465	43334.6133	40116.9609
2.0013	62577.2617	63805.7031	37727.9141	NaN	45967.8594	36864.9844	NaN	47735.6094	NaN
2.1347	72391.5312	44402.1133	NaN	NaN	37407.1641	31510.0508	NaN	NaN	NaN
2.2682	57719.9688	36237.6289	NaN	NaN	36198.6719	28697.3457	NaN	NaN	NaN
2.4016	40715.0273	33396.6328	NaN	NaN	33597.3906	NaN	NaN	NaN	NaN
2.535	32591.0547	32568.1445	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	30761.5137	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	28750.4121	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
