x	Y_20181208_15694b_1_3g
0	27847.4082
0.1334	26401.9844
0.2668	26621.4043
0.4003	27398.5566
0.5337	25925.3516
0.6671	26035.5859
0.8005	26929.5684
0.934	27893.5723
1.0674	27685.1328
1.2008	27036.5566
1.3342	27169.2441
1.4676	28894.1113
1.6011	29256.1738
1.7345	28964.2324
1.8679	28808.291
2.0013	29693.2246
2.1347	29510.4082
2.2682	27833.4316
2.4016	28615.9043
2.535	29288.8086
2.6684	30815.4922
2.8019	31280.3477
2.9353	30173.9004
3.0687	31844.6758
3.2021	36003.6719
3.3355	42011.1367
3.469	44048.3516
3.6024	37413.0352
3.7358	32370.4902
3.8692	29332
4.0027	NaN
4.1361	NaN
