x	Y_20180130_15100_3_13g	Y_20180130_15100_5_14_2g	Y_20180130_15100_5_2g	Y_20180130_15100_6_19g	Y_20180130_15100_6_5g
0	16612.246	15953.553	16063.891	15309.314	15341.892
0.1334	16769.221	16718.447	16530.197	15835.002	15595.919
0.2668	16025.531	16236.008	15734.474	15837.655	16351.393
0.4003	16047.378	15635.736	16362.641	15254.57	15365.005
0.5337	17046.553	16848.059	16432.506	15916.639	16836.742
0.6671	16830.635	15932.272	15787.532	16607.629	15287.363
0.8005	15523.228	16168.784	16295.181	15439.447	15760.088
0.934	15879.468	16155.066	15260.661	15728.108	15548.687
1.0674	15989.985	16823.432	15809.699	15685.586	17295.096
1.2008	16179.402	16587.539	15620.038	16439.385	15843.967
1.3342	16077.363	15977.968	15139.657	15899.516	16013.126
1.4676	15304.953	16359.631	14685.795	16577.867	16217.262
1.6011	15720.909	16340.844	15211.965	16620.99	16170.399
1.7345	16829.838	16364.731	15985.246	16710.623	17529.809
1.8679	16179.109	17693.49	15930.999	16261.713	17652.795
2.0013	17152.32	17658.785	15842.541	16974.414	21525.336
2.1348	17826.625	18973.682	15545	17301.301	29456.375
2.2682	19078.969	20082.139	17958.293	18998.289	41445.43
2.4016	23077.145	24211.867	22286.463	24081.166	43732.406
2.535	31059.912	31323.344	28915.463	36498.879	31576.975
2.6684	33730.711	33395.773	31825.111	49455.383	23052.33
2.8019	26303.896	28701.295	24233.674	46080.922	18557.766
2.9353	20645.26	22582.445	18292.121	31520.02	18437.039
3.0687	17164.135	18399.17	16566.857	22970.412	NaN
3.2021	NaN	17271.242	NaN	20366.057	NaN
3.3356	NaN	NaN	NaN	18721.938	NaN
3.469	NaN	NaN	NaN	18964.953	NaN
3.6024	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN
