x	Y_20180130_15100_3_10g	Y_20180130_15100_3_13g	Y_20180130_15100_5_14_2g	Y_20180130_15100_5_23g	Y_20180130_15100_5_2g	Y_20180130_15100_6_14g	Y_20180130_15100_6_17g	Y_20180130_15100_6_19g	Y_20180130_15100_6_2g	Y_20180130_15100_6_5g	Y_20180130_15100_7_11g	Y_20180130_15100_7_9g
0	12126.988	13434.46	11773.47	10839.83	11759.575	11673.51	13129.917	10806.414	12425.11	10732.656	13008.928	10257.682
0.1334	12633.285	14485.291	12866.698	12169.727	11918.974	14480.198	14274.564	12014.861	14351.078	11622.652	13559.807	10434.506
0.2668	14071.857	16666.992	13930.48	12916.111	12863.543	16129.612	16675.682	14440.611	18180.975	14743.566	13603.242	11717.745
0.4003	16357.812	19625.77	15291.271	15409.924	14506.472	15905.783	18179.334	18302.434	25186.455	13924.255	16486.725	13991.84
0.5337	20622.324	21185.516	16033.978	19667.486	14666.775	13843.773	18090.449	18830.371	24346.611	14024.313	19138.398	17615.846
0.6671	19725.812	20292.613	15843.802	21721.711	13691.679	13650.309	19450.727	17743.518	19771.582	14217.805	18782.984	16629.432
0.8005	17932.566	18272.328	14864.542	20195.219	13816.437	13604.133	19462.275	15919.519	17243.816	13678.88	17317.861	15233.673
0.934	17553.891	17185.133	13478.843	19408.084	13074.027	13784.994	18837.906	15898.839	15191.044	13949.454	15374.334	14557.483
1.0674	17288.826	17059.66	13087.564	19086.947	12782.12	13990.397	17713.68	15258.396	13732.759	13720.258	15145.979	12784.102
1.2008	17399.371	15942.299	13007.674	17704.795	12674.793	13834.557	17741.281	15202.701	14639.253	14357.585	15051.041	13125.382
1.3342	18181.434	15078.524	12589.431	16063.123	12882.51	14579.129	16244.006	15195.724	14396.353	14194.321	14863.04	14469.224
1.4676	18150.84	15012.056	12780.263	15079.278	13143.511	14187.653	14943.542	16050.904	13486.03	14269.616	15541.712	14304.364
1.6011	18348.576	15143.816	13247.986	13906.28	12837.029	13595.04	15748.427	16223.829	12544.82	14528.078	15328.238	15231.748
1.7345	22360.838	14592.081	14071.857	14051.732	12670.848	14090.654	15351.281	16336.278	11444.791	14677.574	14626.186	13655.739
1.8679	22257.328	14637.227	14910.287	14642.507	13169.744	14477.014	16827.703	15765.161	11743.071	13526.63	14263.413	13576.318
2.0013	20173.869	14502.883	14539.74	14698.228	13333.56	15902.504	16052.374	15332.227	12365.385	13073.485	14830.665	13358.319
2.1348	20824.836	14016.35	14660.568	14937.583	13603.846	14701.169	15995.913	16310.561	12156.973	12884.408	15254.457	13684.98
2.2682	18327.389	14031.266	14644.315	15940.942	14375.364	14936.305	15629.619	15907.183	12268.945	11997.296	16602.428	15141.222
2.4016	17100.031	12848.024	13914.457	15525.444	16072.33	16221.669	14526.66	15950.634	13148.887	11928.979	17565.629	16347.243
2.535	16169.311	12377.418	12923.563	14621.933	15341.021	15139.067	14338.493	14777.029	12897.269	11552.665	17180.512	15217.509
2.6684	15125.461	12243.084	12413.196	14655.438	13172.483	14502.892	14420.572	14327.806	13414.292	11639.558	15331.34	15191.826
2.8019	14704.96	12422.411	12382.341	14325.271	13055.241	13846.274	13631.991	13702.815	13755.179	11748.023	15053.634	13581.59
2.9353	13690.556	12419.658	11998.523	13267.955	12110.202	13172.877	12513.858	13415.007	13083.826	11503.911	14781.441	12472.979
3.0687	13032.283	12171.829	12208.254	12436.079	11815.142	12799.007	12759.496	12650.395	12114.356	NaN	14016.55	12414.257
3.2021	12985.438	NaN	11745.09	11242.556	NaN	13017.153	12077.653	13252.099	13442.101	NaN	13621.262	12696.183
3.3356	12193.923	NaN	NaN	11172.962	NaN	NaN	11885.407	13162.325	12493.949	NaN	13554.498	NaN
3.469	11941.987	NaN	NaN	11443.781	NaN	NaN	12267.88	13039.413	12013.054	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	11244.813	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	11379.542	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
