x	Y_20180130_15100_1_6g	Y_20180130_15100_2_3g	Y_20180130_15100_2_8g	Y_20180130_15100_3_12g	Y_20180130_15100_3_14g	Y_20180130_15100_3_16g	Y_20180130_15100_3_18g	Y_20180130_15100_3_2g	Y_20180130_15100_4_16g	Y_20180130_15100_4_2g	Y_20180130_15100_4_6g	Y_20180130_15100_4_7g	Y_20180130_15100_4_8g	Y_20180130_15100_5_10_2g	Y_20180130_15100_5_13g	Y_20180130_15100_5_19g	Y_20180130_15100_5_1g	Y_20180130_15100_5_20g	Y_20180130_15100_5_22g	Y_20180130_15100_5_26g	Y_20180130_15100_5_6g	Y_20180130_15100_5_9_2g	Y_20180130_15100_6_15g	Y_20180130_15100_6_4g	Y_20180130_15100_7_1g	Y_20180130_15100_7_2g	Y_20180130_15100_7_4g	Y_20180130_15100_7_7g
0	12416.075	11363.224	11649.849	10531.344	12533.242	11961.3	11480.275	12028.642	12991.791	14378.332	14129.626	13472.829	11739.4	12934.998	12257.766	12850.823	11327	14481.788	12403.358	13283.023	12308.907	13502.26	12710.015	11138.076	10885.021	12415.2	10884.352	12672.727
0.1334	12708.674	11409.73	12831.618	11965.211	13399.264	12934.334	12877.297	12823.088	11870.257	17795.818	13966.463	15366.725	13240.181	13357.831	12313.3	13026.663	11678.703	16047.407	13780.181	15030.077	12086.43	14127.848	12990.546	11749.84	11584.067	12653.928	11742.248	12882.718
0.2668	13398.035	11963.08	15047.522	13856.652	13537.396	13792.884	16797.605	13255.769	13522.779	20940.277	14907.419	18928.352	14656.35	15971.582	12577.524	13734.488	13914.318	18321.355	14866.059	17029.494	14015.86	15380.755	14748.924	12925.018	13073.46	13078.201	12390.77	13929.013
0.4003	16629.26	12238.805	18925.848	16079.308	15514.087	17269.457	18335.996	14226.923	15633.587	21190.844	16647.094	18316.125	18404.322	17687.727	14196.997	15134.878	14444.903	20621.076	16243.109	18346.6	15427.42	16616.947	16726.881	15557.161	14880.334	13526.499	14861.083	15417.556
0.5337	18428.439	13832.704	21826.355	18337.344	18121.859	19015.695	16841.885	13040.433	16968.398	19624.371	18102.85	16451.982	20929.734	18412.912	19330.555	18783.416	14447	19298.762	15042.057	16378.503	15849.694	20187.35	16027.51	16730.355	16850.096	15906.99	16306.671	18794.516
0.6671	17132.547	15958.346	20794.873	18807.02	18750.51	20085.594	15152.26	13605.404	16614.854	16889.039	16341.625	13703.359	18234.428	16881.582	18521.578	18624.713	13849.953	17183.209	14927.127	14205.941	15820.791	19316.418	15837.949	15519.698	15917.438	17088.211	17321.91	22622.83
0.8005	15276.007	15218.206	17572.193	15299.031	18014.826	19622.66	14423.827	13285.377	14254.735	15954.622	14718.967	12295.79	17219.689	14829.171	16287.789	17244.529	14312.474	15721.08	14396.597	12749.776	16248.957	18774.988	13800.751	14685.755	14781.679	16215.588	15875.169	24999.611
0.934	13352.508	14130.357	15550.632	14591.933	16324.056	18190.783	14705.525	13251.872	13462.698	16179.408	15112.726	12459.69	14432.013	14168.908	16285.004	16256.041	13399.438	13423.726	13801.325	11613.292	17018.402	18257.236	12840.214	12949.498	13777.704	16353.903	13675.388	23416.037
1.0674	13089.413	14527.521	14144.385	14523.046	16652.941	15726.62	13554.837	13352.175	12953.943	14690.288	15512.139	11990.638	13277.126	14404.507	17192.359	16613.572	13609.769	12996.249	13295.581	12471.895	15374.352	16904.92	12844.006	12596.673	14968.615	14323.121	13054.319	20867.725
1.2008	12283.146	15096.893	14275.468	14948.367	16178.578	14363.339	13259.12	12303.434	12275.011	14100.775	15156.793	12535.45	14845.064	14476.633	17621.498	16795.035	12334.382	12875.786	13975.462	12648.437	15142.605	15747.353	13074.646	12965.052	14520.024	13943.274	13997.897	17905.484
1.3342	12841.731	15734.617	14754.203	15386.143	17122.299	14353.069	13031.197	12494.113	12609.812	13961.069	14386.401	12924.205	14944.515	14576.504	20304.863	16864.203	13518.19	13865.469	15265.666	12932.662	14418.694	16360.698	13648.542	12775.576	15333.075	13263.424	14203.708	16580.1
1.4676	13056.638	15057.168	14373.09	17372.648	16572.936	14523.124	13723.312	12791.09	12911.424	13174.615	13668.803	13386.61	14433.889	14494.323	19959.314	16139.025	13590.87	14055.694	15157.041	12968.944	13405.279	16350.097	13623.357	12409.566	15080.294	14204.934	13739.024	16443.221
1.6011	12254.146	15859.746	14525.356	16841.209	15493.802	15397.713	13128.975	12082.73	12087.661	12561.502	12450.115	12459.18	14380.781	13694.102	17310.672	15317.363	12838.406	15479.982	14612.573	13552.276	12665.329	16145.362	13622.239	12353.766	14320.275	13288.515	13810.812	16661.029
