x	Y_20180130_15100_6_3g
0	13815.867
0.1334	14338.567
0.2668	14577.828
0.4003	13993.725
0.5337	13707.731
0.6671	14479.033
0.8005	14128.685
0.934	14214.479
1.0674	14415.855
1.2008	14548.707
1.3342	14081.609
1.4676	14108.353
1.6011	13879.438
1.7345	13856.49
1.8679	14188.494
2.0013	14169.894
2.1348	14765.29
2.2682	14441.341
2.4016	14925.596
2.535	14956.38
2.6684	14020.072
2.8019	14379.578
2.9353	14500.987
3.0687	14316.115
3.2021	14599.216
3.3356	14604.341
3.469	16815.807
3.6024	20035.785
3.7358	30760.594
3.8692	51721.594
4.0027	62012.391
4.1361	50584.988
4.2695	31103.898
4.4029	22506.416
4.5363	18306.814
4.6698	15765.815
4.8032	NaN
4.9366	NaN
