x	Y_20180130_15100b_11_12g	Y_20180130_15100b_12_9g	Y_20180130_15100b_13_2g	Y_20180130_15100b_6_2g
0	12142.12	12371.344	13838.884	12659.202
0.1334	12770.852	12939.049	14240.862	13514.463
0.2668	14906.138	13229.387	16035.236	15374.059
0.4003	17121.74	14608.756	18905.502	18355.363
0.5337	16353.999	15818.595	20831.461	17774.379
0.6671	15957.895	17077.037	19825.969	16329.214
0.8005	15554.309	16269.274	18076.998	16495.953
0.934	15078.445	15023.702	15843.901	16095.111
1.0674	15257.055	15327.182	14928.976	16016.799
1.2008	15625.835	15044.097	13625.167	14448.037
1.3342	16350.479	14402.117	14593.513	15063.125
1.4676	17188.488	14308.276	14846.96	14256.372
1.6011	17264.838	14828.31	15363.431	13694.753
1.7345	18172.445	13930.908	16065.08	14024.975
1.8679	17687.311	15146.511	16161.313	13481.887
2.0013	17446.16	14307.533	15227.827	13342.347
2.1348	17018.611	15120.577	14770.424	13274.274
2.2682	16025.447	15427.199	15937.891	13073.727
2.4016	15569.686	14747.903	15103.139	13730.103
2.535	14518.35	14404.011	13821.437	12972.699
2.6684	14387.042	13738.012	13854.291	12385.698
2.8019	14261.154	12860.855	13115.949	12355.543
2.9353	13747.249	12337.163	13003.742	12338.369
3.0687	12825.08	12166.604	12328.992	11961.977
3.2021	12367.024	11936.628	12407.466	12060.939
3.3356	11624.775	11961.671	NaN	11718.94
3.469	12382.498	11831.008	NaN	11273.366
3.6024	NaN	11519.979	NaN	NaN
3.7358	NaN	11494.135	NaN	NaN
3.8692	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN
