x	Y_20180130_15100b_1_7g	Y_20180130_15100b_10_1g	Y_20180130_15100b_11_7g	Y_20180130_15100b_12_10g	Y_20180130_15100b_12_2g	Y_20180130_15100b_13_12g	Y_20180130_15100b_13_6g	Y_20180130_15100b_16_2g	Y_20180130_15100b_17_12g	Y_20180130_15100b_18_12g	Y_20180130_15100b_19_9g	Y_20180130_15100b_21_12g	Y_20180130_15100b_21_13g	Y_20180130_15100b_22_15g	Y_20180130_15100b_22_5g	Y_20180130_15100b_23_1g	Y_20180130_15100b_23_7g	Y_20180130_15100b_24_9g	Y_20180130_15100b_3_4g	Y_20180130_15100b_4_23g	Y_20180130_15100b_6_11g	Y_20180130_15100b_9_16g
0	36085.828	39150.555	39019.992	39055.805	32052.291	36423.422	35112.074	38046.512	29987.516	36360.418	33963.703	35531.707	36017.375	37999.941	33862.34	36281.352	33218.945	35450.645	34859.734	37710.711	38620.168	33371.566
0.1334	36001.238	39413.129	37850.355	39748.055	32514.346	36115.578	36507.719	38078.855	30303.955	36178.559	33718.09	35244.242	35490.848	37079.422	33568.391	36078.734	32852.344	37589.305	34405.965	37641.188	36246.211	33582.484
0.2668	36936.945	38216.348	37362.188	38818.781	32970.129	36793.441	34745.922	37893.07	31965.502	36014.98	35054.086	34960.254	35211.277	38478.887	34816.211	35329.785	32990.977	37857.715	35206.828	38260	36473.934	30853.016
0.4003	36361.379	38319.586	39202.918	38465.27	33603.492	35817.18	34375.047	36817.477	32930.773	36578.707	33702.988	34647.176	33382.043	38744.797	34088.848	35764.859	33172.359	37003.406	33450.82	37206.355	35155.488	32074.178
0.5337	36156.211	36354.77	39400.676	38315.965	33123.426	37597.285	34612.418	36920.027	32280.662	34928.203	34092.012	34550.57	36299.926	39411.668	36720.645	34866.246	33207.145	36218.219	32968.738	38440.801	35106.633	33081.391
0.6671	36707.023	38159.473	38416.461	38902.27	32735.518	37108.18	34562.59	37125.574	32967.527	34463.816	33929.168	35882.41	36363.93	38852.344	35841.887	35642.246	33108.746	36395.16	33758.266	36802.535	34342.625	31395.666
0.8005	36104.301	40890.473	40367.406	39964.648	33374.984	37391.363	33341.809	34680.785	31807.42	35474.688	35119.691	34940.094	36111.719	38839.465	34229.344	36336.574	34614.082	36612.191	32655	37604.762	34089.055	32265.295
0.934	36322.871	37355.961	40510.102	38685.496	32500.701	36764.688	33988.922	35359.918	32545.891	36783.406	35610.414	34254.5	34703.844	38168.531	35223.371	35681.254	34017.832	37680.941	33325.555	38265.488	35190.285	33014.758
1.0674	35512.34	36229.938	40325.926	38081.508	32262.104	36662.238	34402.949	34637.422	32986.406	36557.551	34847.258	34999.109	37106.641	37544.574	37260.016	37136.961	32845.477	37512.035	33883.531	37748.93	36144	31853.842
1.2008	35133.008	36271.027	40704.625	39916.176	33185.062	36397.105	32995.16	34032.496	32435.33	35898.742	34979.16	34322.297	36092.254	38923.035	35401.852	36854.383	34048.828	37887.852	33679.562	37368.348	37284.281	32908.836
1.3342	36599.668	38945.363	41494.605	37860.648	33740.527	36878.316	33191.695	34974.469	32320.266	36020.77	34998.352	34927.406	36164.77	40370.664	33692.078	34850.008	34195.492	37424.715	34807.887	36342.266	35660.812	33639.375
1.4676	36524.297	37814.871	40747.906	37337.715	33442.863	37535.078	33397.797	34362.23	32793.844	37760.035	33959.793	36184.594	37158.672	41187.441	34287.953	35956.062	31890.703	39071.766	33620.945	38134.543	34804.758	35183.496
